school,concentration_score
Michigan Wolverines,0.203125
Quinnipiac Bobcats,0.203125
"St. Peter's Peacocks",0.204081632653061
Hofstra Pride,0.206611570247934
Presbyterian Blue Hose,0.207100591715976
Binghamton Bearcats,0.207100591715976
Northern Kentucky Norse,0.207100591715976
Fairfield Stags,0.208333333333333
Gonzaga Bulldogs,0.208888888888889
Rutgers Scarlet Knights,0.208888888888889
Loyola (MD) Greyhounds,0.208888888888889
Richmond Spiders,0.208888888888889
Stephen F. Austin Lumberjacks,0.208888888888889
Colorado Buffaloes,0.2109375
Rider Broncs,0.2109375
Southern Miss Golden Eagles,0.214285714285714
St. Bonaventure Bonnies,0.214285714285714
Stetson Hatters,0.214285714285714
Iona Gaels,0.217777777777778
La Salle Explorers,0.217777777777778
Georgia State Panthers,0.217777777777778
Oregon State Beavers,0.217993079584775
Monmouth Hawks,0.21875
Southern Utah Thunderbirds,0.21875
Massachusetts Lowell River Hawks,0.218934911242604
Toledo Rockets,0.218934911242604
Valparaiso Crusaders,0.218934911242604
Western Illinois Leathernecks,0.222222222222222
Fordham Rams,0.224376731301939
Marist Red Foxes,0.224489795918367
Loyola Marymount Lions,0.2265625
Northern Arizona Lumberjacks,0.2265625
Virginia Cavaliers,0.2265625
North Dakota State Bison,0.226666666666667
Arkansas-Pine Bluff Golden Lions,0.226666666666667
Connecticut Huskies,0.226666666666667
Denver Pioneers,0.226666666666667
Portland Pilots,0.230769230769231
Western Carolina Catamounts,0.230769230769231
UTEP Miners,0.231833910034602
Louisiana Tech Bulldogs,0.233560090702948
Longwood Lancers,0.234375
South Carolina Gamecocks,0.234375
Brigham Young Cougars,0.23469387755102
Indiana State Sycamores,0.23469387755102
Arkansas Razorbacks,0.235555555555556
LSU Tigers,0.235555555555556
Long Beach State 49ers,0.235555555555556
Oral Roberts Golden Eagles,0.235555555555556
San Jose State Spartans,0.239669421487603
Bethune-Cookman Wildcats,0.239669421487603
Charleston Southern Buccaneers,0.2421875
Ole Miss Rebels,0.2421875
Green Bay Phoenix,0.242603550295858
Alabama Crimson Tide,0.242603550295858
George Washington Colonials,0.242603550295858
Bradley Braves,0.244444444444444
South Carolina State Bulldogs,0.244444444444444
Albany Great Danes,0.244897959183673
James Madison Dukes,0.244897959183673
Missouri State Bears,0.244897959183673
Florida Atlantic Owls,0.25
Miami (OH) RedHawks,0.25
South Dakota State Jackrabbits,0.25
Weber State Wildcats,0.25
Hartford Hawks,0.253333333333333
Oklahoma Sooners,0.253333333333333
Washington State Cougars,0.253333333333333
Southern Methodist Mustangs,0.255102040816326
Canisius Golden Griffins,0.255102040816327
Morgan State Bears,0.255102040816327
Arizona State Sun Devils,0.2578125
Maryland Terrapins,0.2578125
Pepperdine Waves,0.2578125
Texas A&M Aggies,0.2578125
UTSA Roadrunners,0.2578125
Memphis Tigers,0.259515570934256
Coppin State Eagles,0.262222222222222
North Carolina Tar Heels,0.262222222222222
Texas State Bobcats,0.262222222222222
Southern University Jaguars,0.262222222222222
Virginia Military Keydets,0.262222222222222
Nebraska-Omaha Mavericks,0.26530612244898
Nevada Wolf Pack,0.26530612244898
Coastal Carolina Chanticleers,0.26530612244898
Loyola (IL) Ramblers,0.265625
