school,school_short,name,position,weight,height,year,hometown,state,conference,county_code,state_code
Colorado Buffaloes,Colorado,Dustin Thomas,F,79,220,FR,"Texarkana, TX",TX,Pac-12,48037,48
New Hampshire Wildcats,New Hampshire,Jaleen Smith,G,76,185,FR,"Freeport, TX",TX,America East,48039,48
Tulane Green Wave,Tulane,Cameron Reynolds,G,78,195,FR,"Pearland, TX",TX,Conference USA,48039,48
LIU Brooklyn Blackbirds,LIU Brooklyn,D.J. Griggs,G,72,170,SO,"Lake Jackson, TX",TX,Northeast,48039,48
Sam Houston State Bearkats,Sam Houston,Dakarai Henderson,G,74,188,FR,"Pearland, TX",TX,Southland,48039,48
South Alabama Jaguars,South Alabama,Ken Williams,G,74,175,FR,"Manvel, TX",TX,Sun Belt,48039,48
Texas A&M Aggies,Texas A&M,Alex Caruso,G,77,183,SO,"College Station, TX",TX,SEC,48041,48
Houston Cougars,Houston,Jimmie Jones,G,70,160,SR,"Plano, TX",TX,American,48085,48
Richmond Spiders,Richmond,T.J. Cline,F,80,240,SO,"Plano, TX",TX,Atlantic 10,48085,48
St. Bonaventure Bonnies,St. Bonaventure,Xavier Smith,F,80,205,FR,"Plano, TX",TX,Atlantic 10,48085,48
Texas Longhorns,Texas,Brandon Allums,F,76,241,SO,"Plano, TX",TX,Big 12,48085,48
Creighton Bluejays,Creighton,Geoffrey Groselle,C,84,250,SO,"Plano, TX",TX,Big East,48085,48
Florida Atlantic Owls,Florida Atl,Marquan Botley,G,69,160,FR,"Plano, TX",TX,Conference USA,48085,48
North Texas Mean Green,North Texas,Austin Mitchell,G,73,180,SO,"Plano, TX",TX,Conference USA,48085,48
Tulsa Golden Hurricane,Tulsa,Rashad Smith,F,79,206,SO,"Plano, TX",TX,Conference USA,48085,48
Illinois-Chicago Flames,UIC,Pat Birt,G-F,77,190,FR,"Plano, TX",TX,Horizon,48085,48
Dartmouth Big Green,Dartmouth,Tyler Melville,G,74,180,SR,"Plano, TX",TX,Ivy,48085,48
Air Force Falcons,Air Force,Darrius Parker,C,79,215,FR,"Allen, TX",TX,Mountain West,48085,48
Morehead State Eagles,Morehead State,Bakari Turner,G,76,185,SR,"Plano, TX",TX,Ohio Valley,48085,48
Arizona Wildcats,Arizona,Zach Peters,F,82,240,SO,"Plano, TX",TX,Pac-12,48085,48
Colorado Buffaloes,Colorado,Geoffrey Bates,G,75,200,SR,"Plano, TX",TX,Pac-12,48085,48
UNC Greensboro Spartans,UNC Greensboro,RJ White,C,80,280,FR,"Frisco, TX",TX,Southern,48085,48
Abilene Christian Wildcats,Abilene Christian,Michael Grant,G,77,195,FR,"Mckinney, TX",TX,Southland,48085,48
Lamar Cardinals,Lamar,Amos Wilson,F,77,195,SR,"Allen, TX",TX,Southland,48085,48
Stephen F. Austin Lumberjacks,SF Austin,Jason Martin,G,76,190,FR,"Plano, TX",TX,Southland,48085,48
Denver Pioneers,Denver,Bryant Rucker,G,72,185,SO,"Frisco, TX",TX,Summit League,48085,48
Arkansas-Little Rock Trojans,AR-Little Rock,Ben Dillard,G,74,185,JR,"Frisco, TX",TX,Sun Belt,48085,48
South Alabama Jaguars,South Alabama,Barrington Stevens III,G,70,190,SO,"Allen, TX",TX,Sun Belt,48085,48
Texas State Bobcats,Texas State,Jeremiah Moore,G,76,188,JR,"Plano, TX",TX,Sun Belt,48085,48
Santa Clara Broncos,Santa Clara,Jarvis Pugh,G,78,195,FR,"Murphy, TX",TX,West Coast,48085,48
Incarnate Word Cardinals,Incarnate Word,Paul Perez,G,66,155,FR,"New Braunfels, TX",TX,Southland,48091,48
Incarnate Word Cardinals,Incarnate Word,Kyle Hittle,G,76,195,SO,"New Braunfels, TX",TX,Southland,48091,48
Arkansas-Little Rock Trojans,AR-Little Rock,Andrew Poulter,C,83,266,FR,"New Braunfels, TX",TX,Sun Belt,48091,48
New Hampshire Wildcats,New Hampshire,Jacoby Armstrong,F,78,220,FR,"Sachse, TX",TX,America East,48113,48
New Hampshire Wildcats,New Hampshire,Frank Okeke,F,78,225,SO,"Desoto, TX",TX,America East,48113,48
Cincinnati Bearcats,Cincinnati,Titus Rubles,F,79,220,SR,"Dallas, TX",TX,American,48113,48
Southern Methodist Mustangs,SMU,Shawn Williams,F,79,230,SR,"Duncanville, TX",TX,American,48113,48
Southern Methodist Mustangs,SMU,Keith Frazier,G,77,190,FR,"Dallas, TX",TX,American,48113,48
Southern Methodist Mustangs,SMU,Nick Russell,G,76,200,SR,"Duncanville, TX",TX,American,48113,48
Massachusetts Minutemen,Massachusetts,Trey Davis,G,72,180,SO,"Desoto, TX",TX,Atlantic 10,48113,48
Massachusetts Minutemen,Massachusetts,Zach Coleman,F,79,205,FR,"Dallas, TX",TX,Atlantic 10,48113,48
Richmond Spiders,Richmond,Tim Singleton,G,74,180,FR,"Dallas, TX",TX,Atlantic 10,48113,48
Richmond Spiders,Richmond,Chase Fletcher,F,78,205,FR,"Dallas, TX",TX,Atlantic 10,48113,48
Richmond Spiders,Richmond,Zach Chu,G,68,160,JR,"Dallas, TX",TX,Atlantic 10,48113,48
Duke Blue Devils,Duke,Matt Jones,G,76,200,FR,"Desoto, TX",TX,ACC,48113,48
Miami (FL) Hurricanes,Miami (FL),Steve Sorenson,G,72,161,SO,"Dallas, TX",TX,ACC,48113,48
Virginia Tech Hokies,Virginia Tech,Ben Emelogu,G,77,205,FR,"Grand Prairie, TX",TX,ACC,48113,48
Kansas State Wildcats,Kansas State,Thomas Gipson,F,79,265,JR,"Cedar Hill, TX",TX,Big 12,48113,48
Oklahoma Sooners,Oklahoma,James Fraschilla,G,70,153,JR,"Dallas, TX",TX,Big 12,48113,48
Oklahoma Sooners,Oklahoma,Austin Mankin,F,79,197,FR,"Coppell, TX",TX,Big 12,48113,48
Oklahoma State Cowboys,Oklahoma State,Le'Bryan Nash,G-F,79,235,JR,"Dallas, TX",TX,Big 12,48113,48
Oklahoma State Cowboys,Oklahoma State,Jeffrey Carroll,G-F,78,205,FR,"Rowlett, TX",TX,Big 12,48113,48
TCU Horned Frogs,TCU,Karviar Shepherd,C,82,225,FR,"Dallas, TX",TX,Big 12,48113,48
TCU Horned Frogs,TCU,Devonta Abron,F,80,255,JR,"Seagoville, TX",TX,Big 12,48113,48
Texas Longhorns,Texas,Demarcus Holland,G,74,185,SO,"Garland, TX",TX,Big 12,48113,48
Texas Longhorns,Texas,Prince Ibeh,C,82,250,SO,"Garland, TX",TX,Big 12,48113,48
Texas Longhorns,Texas,Kendal Yancy,G,75,200,FR,"Richardson, TX",TX,Big 12,48113,48
Texas Tech Red Raiders,Texas Tech,Toddrick Gotcher,G,76,200,SO,"Garland, TX",TX,Big 12,48113,48
Georgetown Hoyas,Georgetown,David Allen,G,74,185,SO,"Dallas, TX",TX,Big East,48113,48
Nebraska Cornhuskers,Nebraska,Nathan Hawkins,G,77,198,FR,"Garland, TX",TX,Big Ten,48113,48
Cal Poly Mustangs,Cal Poly,Ridge Shipley,G,72,184,FR,"Carrollton, TX",TX,Big West,48113,48
Long Beach State 49ers,Long Beach St,Kris Gulley,G-F,79,195,JR,"Dallas, TX",TX,Big West,48113,48
North Carolina-Wilmington Seahawks,UNC-Wilmington,Tanner Milson,G,74,190,SR,"Cedar Hill, TX",TX,Colonial,48113,48
Florida Atlantic Owls,Florida Atl,Brian Hornstein,F-C,82,210,JR,"Dallas, TX",TX,Conference USA,48113,48
Louisiana Tech Bulldogs,Louisiana Tech,Michale Kyser,F,81,205,JR,"Lancaster, TX",TX,Conference USA,48113,48
North Texas Mean Green,North Texas,Alzee Williams,G,76,182,SR,"Dallas, TX",TX,Conference USA,48113,48
North Texas Mean Green,North Texas,Chris Jones,G,74,203,JR,"Garland, TX",TX,Conference USA,48113,48
North Texas Mean Green,North Texas,Jordan Williams,G,78,202,JR,"Dallas, TX",TX,Conference USA,48113,48
North Texas Mean Green,North Texas,Vertrail Vaughns,G,74,194,SR,"Mesquite, TX",TX,Conference USA,48113,48
UTEP Miners,UTEP,Julian Washburn,G-F,80,210,JR,"Duncanville, TX",TX,Conference USA,48113,48
UTEP Miners,UTEP,John Bohannon,C,83,210,SR,"Lancaster, TX",TX,Conference USA,48113,48
UTSA Roadrunners,UTSA,Devon Agusi,G,72,170,SR,"Dallas, TX",TX,Conference USA,48113,48
Illinois-Chicago Flames,UIC,Marc Brown,G,76,200,JR,"Dallas, TX",TX,Horizon,48113,48
Wright State Raiders,Wright State,Jerran Young,F,78,190,SR,"Cedar Hill, TX",TX,Horizon,48113,48
Wright State Raiders,Wright State,Mark Howell,G,70,170,FR,"Grand Prairie, TX",TX,Horizon,48113,48
Brown Bears,Brown,Steven Spieth,G,78,210,FR,"Dallas, TX",TX,Ivy,48113,48
Harvard Crimson,Harvard,Matt Fraschilla,G,71,165,FR,"Dallas, TX",TX,Ivy,48113,48
Pennsylvania Quakers,Pennsylvania,Preston Troutt,G,71,165,FR,"Dallas, TX",TX,Ivy,48113,48
Princeton Tigers,Princeton,Daniel Edwards,F,80,225,JR,"Dallas, TX",TX,Ivy,48113,48
Yale Bulldogs,Yale,Nick Victor,G,77,205,SO,"Dallas, TX",TX,Ivy,48113,48
Central Michigan Chippewas,Cent Michigan,Braylon Rayson,G,69,178,FR,"Dallas, TX",TX,Mid-American,48113,48
Eastern Michigan Eagles,E Michigan,Trent Perry,G,76,177,FR,"Irving, TX",TX,Mid-American,48113,48
Hampton Pirates,Hampton,Emmanuel Okoroba,F,80,245,JR,"Garland, TX",TX,MEAC,48113,48
Hampton Pirates,Hampton,Gregory Hayden,G,67,160,FR,"Dallas, TX",TX,MEAC,48113,48
Howard Bison,Howard,Damon Collins,G-F,77,180,FR,"Dallas, TX",TX,MEAC,48113,48
Air Force Falcons,Air Force,Zach Moer,C,83,218,SO,"Dallas, TX",TX,Mountain West,48113,48
Fresno State Bulldogs,Fresno State,Karachi Edo,F,78,226,FR,"Richardson, TX",TX,Mountain West,48113,48
New Mexico Lobos,New Mexico,Devon Williams,G,79,205,FR,"Dallas, TX",TX,Mountain West,48113,48
Utah State Aggies,Utah State,Jarred Shaw,C,82,235,SR,"Dallas, TX",TX,Mountain West,48113,48
Utah State Aggies,Utah State,Preston Medlin,G,76,185,SR,"Carrollton, TX",TX,Mountain West,48113,48
Wyoming Cowboys,Wyoming,Trey Washington III,G,71,180,FR,"Dallas, TX",TX,Mountain West,48113,48
LIU Brooklyn Blackbirds,LIU Brooklyn,E.J. Reed,F,78,200,SO,"Mesquite, TX",TX,Northeast,48113,48
Mount St. Mary's Mountaineers,Mount St Mary's,Will Miller,F,78,185,FR,"Dallas, TX",TX,Northeast,48113,48
St. Francis U Red Flash,St Francis (PA),Ollie Jackson,G,75,163,JR,"Dallas, TX",TX,Northeast,48113,48
Belmont Bruins,Belmont,Austin Luke,G,75,185,FR,"Rowlett, TX",TX,Ohio Valley,48113,48
Southeast Missouri State Redhawks,SE Missouri St,J.J. Thompson,G,72,185,JR,"Irving, TX",TX,Ohio Valley,48113,48
Arkansas Razorbacks,Arkansas,Rickey Scott Jr.,G,75,209,SR,"Irving, TX",TX,SEC,48113,48
Arkansas Razorbacks,Arkansas,Keaton Miles,F,79,217,JR,"Dallas, TX",TX,SEC,48113,48
Kentucky Wildcats,Kentucky,Julius Randle,F,81,250,FR,"Dallas, TX",TX,SEC,48113,48
Texas A&M Aggies,Texas A&M,Antwan Space,F,80,224,SO,"Desoto, TX",TX,SEC,48113,48
Western Carolina Catamounts,W Carolina,Kenneth Hall,F,79,210,JR,"Dallas, TX",TX,Southern,48113,48
Abilene Christian Wildcats,Abilene Christian,Christian Albright,F,79,240,FR,"Dallas, TX",TX,Southland,48113,48
Abilene Christian Wildcats,Abilene Christian,Chris Blakeley,G,72,160,FR,"Richardson, TX",TX,Southland,48113,48
Central Arkansas Bears,Cent Arkansas,Aubrey Ball,G,75,185,JR,"Carrollton, TX",TX,Southland,48113,48
Central Arkansas Bears,Cent Arkansas,Oliver Wells,G,72,185,JR,"Cedar Hill, TX",TX,Southland,48113,48
McNeese State Cowboys,McNeese State,Marcus Mathieu,G,71,178,FR,"Richardson, TX",TX,Southland,48113,48
McNeese State Cowboys,McNeese State,Brandon Regis,G-F,75,196,SR,"Dallas, TX",TX,Southland,48113,48
Oral Roberts Golden Eagles,Oral Roberts,Bobby Word,G,76,170,FR,"Lancaster, TX",TX,Southland,48113,48
Oral Roberts Golden Eagles,Oral Roberts,Shawn Glover,F,79,215,SR,"Dallas, TX",TX,Southland,48113,48
Sam Houston State Bearkats,Sam Houston,James Thomas,F,77,210,SR,"Duncanville, TX",TX,Southland,48113,48
Southeastern Louisiana Lions,SE Louisiana,Dre Evans,G,69,170,SR,"Dallas, TX",TX,Southland,48113,48
Grambling State Tigers,Grambling St,Antwan Scott,G,73,180,JR,"Dallas, TX",TX,SWAC,48113,48
Prairie View A&M Panthers,PV A&M,Babajide Aina,G,74,180,SO,"Garland, TX",TX,SWAC,48113,48
Prairie View A&M Panthers,PV A&M,Avery Lomax,G,70,170,FR,"Desoto, TX",TX,SWAC,48113,48
Prairie View A&M Panthers,PV A&M,Montrael Scott,G,75,195,JR,"Dallas, TX",TX,SWAC,48113,48
Southern University Jaguars,Southern,Keith Davis,F,82,231,JR,"Dallas, TX",TX,SWAC,48113,48
Southern University Jaguars,Southern,Tre Lynch,G,72,160,SR,"Lancaster, TX",TX,SWAC,48113,48
Southern University Jaguars,Southern,Christopher Hyder,G,71,170,SO,"Dallas, TX",TX,SWAC,48113,48
Texas Southern Tigers,Texas Southern,Vicktor Arnick,F,78,210,FR,"Dallas, TX",TX,SWAC,48113,48
Texas Southern Tigers,Texas Southern,Victor Haywood-Harris,F,78,195,FR,"Dallas, TX",TX,SWAC,48113,48
Texas Southern Tigers,Texas Southern,Christian McCoggle,C,80,220,FR,"Dallas, TX",TX,SWAC,48113,48
Denver Pioneers,Denver,Chris Udofia,F,78,200,SR,"Irving, TX",TX,Summit League,48113,48
South Dakota Coyotes,South Dakota,Trey Norris,G,72,170,SO,"Grand Prairie, TX",TX,Summit League,48113,48
Arkansas State Red Wolves,Arkansas State,Melvin Johnson III,G,78,168,SR,"Dallas, TX",TX,Sun Belt,48113,48
Texas-Arlington Mavericks,TX-Arlington,Reger Dowell,G,73,183,SR,"Duncanville, TX",TX,Sun Belt,48113,48
Texas-Arlington Mavericks,TX-Arlington,Courtney Austin,G,72,185,JR,"Dallas, TX",TX,Sun Belt,48113,48
Pepperdine Waves,Pepperdine,Jett Raines,F,79,215,SO,"Coppell, TX",TX,West Coast,48113,48
New Mexico State Aggies,New Mexico St,DK Eldridge,G,74,180,JR,"Dallas, TX",TX,WAC,48113,48
New Mexico State Aggies,New Mexico St,K.C. Ross-Miller,G,73,175,JR,"Grand Prairie, TX",TX,WAC,48113,48
South Florida Bulls,South Florida,Zach LeDay,F,79,245,SO,"The Colony, TX",TX,American,48121,48
Oklahoma State Cowboys,Oklahoma State,"Phil Forte, III",G,71,185,SO,"Flower Mound, TX",TX,Big 12,48121,48
Oklahoma State Cowboys,Oklahoma State,Marcus Smart,G,76,220,SO,"Flower Mound, TX",TX,Big 12,48121,48
Oklahoma State Cowboys,Oklahoma State,Mason Cox,F-C,82,230,SR,"Highland Village, TX",TX,Big 12,48121,48
Creighton Bluejays,Creighton,Austin Chatman,G,72,180,JR,"The Colony, TX",TX,Big East,48121,48
Weber State Wildcats,Weber State,Jordan Richardson,G,73,180,SR,"Lewisville, TX",TX,Big Sky,48121,48
New Mexico Lobos,New Mexico,Nick Banyard,F,80,205,SO,"Flower Mound, TX",TX,Mountain West,48121,48
Eastern Illinois Panthers,E Illinois,Zach Dickerson,G,75,190,FR,"Argyle, TX",TX,Ohio Valley,48121,48
American University Eagles,American U,Kyle Kager,F,80,195,JR,"Flower Mound, TX",TX,Patriot League,48121,48
American University Eagles,American U,Kade Kager,G,75,200,FR,"Flower Mound, TX",TX,Patriot League,48121,48
Texas A&M Aggies,Texas A&M,Jordan Green,G,77,188,JR,"Flower Mound, TX",TX,SEC,48121,48
Central Arkansas Bears,Cent Arkansas,Taylor Johnson,G,74,170,FR,"Flower Mound, TX",TX,Southland,48121,48
New Orleans Privateers,New Orleans,Cory Dixon,F,79,205,SR,"Argyle, TX",TX,Southland,48121,48
Alcorn State Braves,Alcorn State,Terrance Birdie,G,74,189,SO,"Little Elm, TX",TX,SWAC,48121,48
Texas State Bobcats,Texas State,Ray Dorsey,G,75,170,SO,"Lewisville, TX",TX,Sun Belt,48121,48
Western Kentucky Hilltoppers,W Kentucky,Caden Dickerson,G,77,205,SR,"Argyle, TX",TX,Sun Belt,48121,48
DePaul Blue Demons,DePaul,Forrest Robinson,F,82,229,JR,"Eastland, TX",TX,Big East,48133,48
Southern Utah Thunderbirds,Southern Utah,Drake Thomas,G,72,165,SO,"Ovilla, TX",TX,Big Sky,48139,48
TCU Horned Frogs,TCU,Christian Gore,G,74,175,SO,"El Paso, TX",TX,Big 12,48141,48
Idaho State Bengals,Idaho State,Nnamdi Ezenwa,F,78,204,SR,"El Paso, TX",TX,Big Sky,48141,48
UTEP Miners,UTEP,Aaron Jones,G,70,175,FR,"El Paso, TX",TX,Conference USA,48141,48
UTEP Miners,UTEP,Tevin Caldwell,G,75,180,JR,"El Paso, TX",TX,Conference USA,48141,48
UTEP Miners,UTEP,Darnell Vandivort,G,73,145,FR,"El Paso, TX",TX,Conference USA,48141,48
UTEP Miners,UTEP,Tyler Tafoya,G,75,195,SR,"El Paso, TX",TX,Conference USA,48141,48
Sam Houston State Bearkats,Sam Houston,Jesse Lopez,F,79,200,FR,"El Paso, TX",TX,Southland,48141,48
Albany Great Danes,Albany,Anthony Odunsi,G,76,210,JR,"Sugar Land, TX",TX,America East,48157,48
Houston Cougars,Houston,Danuel House,F,79,195,SO,"Sugar Land, TX",TX,American,48157,48
Houston Cougars,Houston,J.J. Richardson,F,80,255,SR,"Missouri City, TX",TX,American,48157,48
Jacksonville Dolphins,Jacksonville,Omar El Manasterly,F,78,220,FR,"Sugar Land, TX",TX,Atlantic Sun,48157,48
Texas Longhorns,Texas,Cameron Ridley,C,81,285,SO,"Richmond, TX",TX,Big 12,48157,48
Marquette Golden Eagles,Marquette,Chris Otule,C,83,275,SR,"Richmond, TX",TX,Big East,48157,48
St. John's Red Storm,St. John's,D'Angelo Harrison,G,76,204,JR,"Missouri City, TX",TX,Big East,48157,48
Liberty Flames,Liberty,John-Caleb Sanders,G,72,190,SR,"Sugar Land, TX",TX,Big South,48157,48
Long Beach State 49ers,Long Beach St,Branford Jones,G,73,185,FR,"Missouri City, TX",TX,Big West,48157,48
Long Beach State 49ers,Long Beach St,Nick Shepherd,F,81,220,JR,"Missouri City, TX",TX,Big West,48157,48
N.J.I.T. Highlanders,N.J.I.T.,Odera Nweke,G-F,77,230,JR,"Richmond, TX",TX,Independents,48157,48
Wright State Raiders,Wright State,Miles Dixon,G,73,180,SR,"Missouri City, TX",TX,Horizon,48157,48
Murray State Racers,Murray State,Jeff Martin,G,71,155,FR,"Katy, TX",TX,Ohio Valley,48157,48
SIU-Edwardsville Cougars,SIU Edwardsville,Maurice Wiltz,G,74,190,JR,"Stafford, TX",TX,Ohio Valley,48157,48
Utah Utes,Utah,Princeton Onwas,G-F,77,202,JR,"Katy, TX",TX,Pac-12,48157,48
Nicholls State Colonels,Nicholls State,J'Aaron Thorne,G,67,175,FR,"Missouri City, TX",TX,Southland,48157,48
Stephen F. Austin Lumberjacks,SF Austin,Trey Pinkney,G,69,160,SO,"Katy, TX",TX,Southland,48157,48
Stephen F. Austin Lumberjacks,SF Austin,Ben Brown-White,F,78,210,FR,"Sugar Land, TX",TX,Southland,48157,48
Prairie View A&M Panthers,PV A&M,Jayvian Scranton,G,75,195,SO,"Katy, TX",TX,SWAC,48157,48
Prairie View A&M Panthers,PV A&M,Cory Jones,F,76,180,SO,"Katy, TX",TX,SWAC,48157,48
Prairie View A&M Panthers,PV A&M,Reggis Onwukamuche,C,81,225,JR,"Missouri City, TX",TX,SWAC,48157,48
Pepperdine Waves,Pepperdine,Atif Russell,G,76,205,SO,"Katy, TX",TX,West Coast,48157,48
Chicago State Cougars,Chicago State,Corey Gray,G,71,180,SR,"Missouri City, TX",TX,WAC,48157,48
Texas-Pan American Broncs,TX-Pan American,Blake Provost,G,70,170,FR,"Katy, TX",TX,WAC,48157,48
North Dakota,North Dakota,Dustin Hobaugh,G,77,195,SO,"League City, TX",TX,Big Sky,48167,48
Nebraska Cornhuskers,Nebraska,Terran Petteway,G-F,78,209,SO,"Galveston, TX",TX,Big Ten,48167,48
Fresno State Bulldogs,Fresno State,Julien Lewis,G,75,190,JR,"Galveston, TX",TX,Mountain West,48167,48
Incarnate Word Cardinals,Incarnate Word,Anthony Horton,F,80,230,SR,"League City, TX",TX,Southland,48167,48
New Orleans Privateers,New Orleans,Teris Bourgeois,G-F,77,195,JR,"League City, TX",TX,Southland,48167,48
Oklahoma Sooners,Oklahoma,Cameron Clark,F,79,211,SR,"Sherman, TX",TX,Big 12,48181,48
North Texas Mean Green,North Texas,T.J. Taylor,G,75,215,JR,"Denison, TX",TX,Conference USA,48181,48
Toledo Rockets,Toledo,Matt Smith,F,79,220,SR,"Whitewright, TX",TX,Mid-American,48181,48
Prairie View A&M Panthers,PV A&M,John Brisco,G,71,175,JR,"Longview, TX",TX,SWAC,48183,48
Furman Paladins,Furman,William Gates Jr.,G,73,180,FR,"Schertz, TX",TX,Southern,48187,48
Texas A&M-CC Islanders,Texas A&M-CC,James King,G,72,190,JR,"Schertz, TX",TX,Southland,48187,48
Hartford Hawks,Hartford,Evan Cooper,G,72,185,SO,"Houston, TX",TX,America East,48201,48
Houston Cougars,Houston,Mikhail McLean,F,80,205,JR,"Houston, TX",TX,American,48201,48
Houston Cougars,Houston,L.J. Rose,G,76,190,SO,"Houston, TX",TX,American,48201,48
Houston Cougars,Houston,Lawrence Paye,G,72,185,SR,"Houston, TX",TX,American,48201,48
Houston Cougars,Houston,Valentine Izundu,C,82,215,SO,"Houston, TX",TX,American,48201,48
Houston Cougars,Houston,Danrad Knowles,F,82,190,FR,"Houston, TX",TX,American,48201,48
South Florida Bulls,South Florida,Anthony Collins,G,73,175,JR,"Houston, TX",TX,American,48201,48
Southern Methodist Mustangs,SMU,Ryan Manuel,G,76,185,JR,"Houston, TX",TX,American,48201,48
Massachusetts Minutemen,Massachusetts,Clyde Santee,G,79,205,FR,"Houston, TX",TX,Atlantic 10,48201,48
Richmond Spiders,Richmond,ShawnDre' Jones,G,70,155,FR,"Houston, TX",TX,Atlantic 10,48201,48
Richmond Spiders,Richmond,Terry Allen,F,80,220,SO,"Houston, TX",TX,Atlantic 10,48201,48
Duke Blue Devils,Duke,Rasheed Sulaimon,G,76,190,SO,"Houston, TX",TX,ACC,48201,48
Mercer Bears,Mercer,James Bento,F,78,195,FR,"Houston, TX",TX,Atlantic Sun,48201,48
Baylor Bears,Baylor,Johnathan Motley,F,81,210,FR,"Houston, TX",TX,Big 12,48201,48
Baylor Bears,Baylor,John Heard,F,77,200,SO,"Houston, TX",TX,Big 12,48201,48
Baylor Bears,Baylor,Logan Lowery,F,78,190,JR,"Kingwood, TX",TX,Big 12,48201,48
Kansas State Wildcats,Kansas State,Wesley Iwundu,G-F,79,195,FR,"Houston, TX",TX,Big 12,48201,48
TCU Horned Frogs,TCU,Clyde Smith III,G,74,180,SO,"Houston, TX",TX,Big 12,48201,48
TCU Horned Frogs,TCU,Aaron Durley,C,82,270,FR,"Houston, TX",TX,Big 12,48201,48
Texas Longhorns,Texas,Danny Newsome,F,81,190,FR,"Houston, TX",TX,Big 12,48201,48
Montana State Bobcats,Montana State,Michael Dison,G,69,160,JR,"Houston, TX",TX,Big Sky,48201,48
Northern Colorado Bears,N Colorado,Tevin Svihovec,G,74,190,JR,"Kingwood, TX",TX,Big Sky,48201,48
Weber State Wildcats,Weber State,Kyndahl Hill,F,79,210,FR,"Humble, TX",TX,Big Sky,48201,48
Penn State Nittany Lions,Penn State,Tim Frazier,G,73,170,SR,"Houston, TX",TX,Big Ten,48201,48
Rice Owls,Rice,Bahrom Firozgary,F,80,210,SR,"Houston, TX",TX,Conference USA,48201,48
Tulsa Golden Hurricane,Tulsa,Brandon Swannegan,F,80,205,SO,"Houston, TX",TX,Conference USA,48201,48
UTEP Miners,UTEP,Victor Mbachu,G,73,165,JR,"Houston, TX",TX,Conference USA,48201,48
UTSA Roadrunners,UTSA,Hyjii Thomas,G,73,160,SR,"Houston, TX",TX,Conference USA,48201,48
Cleveland State Vikings,Cleveland State,Sebastian Douglas,G,76,205,JR,"Houston, TX",TX,Horizon,48201,48
Cornell Big Red,Cornell,Robert Hatter,G,74,165,FR,"Houston, TX",TX,Ivy,48201,48
Pennsylvania Quakers,Pennsylvania,Dylan Jones,F,80,215,FR,"Houston, TX",TX,Ivy,48201,48
Canisius Golden Griffins,Canisius,Lou Dunbar,G,75,170,FR,"Seabrook, TX",TX,MAAC,48201,48
Ball State Cardinals,Ball State,Chase Brogna,G,71,166,SO,"Houston, TX",TX,Mid-American,48201,48
Howard Bison,Howard,Emmanuel Okoro,NA,78,220,JR,"Houston, TX",TX,MEAC,48201,48
North Carolina A&T Aggies,N Carolina A&T,Waylan Siverand,F,79,190,JR,"Houston, TX",TX,MEAC,48201,48
Loyola (IL) Ramblers,Loyola (IL),Devon Turk,G,76,193,SO,"Houston, TX",TX,Missouri Valley,48201,48
Loyola (IL) Ramblers,Loyola (IL),Jeremy King,C,82,235,FR,"Houston, TX",TX,Missouri Valley,48201,48
Missouri State Bears,Missouri State,Michael Simpson,G-F,78,190,SO,"Spring, TX",TX,Missouri Valley,48201,48
Wichita State Shockers,Wichita State,Derail Green,F,79,208,FR,"Houston, TX",TX,Missouri Valley,48201,48
Air Force Falcons,Air Force,Justin Hammonds,F,78,193,JR,"Houston, TX",TX,Mountain West,48201,48
Colorado State Rams,Colorado State,John Gillon,G,72,166,SO,"Houston, TX",TX,Mountain West,48201,48
Fresno State Bulldogs,Fresno State,Alex Davis,F,81,205,JR,"Houston, TX",TX,Mountain West,48201,48
Nevada Wolf Pack,Nevada,Chris Brown,C,83,265,JR,"Houston, TX",TX,Mountain West,48201,48
San Diego State Aztecs,San Diego State,Winston Shepard,F,80,205,SO,"Houston, TX",TX,Mountain West,48201,48
San Jose State Spartans,San Jose State,Matt Pollard,C,84,265,FR,"Houston, TX",TX,Mountain West,48201,48
Oregon Ducks,Oregon,Joseph Young,G,74,185,JR,"Houston, TX",TX,Pac-12,48201,48
Oregon Ducks,Oregon,Damyean Dotson,G,77,209,SO,"Houston, TX",TX,Pac-12,48201,48
Oregon State Beavers,Oregon State,Eric Moreland,F,82,218,JR,"Houston, TX",TX,Pac-12,48201,48
Stanford Cardinal,Stanford,Christian Sanders,G,76,185,SO,"Houston, TX",TX,Pac-12,48201,48
UCLA Bruins,UCLA,Wanaah Bail,F,81,215,FR,"Houston, TX",TX,Pac-12,48201,48
American University Eagles,American U,Darius Gardner,G,69,165,JR,"Houston, TX",TX,Patriot League,48201,48
Army Black Knights,Army,Milton Washington,G,72,180,JR,"Houston, TX",TX,Patriot League,48201,48
Navy Midshipmen,Navy,Edward Alade,F-C,81,216,FR,"Houston, TX",TX,Patriot League,48201,48
Texas A&M Aggies,Texas A&M,Blake McDonald,G,71,175,SR,"Spring, TX",TX,SEC,48201,48
Texas A&M Aggies,Texas A&M,Don Thomas,G,72,185,JR,"Spring, TX",TX,SEC,48201,48
Texas A&M Aggies,Texas A&M,Kyle Dobbins,G,72,172,FR,"Houston, TX",TX,SEC,48201,48
UNC Greensboro Spartans,UNC Greensboro,Drew Parker,G,73,178,SR,"Houston, TX",TX,Southern,48201,48
