school,school_short,name,position,weight,height,year,hometown,state,conference,county_code,state_code
George Washington Colonials,G. Washington,Kevin Larsen,F,82,247,SO,"Copenhagen, Denmark",Denmark,Atlantic 10,0,0
George Washington Colonials,G. Washington,Nemanja Mikic,F,80,213,SR,--,--,Atlantic 10,0,0
George Washington Colonials,G. Washington,Paris Maragkos,F,81,243,SO,--,--,Atlantic 10,0,0
Massachusetts Minutemen,Massachusetts,Tyler Bergantino,C,81,245,SO,--,--,Atlantic 10,0,0
Rhode Island Rams,Rhode Island,Jarelle Reischel,F,78,215,SO,"Frankfurt, Germany",Germany,Atlantic 10,0,0
Rhode Island Rams,Rhode Island,Ifeanyi Onyekaba,F,80,240,SO,--,--,Atlantic 10,0,0
Rhode Island Rams,Rhode Island,Shane Plunkett,G,75,195,SO,--,--,Atlantic 10,0,0
Rhode Island Rams,Rhode Island,Gilvydas Biruta,F,80,245,JR,"Jonava, Lithuania",Lithuania,Atlantic 10,0,0
Saint Joseph's Hawks,Saint Joseph's,Papa Ndao,F,80,225,JR,"Dakar, Senegal",Senegal,Atlantic 10,0,0
Saint Joseph's Hawks,Saint Joseph's,Javon Baumann,F,80,257,FR,--,--,Atlantic 10,0,0
Saint Joseph's Hawks,Saint Joseph's,Colin Kelly,F,77,205,SR,--,--,Atlantic 10,0,0
Saint Joseph's Hawks,Saint Joseph's,DeAndre Bembry,F,78,200,FR,--,--,Atlantic 10,0,0
Saint Louis Billikens,Saint Louis,Grandy Glaze,F,78,235,JR,"Toronto, ON",ON,Atlantic 10,0,0
Saint Louis Billikens,Saint Louis,Jordair Jett,G,73,215,SR,--,--,Atlantic 10,0,0
Saint Louis Billikens,Saint Louis,Rob Loe,F,83,245,SR,"Auckland, New Zealand",New Zealand,Atlantic 10,0,0
St. Bonaventure Bonnies,St. Bonaventure,Charlon Kloof,G,75,195,SR,"Paramaribo, Suriname",Suriname,Atlantic 10,0,0
St. Bonaventure Bonnies,St. Bonaventure,Matthias Runs,F-C,84,240,SO,"Hilversum, Netherlands",Netherlands,Atlantic 10,0,0
St. Bonaventure Bonnies,St. Bonaventure,Matthew Wright,G,76,200,SR,"Toronto, ON",ON,Atlantic 10,0,0
St. Bonaventure Bonnies,St. Bonaventure,Youssou Ndoye,C,84,245,JR,"Dakar, Senegal",Senegal,Atlantic 10,0,0
