Massachusetts Lowell River Hawks,UMass Lowell,Andrew Nene,G,71,163,FR,"Webster, MA",MA
Massachusetts Lowell River Hawks,UMass Lowell,DJ Mlachnik,G,74,175,SO,"Muskego, WI",WI
Massachusetts Lowell River Hawks,UMass Lowell,Kerry Weldon,F,77,190,SR,"New York, NY",NY
Massachusetts Lowell River Hawks,UMass Lowell,Tyler Livingston,F,77,200,FR,"Hudson, NH",NH
Massachusetts Lowell River Hawks,UMass Lowell,Mark Cornelius,G,74,180,JR,--,--
Massachusetts Lowell River Hawks,UMass Lowell,Kennedy Chukwuocha,F,78,210,SO,"Willingboro, NJ",NJ
Massachusetts Lowell River Hawks,UMass Lowell,Parris Massey,C,79,220,SR,"Boston, MA",MA
Massachusetts Lowell River Hawks,UMass Lowell,James McDonnell,C,82,217,SO,"Swansea, MA",MA
New Hampshire Wildcats,New Hampshire,Patrick Konan,F,78,220,SR,"Gainesville, FL",FL
New Hampshire Wildcats,New Hampshire,Jacoby Armstrong,F,78,220,FR,"Sachse, TX",TX
New Hampshire Wildcats,New Hampshire,Jordon Bronner,G,72,185,SR,"Sleepy Hollow, NY",NY
New Hampshire Wildcats,New Hampshire,Logan Mortenson,F,79,210,SO,"South Jordan, UT",UT
New Hampshire Wildcats,New Hampshire,Tommy McDonnell,G,75,190,JR,"Durham, NH",NH
New Hampshire Wildcats,New Hampshire,Frank Okeke,F,78,225,SO,"Desoto, TX",TX
New Hampshire Wildcats,New Hampshire,John Edwards,F,78,200,FR,"Charlotte, NC",NC
New Hampshire Wildcats,New Hampshire,Scott Morris,G,74,210,SR,"Walkersville, MD",MD
New Hampshire Wildcats,New Hampshire,Matt Miller,G,76,190,JR,"Arnold, MD",MD
New Hampshire Wildcats,New Hampshire,Williams Gabriel,F,80,215,FR,"Lagos, Nigeria",Nigeria
New Hampshire Wildcats,New Hampshire,Daniel Dion,G,72,170,FR,"Cedar Park, TX",TX
New Hampshire Wildcats,New Hampshire,Joe Bramanti,G,74,195,SO,"Andover, MA",MA
New Hampshire Wildcats,New Hampshire,Chris Pelcher,C,82,250,SR,"Albany, NY",NY
New Hampshire Wildcats,New Hampshire,Jaleen Smith,G,76,185,FR,"Freeport, TX",TX
Stony Brook Seawolves,Stony Brook,Kameron Mitchell,G,76,175,FR,"Jacksonville, FL",FL
Stony Brook Seawolves,Stony Brook,Ahmad Walker,G,76,185,FR,"Port Washington, NY",NY
Stony Brook Seawolves,Stony Brook,Anthony Jackson,G,72,185,SR,"Columbus, OH",OH
Stony Brook Seawolves,Stony Brook,Dave Coley,G,74,190,SR,"Brooklyn, NY",NY
Stony Brook Seawolves,Stony Brook,Carson Puriefoy,G,72,175,SO,"Wenonah, NJ",NJ
Stony Brook Seawolves,Stony Brook,Ben Resner,G,74,185,SR,"Centerport, NY",NY
Stony Brook Seawolves,Stony Brook,Jameel Warney,F,80,260,SO,"Plainfield, NJ",NJ
Stony Brook Seawolves,Stony Brook,Rayshaun McGrew,F,79,230,SO,"Chicago, IL",IL
Stony Brook Seawolves,Stony Brook,Eric McAlister,F,80,220,SR,"Hightstown, NJ",NJ
Stony Brook Seawolves,Stony Brook,Chris Braley,G-F,77,205,FR,"Newport, ME",ME
Stony Brook Seawolves,Stony Brook,Roland Nyama,G-F,78,200,FR,"Frankfurt, Germany",Germany
Stony Brook Seawolves,Stony Brook,Anthony Mayo,F,82,235,JR,"Philadelphia, PA",PA
Stony Brook Seawolves,Stony Brook,Ryan Burnett,G,76,190,FR,"Richmond, VA",VA
Stony Brook Seawolves,Stony Brook,Scott King,F,82,220,SO,"Derry, NH",NH
UMBC Retrievers,UMBC,Chase Plummer,F,78,230,SR,"Plainfield, NJ",NJ
UMBC Retrievers,UMBC,Rodney Elliott,G,72,180,FR,"Baltimore, MD",MD
UMBC Retrievers,UMBC,Quentin Jones,G,72,185,SR,"Ellicott City, MD",MD
UMBC Retrievers,UMBC,Ben Grace,G,70,175,FR,"Catonsville, MD",MD
UMBC Retrievers,UMBC,Joey Getz,G,72,180,JR,"Philadelphia, PA",PA
UMBC Retrievers,UMBC,"Charles Taylor, Jr.",G,76,185,FR,"Haymarket, VA",VA
UMBC Retrievers,UMBC,Will Darley,G,80,190,FR,"Timonium, MD",MD
UMBC Retrievers,UMBC,Bryan Harris,G,74,180,FR,"Oxon Hill, MD",MD
UMBC Retrievers,UMBC,Jamar Wertz,G,76,195,SR,"Suffolk, VA",VA
UMBC Retrievers,UMBC,Devarick Houston,F,79,190,JR,"Jonesboro, GA",GA
UMBC Retrievers,UMBC,David Kadiri,F-C,80,190,FR,"Beltsville, MD",MD
UMBC Retrievers,UMBC,Malik Garner,F,78,225,FR,"Philadelphia, PA",PA
UMBC Retrievers,UMBC,Brett Roseboro,F-C,82,240,SR,"Quakertown, PA",PA
UMBC Retrievers,UMBC,Aaron Morgan,G,71,175,SO,"Washington, PA",PA
Vermont Catamounts,Vermont,Brian Voelkel,F,78,210,SR,"Pleasantville, NY",NY
Vermont Catamounts,Vermont,Luke Apfeld,F,79,215,SR,"Chattanooga, TN",TN
Vermont Catamounts,Vermont,Ryan Pierson,F-C,82,240,JR,--,--
Vermont Catamounts,Vermont,Naasir Williams,G,69,165,FR,"New York, NY",NY
Vermont Catamounts,Vermont,Hector Harold,F,79,205,JR,"Pasadena, CA",CA
Vermont Catamounts,Vermont,Sandro Carissimo,G,74,170,SR,"Sleepy Hollow, NY",NY
Vermont Catamounts,Vermont,Josh Elbaum,G,75,195,SR,"Melville, NY",NY
Vermont Catamounts,Vermont,Brendan Kilpatrick,G-F,77,205,SO,"Norristown, PA",PA
Vermont Catamounts,Vermont,Dre Wills,G,73,175,FR,"Indianapolis, IN",IN
Vermont Catamounts,Vermont,Candon Rusin,G,76,190,SR,"Wilmington, VT",VT
Vermont Catamounts,Vermont,Harrison Taggart,G-F,77,190,FR,"Wallingford, VT",VT
Vermont Catamounts,Vermont,Clancy Rugg,F,80,195,SR,"Burlington, VT",VT
Vermont Catamounts,Vermont,Ethan O'Day,F,81,205,SO,--,--
Vermont Catamounts,Vermont,Kurt Steidl,F,78,185,FR,"Ridgefield, CT",CT
Vermont Catamounts,Vermont,Troy Davine,G,75,185,SO,"Rutland, VT",VT
Vermont Catamounts,Vermont,Kurt Steidl,F,0,0,FR,--,--
Cincinnati Bearcats,Cincinnati,Deshaun Morman,G,75,190,FR,"Richmond, VA",VA
Cincinnati Bearcats,Cincinnati,Titus Rubles,F,79,220,SR,"Dallas, TX",TX
Cincinnati Bearcats,Cincinnati,Shaquille Thomas,F,79,205,SO,"Paterson, NJ",NJ
Cincinnati Bearcats,Cincinnati,Justin Jackson,F,80,230,SR,"Cocoa Beach, FL",FL
Cincinnati Bearcats,Cincinnati,Troy Caupain,G,75,200,FR,"Midlothian, VA",VA
Cincinnati Bearcats,Cincinnati,Jermaine Lawrence,F,81,205,FR,"Springfield Gardens, NY",NY
Cincinnati Bearcats,Cincinnati,Ge'Lawn Guyn,G,74,185,JR,"Georgetown, KY",KY
Cincinnati Bearcats,Cincinnati,Jermaine Sanders,F,77,210,JR,"Far Rockaway, NY",NY
Cincinnati Bearcats,Cincinnati,Sean Kilpatrick,G,76,210,SR,"Yonkers, NY",NY
Cincinnati Bearcats,Cincinnati,Kevin Johnson,G,74,180,FR,"Cincinnati, OH",OH
Cincinnati Bearcats,Cincinnati,Jamaree Strickland,C,82,270,FR,"Oakland, CA",CA
Cincinnati Bearcats,Cincinnati,David Nyarsuk,C,85,250,SR,--,--
Cincinnati Bearcats,Cincinnati,Zack Tobler,F,77,215,FR,"Fort Mitchell, KY",KY
Cincinnati Bearcats,Cincinnati,Derek Cox,G,75,186,SR,"Mason, OH",OH
Connecticut Huskies,Connecticut,DeAndre Daniels,F,81,195,JR,"Los Angeles, CA",CA
Connecticut Huskies,Connecticut,Terrence Samuel,G,76,190,FR,"Brooklyn, NY",NY
Connecticut Huskies,Connecticut,Niels Giffey,G-F,79,204,SR,"Berlin, Germany",Germany
Connecticut Huskies,Connecticut,Tyler Olander,F,82,230,SR,--,--
Connecticut Huskies,Connecticut,Ryan Boatright,G,72,168,JR,"Aurora, IL",IL
Connecticut Huskies,Connecticut,Kentan Facey,F,81,200,FR,--,--
Connecticut Huskies,Connecticut,Shabazz Napier,G,73,180,SR,"Roxbury, MA",MA
Connecticut Huskies,Connecticut,Pat Lenehan,G,76,181,JR,"Middletown, CT",CT
Connecticut Huskies,Connecticut,Lasan Kromah,G-F,78,201,SR,"Greenbelt, MD",MD
Connecticut Huskies,Connecticut,Omar Calhoun,G,78,200,SO,"Brooklyn, NY",NY
Connecticut Huskies,Connecticut,Leon Tolksdorf,F,80,218,SO,"Berlin, Germany",Germany
