New Hampshire Wildcats,New Hampshire,Keon Burns,G,76,205,FR,"Beaverton, OR",OR
New Hampshire Wildcats,New Hampshire,Daniel Dion,G,72,175,SO,"Cedar Park, TX",TX
New Hampshire Wildcats,New Hampshire,Iba Camara,F,81,225,FR,"Dakar, Senegal",Senegal
New Hampshire Wildcats,New Hampshire,Tommy McDonnell,G,75,190,SR,"Durham, NH",NH
New Hampshire Wildcats,New Hampshire,Frank Okeke,F,78,220,JR,"Desoto, TX",TX
New Hampshire Wildcats,New Hampshire,John Edwards,F,78,205,SO,"Charlotte, NC",NC
New Hampshire Wildcats,New Hampshire,Tanner Leissner,F,78,210,FR,"Converse, TX",TX
New Hampshire Wildcats,New Hampshire,Logan Mortenson,F,79,210,JR,"South Jordan, UT",UT
New Hampshire Wildcats,New Hampshire,Ronnel Jordan,G-F,75,194,JR,"San Antonio, TX",TX
New Hampshire Wildcats,New Hampshire,Matt Miller,G,76,190,SR,"Arnold, MD",MD
New Hampshire Wildcats,New Hampshire,Williams Gabriel,F,80,214,SO,"Lagos, Nigeria",Nigeria
New Hampshire Wildcats,New Hampshire,Joe Bramanti,G,74,195,JR,"Andover, MA",MA
Stony Brook Seawolves,Stony Brook,Deshaun Thrower,G,74,200,FR,"Muskegon, MI",MI
Stony Brook Seawolves,Stony Brook,Kameron Mitchell,G,76,175,SO,"Jacksonville, FL",FL
Stony Brook Seawolves,Stony Brook,Carson Puriefoy,G,72,175,JR,"Wenonah, NJ",NJ
Stony Brook Seawolves,Stony Brook,Tyrell Sturdivant,F,79,225,FR,"Chester, PA",PA
Stony Brook Seawolves,Stony Brook,Jameel Warney,F,80,255,JR,"Plainfield, NJ",NJ
Stony Brook Seawolves,Stony Brook,Rayshaun McGrew,F,79,230,JR,"Chicago, IL",IL
Stony Brook Seawolves,Stony Brook,Bryan Sekunda,G-F,78,195,FR,"State College, PA",PA
Stony Brook Seawolves,Stony Brook,Chris Braley,G-F,77,205,SO,"Newport, ME",ME
Stony Brook Seawolves,Stony Brook,Roland Nyama,G-F,78,200,FR,"Frankfurt, Germany",Germany
Stony Brook Seawolves,Stony Brook,Ryan Burnett,G,76,190,SO,"Richmond, VA",VA
Stony Brook Seawolves,Stony Brook,Lucas Woodhouse,G,74,175,JR,"Greenlawn, NY",NY
Stony Brook Seawolves,Stony Brook,Scott King,F,82,230,JR,"Derry, NH",NH
UMass Lowell River Hawks,UMass Lowell,Lance Crawford,G,70,175,FR,"Davie, FL",FL
UMass Lowell River Hawks,UMass Lowell,Chad Holley,G,70,170,SR,"New York, NY",NY
UMass Lowell River Hawks,UMass Lowell,Chad Holley,G,70,170,SR,"New York, NY",NY
UMass Lowell River Hawks,UMass Lowell,Dontavious Smith,F,80,180,FR,"Springhill, LA",LA
UMass Lowell River Hawks,UMass Lowell,Jahad Thomas,G,74,220,SO,"Williamsport, PA",PA
UMass Lowell River Hawks,UMass Lowell,Jordan Shea,G,76,180,FR,"Madison, WI",WI
UMass Lowell River Hawks,UMass Lowell,DJ Mlachnik,G,74,175,JR,"Muskego, WI",WI
UMass Lowell River Hawks,UMass Lowell,Matt Harris,G,73,210,FR,"Erie, PA",PA
UMass Lowell River Hawks,UMass Lowell,Kerry Weldon,F,77,190,SR,"New York, NY",NY
UMass Lowell River Hawks,UMass Lowell,Tyler Livingston,F,77,200,SO,"Hudson, NH",NH
UMass Lowell River Hawks,UMass Lowell,Mark Cornelius,G,74,180,SR,"Westford, MA",MA
UMass Lowell River Hawks,UMass Lowell,Josh Gantz,G-F,78,190,FR,"Grove City, OH",OH
UMass Lowell River Hawks,UMass Lowell,Jordan Rhodes,G-F,78,177,FR,"Fountain, CO",CO
