bracket,initial_slot,seed,team,initial_odds,,
ff-1,1,16,Albany,0.58677686,,
ff-1,1,16,Mt. St. My,0.41322314,,
ff-2,1,16,Cal Poly,0.603174603,,
ff-2,1,16,Tx Southern,0.396825397,,
ff-3,5,12,NC State,0.454545455,,
ff-3,5,12,Xavier,0.545454545,,
ff-4,9,11,Iowa,0.440528634,,
ff-4,9,11,Tenn.,0.559471366,,
