bracket,initial_slot,seed,team,initial_odds
ff-1,1,16,Manhattan,0.833333333
ff-1,1,16,Hampton,0.166666667
ff-2,9,11,Boise State,0.357142857
ff-2,9,11,Dayton,0.642857143
ff-3,9,11,BYU,0.62962963
ff-3,9,11,Ole Miss,0.37037037
ff-4,1,16,North Florida,0.591836735
ff-4,1,16,Rbrt Morris,0.408163265
