bracket,initial_slot,seed,team,initial_odds,ff_odds,ship_odds
e,0,1,Virginia,0.989130435,0.266666667,0.0909091
e,1,16,Cstl. Caro.,0.010869565,0.00990099,0.0009990
e,2,8,Memphis,0.591836735,0.038461538,0.0099010
e,3,9,Geo. Wash.,0.408163265,0.019607843,0.0039841
e,4,5,Cinncinnati,0.591836735,0.058823529,0.0149254
e,5,12,Harvard,0.408163265,0.019607843,0.0019960
e,6,4,Mich. State,0.928571429,0.285714286,0.1250000
e,7,13,Delaware,0.071428571,0.00990099,0.0009990
e,8,6,UNC,0.62962963,0.076923077,0.0243902
e,9,11,Providence,0.37037037,0.029411765,0.0049751
e,10,3,Iowa State,0.833333333,0.142857143,0.0294118
e,11,14,NC Central,0.166666667,0.00990099,0.0009990
e,12,7,Connecticut,0.62962963,0.058823529,0.0149254
e,13,10,St. Joseph's,0.37037037,0.019607843,0.0039841
e,14,2,Villanova,0.947368421,0.210526316,0.0476190
e,15,15,Milwaukee,0.052631579,0.00990099,0.0009990
ff-1,1,16,Albany,0.010869565,0.004975124,0.0009990
ff-1,1,16,Mt. St. My,0.010869565,0.004975124,0.0009990
ff-2,1,16,Cal Poly,0.010869565,0.004975124,0.0009990
ff-2,1,16,Tx Southern,0.010869565,0.004975124,0.0009990
ff-3,5,12,NC State,0.238636364,0.014925373,0.0033223
ff-3,5,12,Xavier,0.238636364,0.014925373,0.0033223
ff-4,9,11,Iowa,0.611940299,0.038461538,0.0131579
ff-4,9,11,Tenn.,0.611940299,0.038461538,0.0149254
m,0,1,Wichita St.,0.989130435,0.2,0.0909091
m,1,16,First Four 2,,,
m,2,8,Kentucky,0.649122807,0.076923077,0.0294118
m,3,9,Kansas St.,0.350877193,0.029411765,0.0049751
m,4,5,St Louis,0.761363636,0.047619048,0.0099010
m,5,12,First Four 3,,,
m,6,4,Louisville,0.947368421,0.384615385,0.1333333
m,7,13,Manhattan,0.052631579,0.013157895,0.0009990
m,8,6,Umass,0.388059701,0.024390244,0.0099010
m,9,11,First Four 4,,,
m,10,3,Duke,0.916666667,0.222222222,0.0769231
m,11,14,Mercer,0.083333333,0.00990099,0.0009990
m,12,7,Texas,0.555555556,0.029411765,0.0099010
m,13,10,Arizona St.,0.444444444,0.019607843,0.0019960
m,14,2,Michigan,0.941176471,0.153846154,0.0476190
m,15,15,Wofford,0.058823529,0.00990099,0.0009990
s,0,1,Florida,0.989130435,0.357142857,0.1538462
s,1,16,First Four 1,,,
s,2,8,Colorado,0.263157895,0.014925373,0.0039841
s,3,9,Pittsburgh,0.736842105,0.066666667,0.0149254
s,4,5,VCU,0.714285714,0.1,0.0149254
s,5,12,S. F. Austin,0.285714286,0.019607843,0.0019960
s,6,4,UCLA,0.8,0.1,0.0243902
s,7,13,Tulsa,0.2,0.014925373,0.0009990
s,8,6,Ohio State,0.692307692,0.066666667,0.0149254
s,9,11,Dayton,0.307692308,0.019607843,0.0019960
s,10,3,Syracuse,0.916666667,0.166666667,0.0476190
s,11,14,Wester Mich.,0.083333333,0.00990099,0.0009990
s,12,7,New Mexico,0.672131148,0.076923077,0.0099010
s,13,10,Stanford,0.327868852,0.024390244,0.0039841
s,14,2,Kansas,0.947368421,0.210526316,0.0909091
s,15,15,E. Kentucky,0.052631579,0.00990099,0.0009990
w,0,1,Arizona,0.984615385,0.333333333,0.1000000
w,1,16,Weber State,0.015384615,0.00990099,0.0009990
w,2,8,Gonzaga,0.37037037,0.052631579,0.0099010
w,3,9,OK State,0.62962963,0.076923077,0.0243902
w,4,5,Oklahoma,0.692307692,0.058823529,0.0099010
w,5,12,ND State,0.307692308,0.019607843,0.0019960
w,6,4,SD State,0.970588235,0.1,0.0196078
w,7,13,NM State,0.029411765,0.002849003,0.0009990
w,8,6,Baylor,0.591836735,0.066666667,0.0099010
w,9,11,Nebraska,0.408163265,0.024390244,0.0039841
w,10,3,Creighton,0.916666667,0.2,0.0476190
w,11,14,La.-Laf.,0.083333333,0.013157895,0.0009990
w,12,7,Oregon,0.714285714,0.066666667,0.0099010
w,13,10,BYU,0.285714286,0.014925373,0.0019960
w,14,2,Wisconson,0.941176471,0.2,0.0476190
w,15,15,American,0.058823529,0.00990099,0.0009990
