extracted,term,title,views,length,upload,score,ratings,likes,dislikes
2013-09-17,justin bieber,Justin Bieber - One Less Lonely Girl,189255706,229,2009-11-30T17:25:25.000Z,3.8605375,520484,372216,148268
2013-09-17,justin bieber,Justin Bieber - Mistletoe,159640852,192,2011-10-18T23:54:00.000Z,4.1833115,1041146,828573,212573
2013-09-17,justin bieber,Justin Bieber - As Long As You Love Me ft. Big Sean,159056729,352,2012-08-01T12:00:14.000Z,4.3983755,1107880,941248,166632
2013-09-17,justin bieber,Justin Bieber - Love Me,140123261,194,2010-08-06T02:52:23.000Z,4.115505,551040,429192,121848
2013-09-17,justin bieber,Chris Brown - Next To You ft. Justin Bieber,126782158,364,2011-06-17T07:00:00.000Z,4.646024,607251,553513,53738
2013-09-17,justin bieber,Eenie Meenie,117004317,205,2010-04-29T05:52:25.000Z,4.6319795,333188,302533,30655
2013-09-17,justin bieber,Justin Bieber - Pray,85928677,213,2010-11-30T17:34:19.000Z,4.411294,540324,460801,79523
2013-09-17,justin bieber,will.i.am - #thatPOWER ft. Justin Bieber,83497298,294,2013-04-19T07:00:16.000Z,4.60728,559350,504433,54917
2013-09-17,justin bieber,Justin Bieber - U Smile,83423517,281,2010-09-28T23:16:41.000Z,4.270357,409318,334654,74664
2013-09-17,justin bieber,Justin Bieber - Boyfriend (MattyBRaps Cover),68952778,165,2012-04-06T17:22:41.000Z,4.401236,505074,429469,75605
2013-09-17,justin bieber,Justin Bieber Baby Chipmunks,66794108,209,2010-04-13T16:36:40.000Z,4.181494,55291,43977,11314
2013-09-17,justin bieber,Justin Bieber vs Beethoven -Epic Rap Battles of History #6,64555750,149,2011-03-02T21:59:33.000Z,4.9160056,306115,299687,6428
2013-09-17,justin bieber,"""Call Me Maybe"" by Carly Rae Jepsen - Feat. Justin Bieber, Selena, Ashley Tisdale & MORE!",64531784,205,2012-02-19T00:52:26.000Z,4.8487983,519835,500185,19650
2013-09-17,justin bieber,"Justin Bieber Parody ""Sleep on You"": Key Of Awesome #10",57691421,172,2009-12-21T20:18:28.000Z,4.4494786,167681,144603,23078
2013-09-17,justin bieber,All I Want For Christmas Is You (SuperFestive!) (Shazam V...,52673253,254,2011-12-01T02:55:00.000Z,4.395775,341654,290045,51609
2013-09-17,justin bieber,Jimmy Surprises Bieber Fan,52152377,279,2010-03-02T08:59:31.000Z,4.6066284,164740,148539,16201
2013-09-17,justin bieber,Justin Bieber - That Should Be Me ft. Rascal Flatts,50909056,237,2011-03-11T02:10:32.000Z,4.479478,363581,316268,47313
2013-09-17,justin bieber,"Sean Kingston & Justin Bieber ""Eenie Meenie""",50882476,204,2010-03-03T19:47:34.000Z,4.541748,60482,53553,6929
2013-09-17,justin bieber,JUSTIN BIEBER & SELENA GOMEZ KISSING?!?,49282810,125,2011-01-03T12:11:43.000Z,,,,
2013-09-17,justin bieber,Justin Bieber Heartbreaker Live Ft Selena Gomez Kiss Onstage,47245187,168,2010-01-03T00:17:20.000Z,3.1847222,69499,37959,31540
2013-09-17,justin bieber,"Justin Bieber ""Where Are You Now""",45047167,138,2009-05-07T15:41:42.000Z,4.3826375,115122,97354,17768
2013-09-17,justin bieber,With You - Chris Brown Cover - Justin singing,44981316,163,2008-02-11T04:39:50.000Z,4.6660314,305981,280434,25547
2013-09-17,justin bieber,Justin Bieber - Boyfriend (Audio),41215078,173,2012-03-27T20:06:38.000Z,4.184747,254434,202577,51857
2013-09-17,justin bieber,"""Beauty And A Beat"" - Justin Bieber (Alex Goot, Kurt Schneider, and Chrissy Costanza Cover)",40591735,238,2013-01-05T17:49:56.000Z,4.889367,374681,364318,10363
2013-09-17,justin bieber,Justin Bieber - Baby  ft. Ludacris official music video PARODY,40015051,182,2010-03-08T02:40:29.000Z,3.6969085,85004,57312,27692
2013-09-17,justin bieber,Justin Bieber - As Long As You Love Me (Audio) ft. Big Sean,39102687,231,2012-06-12T15:55:07.000Z,4.6887755,196424,181141,15283
2013-09-17,justin bieber,JUSTIN BIEBER SINGING TO SELENA GOMEZ ON STAGE!,36640335,246,2010-01-01T22:05:54.000Z,3.624388,77801,51045,26756
2013-09-17,justin bieber,JUSTIN BIBA - Parodia Justin Bieber | Baby,34798718,250,2010-05-10T17:33:39.000Z,4.3914924,96551,81863,14688
2013-09-17,justin bieber,Justin Bieber ft Nicki Minaj - Beauty and A Beat (Lyrics) Gezim Gashi - Trigger - on iTunes now!,30515607,228,2012-06-12T15:25:51.000Z,4.679497,75319,69284,6035
2013-09-17,jennifer lopez,Jennifer Lopez - On The Floor ft. Pitbull,690921470,267,2011-03-04T01:13:27.000Z,4.701374,1331270,1231882,99388
2013-09-17,jennifer lopez,Jennifer Lopez - Dance Again ft. Pitbull,247035766,267,2012-04-06T01:00:08.000Z,4.7183337,585828,544576,41252
2013-09-17,jennifer lopez,Wisin & Yandel - Follow The Leader ft. Jennifer Lopez,155034357,299,2012-05-04T01:32:10.000Z,4.743324,363758,340416,23342
2013-09-17,jennifer lopez,Jennifer Lopez - I'm Into You ft. Lil Wayne,153315790,260,2011-05-02T20:25:31.000Z,4.8225,345623,330286,15337
2013-09-17,jennifer lopez,Jennifer Lopez - Goin' In ft. Flo Rida,121970716,249,2012-07-25T23:50:07.000Z,4.518559,366425,322322,44103
2013-09-17,jennifer lopez,Jennifer Lopez Provoca Ereccion a Pitbull @AMA 2011 [@buscandosonido],84882638,33,2011-11-22T18:56:09.000Z,3.8543806,31651,22586,9065
2013-09-17,jennifer lopez,Jennifer Lopez - Papi,73210788,326,2011-09-19T16:29:10.000Z,4.7949266,260824,247452,13372
2013-09-17,jennifer lopez,Jennifer Lopez - Live It Up ft. Pitbull,62700934,271,2013-05-17T23:27:35.000Z,4.5877833,241737,216825,24912
2013-09-17,jennifer lopez,Jennifer Lopez - Ain't It Funny (Alt Version),48139352,258,2009-10-03T05:50:25.000Z,4.8811617,62404,60550,1854
2013-09-17,jennifer lopez,Jennifer Lopez Nude Scene!,40324791,393,2010-01-07T01:30:08.000Z,3.7056828,2358,1595,763
2013-09-17,jennifer lopez,Jennifer Lopez - If You Had My Love,32499287,330,2009-10-03T04:32:40.000Z,4.879835,43973,42652,1321
2013-09-17,jennifer lopez,T.H.E. (The Hardest Ever),29598972,285,2011-12-12T08:00:00.000Z,4.629309,168615,152989,15626
2013-09-17,jennifer lopez,Jennifer Lopez - I'm Real (Remix) ft. Ja Rule,29331508,245,2009-10-03T04:32:42.000Z,4.8628087,38982,37645,1337
2013-09-17,jennifer lopez,Jennifer Lopez - Jenny from the Block,29102999,245,2009-10-03T20:45:20.000Z,4.848519,48983,47128,1855
2013-09-17,jennifer lopez,Jennifer Lopez Feat. Fabolous - Get Right (Cyber Gix),25693685,230,2007-07-13T22:10:12.000Z,4.8458,25655,24666,989
2013-09-17,jennifer lopez,Jennifer Lopez feat. Pitbull On The Floor Lyrics On Screen HD,24416892,230,2011-02-06T20:41:49.000Z,4.8695893,37819,36586,1233
2013-09-17,jennifer lopez,'On the Floor' Jennifer Lopez choreography by Jasmine Meakin (Mega Jam),20518983,61,2011-04-12T16:20:43.000Z,4.9278426,74504,73160,1344
2013-09-17,jennifer lopez,Jennifer Lopez On The Floor ft. Pitbull PARODY! - Key of Awesome #37!!,19410594,216,2011-03-28T19:26:39.000Z,4.7896404,70774,67052,3722
2013-09-17,jennifer lopez,Jennifer Lopez - Get Right,18837186,305,2009-10-03T04:40:42.000Z,4.8901744,45818,44560,1258
2013-09-17,jennifer lopez,Jennifer Lopez - Que Hiciste,18583049,259,2009-10-03T20:50:54.000Z,4.911555,38261,37415,846
2013-09-17,jennifer lopez,Jennifer Lopez - Waiting For Tonight,17241293,250,2009-11-24T06:46:54.000Z,4.8931384,28972,28198,774
2013-09-17,jennifer lopez,Jennifer Lopez - Love Don't Cost A Thing,17110529,308,2011-03-25T10:34:39.000Z,4.869428,37803,36569,1234
2013-09-17,jennifer lopez,Jennifer Lopez - Do It Well,15594197,199,2009-10-03T04:40:41.000Z,4.8761773,16669,16153,516
2013-09-17,jennifer lopez,Jennifer Lopez - Let's Get Loud,14878104,206,2009-10-03T04:40:42.000Z,4.89399,21847,21268,579
2013-09-17,jennifer lopez,Jennifer Lopez - Dance Again (Lyric Video) ft. Pitbull,14657755,238,2012-03-30T13:15:06.000Z,4.734369,62312,58174,4138
2013-09-17,jennifer lopez,Jennifer Lopez Feat. Pitbull On The Floor Lyrics,13806337,224,2011-04-04T09:31:17.000Z,4.852668,21611,20815,796
2013-09-17,jennifer lopez,Jennifer Lopez feat Enrique Iglesias,13290151,614,2011-11-22T10:40:18.000Z,4.7075114,16575,15363,1212
2013-09-17,jennifer lopez,Jennifer Lopez - Papi unofficial video clip (DJ Pakis video edit),12589757,250,2011-05-09T15:45:17.000Z,4.8827634,18049,17520,529
2013-09-17,jennifer lopez,Jennifer Lopez - On The Floor (Teaser Video) ft. Pitbull,12358310,240,2011-02-06T18:56:37.000Z,4.7159424,15349,14259,1090
2013-09-17,jennifer lopez,Jennifer Lopez (Feat. Fat Joe) - Hold You Down,12322092,281,2009-05-10T12:42:04.000Z,4.9185915,20047,19639,408
2013-09-17,jennifer lopez,Jennifer Lopez - Play,11634788,216,2009-10-03T04:32:40.000Z,4.875352,17040,16509,531
2013-09-17,jennifer lopez,Marc Anthony & Jennifer Lopez - Escapemonos (GRAMMYs on CBS),10732504,287,2010-01-25T21:19:29.000Z,4.8830223,18636,18091,545
2013-09-17,jennifer lopez,Marc Anthony And Jennifer Lopez  - No Me Ames (Official Music Video HD),9974977,288,2009-11-24T10:48:01.000Z,4.9212217,23966,23494,472
2013-09-17,jennifer lopez,Jennifer Lopez - All I Have ft. LL Cool J,9163652,258,2009-10-03T20:45:19.000Z,4.9238443,20852,20455,397
2013-09-17,jennifer lopez,Jennifer Lopez - Hold It Don't Drop It,9124672,235,2009-10-03T07:30:26.000Z,4.843822,8247,7925,322
2013-09-17,jennifer lopez,Jennifer Lopez ft David Guetta - On The Radio ( clip hd stereo ),8903985,345,2011-03-19T11:52:35.000Z,4.759786,10091,9485,606
2013-09-17,jennifer lopez,Beyonce ft Jennifer Lopez,8880568,284,2006-07-19T15:00:42.000Z,4.6468077,4213,3841,372
2013-09-17,jennifer lopez,Coreografia de On the floor / TKM Argentina,8377269,96,2011-06-14T20:15:20.000Z,4.7394223,11912,11136,776
2013-09-17,eminem,Eminem - Love The Way You Lie ft. Rihanna,595712169,268,2010-08-05T18:30:09.000Z,4.866356,1538416,1487016,51400
2013-09-17,eminem,Eminem - Not Afraid,437001959,259,2010-06-05T04:41:59.000Z,4.8941293,1628436,1585335,43101
2013-09-17,eminem,Eminem - Beautiful,165158957,255,2009-11-25T22:46:19.000Z,4.9234304,514303,504458,9845
2013-09-17,eminem,Eminem - When I'm Gone,164982115,369,2009-06-16T22:48:41.000Z,4.9388523,658210,648148,10062
2013-09-17,eminem,"Dr. Dre - I Need A Doctor (Explicit) ft. Eminem, Skylar Grey",136589876,457,2011-02-24T22:47:48.000Z,4.886393,647673,629278,18395
2013-09-17,eminem,Eminem - No Love (Explicit Version) ft. Lil Wayne,124426723,315,2010-09-29T17:34:29.000Z,4.9106464,485936,475081,10855
2013-09-17,eminem,Eminem - Without Me,123950187,300,2009-06-16T22:18:53.000Z,4.905116,393027,383704,9323
2013-09-17,eminem,Eminem - Like Toy Soldiers,122629073,324,2009-12-25T07:05:21.000Z,4.9226174,402364,394580,7784
2013-09-17,eminem,Lil Wayne - Drop The World ft. Eminem,119549119,266,2010-03-19T23:22:26.000Z,4.745635,318519,298264,20255
2013-09-17,eminem,Akon - Smack That ft. Eminem,105831915,254,2009-12-13T21:50:29.000Z,4.881418,234235,227291,6944
2013-09-17,eminem,Eminem - Space Bound,97557562,265,2011-06-27T07:00:00.000Z,4.9171076,547938,536583,11355
2013-09-17,eminem,Rihanna - Love The Way You Lie (Part 2) ft. Eminem (Lyrics),86116115,303,2010-11-17T01:15:01.000Z,4.8995423,187303,182599,4704
2013-09-17,eminem,Eminem - Mockingbird,75929965,259,2009-12-25T03:44:03.000Z,4.941447,357078,351851,5227
2013-09-17,eminem,Eminem - Just Lose It,70002495,246,2009-12-24T23:17:28.000Z,4.8318315,203082,194544,8538
2013-09-17,eminem,Eminem - We Made You,68983653,284,2009-06-16T21:08:33.000Z,4.8760276,168747,163517,5230
2013-09-17,eminem,"Eminem - You Don't Know ft. 50 Cent, Cashis, Lloyd Banks",64783434,265,2009-12-25T05:24:57.000Z,4.924063,191791,188150,3641
2013-09-17,eminem,Eminem - Love the Way You Lie ft Rihanna Parody: Key of Awesome #27,61510120,219,2010-08-24T19:31:36.000Z,4.687026,191377,176403,14974
2013-09-17,eminem,Eminem - Sing For The Moment,54972216,328,2009-12-25T05:24:57.000Z,4.9337134,198653,195361,3292
2013-09-17,eminem,Forever (Explicit Version),53282758,375,2009-11-26T01:32:12.000Z,4.862541,136972,132265,4707
2013-09-17,eminem,"Bad Meets Evil - Fast Lane ft. Eminem, Royce Da 5'9",49589343,250,2011-06-08T16:00:00.000Z,4.9196324,287479,281703,5776
2013-09-17,eminem,Eminem - The Real Slim Shady (Edited),47900682,268,2010-09-15T16:22:36.000Z,4.896733,191619,186672,4947
2013-09-17,eminem,"50 Cent - My Life ft. Eminem, Adam Levine",45880034,245,2012-11-27T19:55:30.000Z,4.8704166,329487,318813,10674
2013-09-17,eminem,Eminem - Cleanin' Out My Closet,43367309,312,2009-06-16T22:48:38.000Z,4.928771,176670,173524,3146
2013-09-17,eminem,Eminem - Stan (Short Version) ft. Dido,36582672,363,2009-06-16T22:18:55.000Z,4.906079,109624,107050,2574
2013-09-17,eminem,Eminem - The Way I Am,35288860,302,2009-06-16T22:18:48.000Z,4.8967013,106952,104190,2762
2013-09-17,eminem,Eminem - My Name Is,34690193,249,2009-06-16T22:48:41.000Z,4.8770094,99845,96775,3070
2013-09-17,eminem,EMINEM - lose yourself (uncencored),34345043,313,2007-06-14T18:21:24.000Z,4.948242,141196,139369,1827
2013-09-17,eminem,Eminem - Superman (Clean Version),33635813,287,2009-06-16T22:48:41.000Z,4.8215947,102396,97829,4567
2013-09-17,eminem,Eminem - Stan (Long Version) ft. Dido,33507780,490,2009-12-25T05:24:57.000Z,4.8899703,143125,139188,3937
2013-09-17,eminem,Eminem - No Love ft. Lil Wayne,32854983,315,2010-10-02T00:07:27.000Z,4.889986,131365,127752,3613
2013-09-17,eminem,Spongebob sings Just Lose It by Eminem,31825497,252,2007-05-18T03:09:58.000Z,4.810953,57171,54469,2702
2013-09-17,eminem,"Dr.Dre & Eminem - Forgot About Dre (From ""The Up In Smoke Tour"" DVD)",29788977,232,2008-09-05T23:54:39.000Z,4.91041,67954,66432,1522
2013-09-17,eminem,Eminem - 3 a.m.,26770938,325,2009-06-16T21:08:19.000Z,4.84214,69150,66421,2729
2013-09-17,eminem,Eminem ft. Rihanna - Love the Way You Lie (song + lyrics),26392745,265,2010-07-17T21:10:43.000Z,4.8982944,50892,49598,1294
2013-09-17,eminem,Eminem & Tupac - When I'm Gone (Remix),24643268,189,2006-10-19T00:05:21.000Z,4.934141,73369,72161,1208
2013-09-17,eminem,eminem - superman,23014392,316,2007-01-16T18:16:21.000Z,4.858259,36348,35060,1288
2013-09-17,eminem,EMINEM Not Afraid Parody: Key of Awesome #26,22838573,185,2010-08-02T21:35:48.000Z,4.5524545,150054,133265,16789
2013-09-17,eminem,Eminem feat. Nate Dogg - Till I Collapse,21355799,299,2007-01-25T19:14:48.000Z,4.9433365,77510,76412,1098
2013-09-17,lmfao,"LMFAO - Party Rock Anthem ft. Lauren Bennett, GoonRock",569189388,376,2011-03-09T05:30:54.000Z,4.835092,1930000,1850432,79568
2013-09-17,lmfao,LMFAO - Sexy and I Know It,270694001,204,2011-09-16T07:00:00.000Z,4.63433,1264167,1148600,115567
2013-09-17,lmfao,LMFAO - Sorry For Party Rocking,175545514,440,2012-02-22T08:00:00.000Z,4.7395506,724241,677084,47157
2013-09-17,lmfao,David Guetta & Chris Willis ft Fergie & LMFAO - Gettin' Over You (Official videoclip),134240615,188,2010-05-19T12:13:39.000Z,4.9028854,319870,312104,7766
2013-09-17,lmfao,LMFAO - Shots ft. Lil Jon,128415634,254,2009-12-05T05:40:22.000Z,4.7897363,343359,325310,18049
2013-09-17,lmfao,LMFAO - Champagne Showers ft. Natalia Kills,116833610,402,2011-06-08T16:05:39.000Z,4.8444715,394243,378914,15329
2013-09-17,lmfao,LMFAO - sexy and you know it,86671074,202,2011-09-30T02:28:26.000Z,4.13778,68094,53416,14678
2013-09-17,lmfao,Party Rock Anthem - LMFAO [OFFICIAL LYRICS],57895252,263,2011-03-11T21:42:12.000Z,4.875498,130536,126473,4063
2013-09-17,lmfao,LMFAO - La La La,52169233,291,2009-11-26T00:55:13.000Z,4.767202,140259,132096,8163
2013-09-17,lmfao,LMFAO - Yes (Behind The Scenes),43396580,635,2010-07-23T21:19:30.000Z,4.8322296,126387,121086,5301
2013-09-17,lmfao,LMFAO - I'm In Miami Trick,28774337,273,2009-10-05T11:55:27.000Z,4.758351,57869,54373,3496
2013-09-17,lmfao,LMFAO - Sexy and I Know It (Music Video) Parody,27386362,205,2011-11-19T21:44:04.000Z,3.912214,56239,40945,15294
2013-09-17,lmfao,Barack Obama Singing Sexy and I Know It by LMFAO,21314945,103,2012-03-26T21:41:14.000Z,4.940788,214010,210842,3168
2013-09-17,lmfao,LMFAO - Sexy and I Know It Parody - Sexy and I'm Homeless,19288971,151,2011-11-22T21:35:33.000Z,4.654557,73992,67602,6390
2013-09-17,lmfao,LMFAO - Sexy And I Know It Lyrics,19211805,195,2011-06-26T08:40:35.000Z,4.7957544,31844,30218,1626
2013-09-17,lmfao,"Noah Cover of ""Sexy and I Know It"" by LMFAO",19009561,215,2012-05-10T04:00:12.000Z,4.954832,282060,278875,3185
2013-09-17,lmfao,LMFAO - Sexy And I Know It (Behind The Scenes),18506172,184,2011-09-27T07:00:00.000Z,4.5875735,25333,22721,2612
2013-09-17,lmfao,Party Rock Anthem - LMFAO (Cover by @KarminMusic),18196456,189,2011-07-07T19:03:45.000Z,4.4822836,125845,109557,16288
2013-09-17,lmfao,LMFAO - Party Rock Anthem (Chipmunk Version),18188377,264,2011-03-27T06:07:34.000Z,4.289743,20708,17031,3677
2013-09-17,lmfao,I'm Elmo and I Know It ORIGINAL ( LMFAO Parody ),18078568,215,2012-01-04T03:10:08.000Z,4.9054065,89393,87279,2114
2013-09-17,lmfao,Flo Rida - Run ft. RedFoo of LMFAO [Audio],18056724,236,2012-06-06T14:01:33.000Z,4.8168726,63606,60694,2912
2013-09-17,lmfao,PartyRock Anthem (Keenan Cahill and LMFAO),18011141,182,2011-05-11T21:48:45.000Z,3.8041272,92555,64884,27671
