distance_in_miles,county,tract_code,median_income,population,white_percent,black_percent,latitude,longitude,trips,after_8_trips
1.405493191,New York,157,89410,10464,0.914277523,0.012519113,40.77749449,-73.97950511,15258,3376
1.424863287,New York,64,91010,7439,0.841242102,0.018954161,40.73731025,-73.98161489,17325,5079
1.43121143,New York,81,84338,8243,0.771806381,0.019410409,40.73968555,-73.99919998,20992,7812
1.433776285,New York,52,126525,4000,0.793,0.025,40.73720129,-73.98996922,36941,12553
1.462789941,New York,83,40764,4138,0.547365877,0.113098115,40.74178301,-74.00412888,30974,15652
1.513261324,New York,50,117670,5280,0.875568182,0.006060606,40.73582442,-73.98713958,15998,5824
1.514849125,New York,130,229632,3954,0.922104198,0.018968134,40.77267711,-73.96455738,19536,2625
1.517492738,New York,159,109727,8324,0.847549255,0.011412782,40.77957658,-73.9831151,12007,2430
1.591087936,New York,161,107912,6245,0.886629303,0.01521217,40.77979577,-73.97713054,9078,1872
1.604278285,New York,128,156339,5831,0.957983193,0,40.77153938,-73.96108249,22463,3461
1.607649549,New York,126,94591,11788,0.906854428,0.015184934,40.76848711,-73.95847917,19392,3775
1.609264306,New York,116,74231,3801,0.661404893,0.086029992,40.76408128,-73.95612526,13005,2321
1.626385603,New York,77,86250,5565,0.838095238,0.022102426,40.73841385,-74.00351635,17893,8417
1.634656736,New York,48,91875,6973,0.753047469,0.038290549,40.73409863,-73.98350631,12603,4030
1.64439994,New York,60,96656,4905,0.737206932,0.054434251,40.73478898,-73.97719018,4175,964
1.671239262,New York,79,133071,4455,0.89315376,0.007856341,40.73969798,-74.00702718,30717,16021
1.674312865,New York,163,91949,6778,0.807022721,0.012688109,40.78170656,-73.98132826,13788,2430
1.684565322,New York,61,112100,5175,0.806956522,0.01352657,40.73375122,-73.99174109,20822,6552
1.71628344,New York,71,106621,5512,0.842706821,0.00616836,40.73532428,-73.99994175,23967,9520
1.72763345,New York,63,123629,6486,0.846592661,0.007708912,40.7344411,-73.99781912,26316,8512
1.765802111,New York,124,90592,10301,0.772546355,0.068342879,40.76695364,-73.95424608,18701,2321
1.787776909,New York,165,119433,7193,0.867649103,0.031836508,40.78222591,-73.97480756,14103,3476
1.81294432,New York,42,101886,4872,0.681855501,0.052955665,40.73159895,-73.98926382,12425,6600
