"Hoch, Dan",2012,,,,Missouri
"Hoffman-Ellis, Alex",2012,,,,Washington State
"Holland, Cam",2012,,,,North Carolina
"Holt, D.J.",2012,,,,California
"Hughes, Trenton",2012,,,,Maryland
"Hughlett, Charley",2012,,,,Central Florida
"Hunter, Grant",2012,,,,Butler
"Jackson, Janzen",2012,,,,McNeese State
"Jacobs, Anthony",2012,,,,Minnesota
"Jacobson, McKay",2012,,,,Brigham Young
"Jarrett, Jamaar",2012,,,,Arizona State
"Johnson, Cody",2012,,,,Texas
"Johnson, Delvin",2012,,,,Marshall
"Johnson, Ethan",2012,,,,Notre Dame
"Jones, Tiger",2012,"Mobile , AL",Mobile,AL,Louisville
"Jones, Dwight",2012,"Burlington , NC",Burlington,NC,North Carolina
"Jones, Jeremy",2012,,,,Wayne State (Mich.)
"Jones, Joshua",2012,,,,Elon
"Jorden, Kamar",2012,,,,Bowling Green State
"Keller, Noah",2012,,,,Ohio U.
"Kemp, Wes",2012,,,,Missouri
"Kinnie, Brandon",2012,,,,Nebraska
"Kirkland, Sam",2012,,,,Kent State
"Knapp, Dan",2012,,,,Arizona State
"Koloto, Fred",2012,,,,San Jose State
"Kurn, Mario",2012,"San Diego , CA",San Diego,CA,San Diego
"Lair, Eric",2012,,,,Minnesota
"Law, Cordarro",2012,,,,Southern Mississippi
"Lawrence, Addison",2012,"Memphis , TN",Memphis,TN,Mississippi State
"Lee, Jarrett",2012,"San Angelo , TX",San Angelo,TX,LSU
"Lewis, Armahd",2012,,,,Central Washington
"Lewis, Monte",2012,,,,Jacksonville State
"Linam, Josh",2012,,,,Central Florida
"Lisowski, Donny",2012,,,,Montana
"Little, David",2012,,,,Midwestern State
"Lloyd, Tarren",2012,"Salt Lake City , UT",Salt Lake City,UT,Utah State
"Lott, Marcus",2012,,,,Coastal Carolina
"Louis, Mario",2012,,,,Grambling State
"Louks, Corbin",2012,,,,Nevada
"Love, A.J.",2012,,,,South Florida
"Lumpkin, Larry",2012,AL,,,Carson-Newman
"Lynn, D'Anton",2012,"Plano , TX",Plano,TX,Penn State
"Lyons, Shelly",2012,,,,Arizona State
"Madison, Isaac",2012,,,,Arkansas
"Markett, Marty",2012,,,,South Carolina
"Marrow, Desmond",2012,,,,Toledo
"Martinek, Joe",2012,,,,Rutgers
"Martinez, Nick",2012,"San Antonio , TX",San Antonio,TX,Oklahoma State
"Mayo, Thomas",2012,,,,California (PA)
"Maze, Marquis",2012,"Tarrant , AL",Tarrant,AL,Alabama
"McCabe, Mike",2012,,,,Holy Cross
"McCullough, Alfred",2012,,,,Alabama
"McGraw, Marcus",2012,"Dallas , TX",Dallas,TX,Houston
"McNally, Brian",2012,,,,New Hampshire
"Meisner, Lee",2012,,,,Southern Colorado
"Merletti, Matt",2012,,,,North Carolina
"Merrill, Otis",2012,"Cleveland , OH",Cleveland,OH,Illinois State
"Messam, Jerome",2012,,,,Graceland
"Middleton, Calvin",2012,,,,Jacksonville State
"Miles, Wallace",2012,,,,North Carolina A&T
"Miller, Anthony",2012,,,,California
"Moore, Rennie",2012,,,,Clemson
"Moore, Terrence",2012,,,,Nebraska
"Morris, Jordan",2012,"Des Moines , IA",Des Moines,IA,Iowa
"Mosley, Anthony",2012,,,,Kentucky
"Muhammad, Dre",2012,,,,Indiana
"Newhall-Caballero, Kyle",2012,,,,Brown
"Nicolas, JoJo",2012,,,,Miami (Fla.)
"Nielsen, Tyler",2012,,,,Iowa
"Nix, Jordan",2012,,,,North Carolina
"Novikoff, Tyrone",2012,,,,Idaho
"Obi, Conrad",2012,"College Park , GA",College Park,GA,Colorado
"Oram, J.C.",2012,,,,Weber State
"Pannell, DeOn'tae",2012,"Detroit , MI",Detroit,MI,Penn State
"Paredes, Corey",2012,"Sacramento , CA",Sacramento,CA,Hawaii
"Parker, Larry",2012,,,,San Diego State
"Parks, Terrance",2012,,,,Florida State
"Payne, Phillip",2012,"Las Vegas , NV",Las Vegas,NV,Nevada-Las Vegas
"Perkins, Anthony",2012,"Leonardtown , MD",Leonardtown,MD,Colorado
"Petrus, Moe",2012,,,,Connecticut
"Pieschel, Nick",2012,,,,Central Florida
"Pollard, Royce",2012,"Honolulu , HI",Honolulu,HI,Hawaii
"Powell, Tydreke",2012,,,,North Carolina
"Purvis, Deante'",2012,"Richmond , CA",Richmond,CA,Nevada-Las Vegas
"Ranglin, Rich",2012,,,,Central Connecticut State
"Reed, Antwuan",2012,,,,Pittsburgh
"Reed, Bert",2012,,,,Florida State
"Reliford, Beau",2012,,,,Florida State
"Richard, Donovan",2012,,,,South Carolina State
"Robinson, Donavan",2012,,,,Jackson State
"Rogers, James",2012,,,,Michigan
"Root, Jarrell",2012,,,,Boise State
"Rosario, Nelson",2012,,,,UCLA
"Rowells, Lyndon",2012,,,,Humboldt State
"Roy, Brett",2012,"Upland , CA",Upland,CA,Nevada
"Saffold, Jermaine",2012,"St. Louis , MO",St. Louis,MO,Missouri State
"Sawyer, Joe",2012,"Ogden , UT",Ogden,UT,Southwestern Oklahoma State
"Schwieger, Nick",2012,,,,Dartmouth
"Scott, Christian",2012,"Dallas , TX",Dallas,TX,Texas
"Scott, Kevyn",2012,"Plantation , FL",Plantation,FL,Syracuse
"Session, Derek",2012,,,,Maine
"Simmons, Aderious",2012,,,,Arizona State
"Slowey, Jason",2012,,,,Western Oregon
"Smith, Scott",2012,"Kailua , HI",Kailua,HI,Texas Tech
"Stewart, Chester",2012,,,,Temple
"Stewart, Juamorris",2012,,,,Southern University
"Stoller, Jake",2012,,,,Yale
"Stroud, Chris",2012,,,,Webber International FL
"Sukay, Nick",2012,,,,Penn State
"Szymanski, Matt",2012,,,,Southern Methodist
"Taplin-Ross, Justin",2012,,,,Utah
"Taylor, Nick",2012,,,,Florida International
"Tevis, Aaron",2012,,,,Boise State
"Thomas, Adonis",2012,,,,Toledo
"Thomas, Johnny",2012,"Galveston , TX",Galveston,TX,Oklahoma State
"Thomas, Latarrius",2012,,,,Eastern Michigan
"Thomas, Phillip",2012,,,,Syracuse
"Thomas, Tramain",2012,,,,Arkansas
"Thornton, Ronnie",2012,,,,Southern Mississippi
"Tripucka, Travis",2012,,,,Massachusetts
"Trotter, Frank",2012,,,,Memphis
"Tuinei, Lavasier",2012,"Westminster , IN",Westminster,IN,Oregon
"Tyler, Marc",2012,"Yorba Linda , CA",Yorba Linda,CA,USC
"Urban, Tyler",2012,,,,West Virginia
"Van Bergen, Ryan",2012,,,,Michigan
"VanDerMeulen, Mike",2012,,,,Toledo
"Vassallo, Paul",2012,,,,Arizona
"Venson, Brandon",2012,"Oak Park , IL",Oak Park,IL,Illinois State
"Vlachos, William",2012,,,,Alabama
"Wallace, Rico",2012,,,,Shenandoah (Va.)
"Watkins, Alex",2012,,,,Alabama
"Weaver, Aaron",2012,"Long Island , NY",Long Island,NY,Syracuse
"Wells, Austin",2012,,,,Northern Iowa
"Wesley, Ed",2012,,,,Texas Christian
"Wheaton, Marquese",2012,,,,Southern Mississippi
"White, Aron",2012,,,,Georgia
"White, Jordan",2012,"Middleburg Heights , OH",Middleburg Heights,OH,Western Michigan
"Williams, Greg",2012,,,,Pittsburgh
"Wilson, Oren",2012,,,,Michigan State
"Winnewisser, Scott",2012,,,,Cal Poly-Pomona
"Woods, D.J.",2012,,,,Cincinnati
"Wuebbels, Austin",2012,,,,Missouri
"Wynn, Desmond",2012,,,,Rutgers
"Zimmerman, Dawson",2012,,,,Clemson
"Abdulai, Ibrahim",2011,,,,Arkansas-Pine Bluff
"Acuna, Jose",2011,,,,Nevada
"Adams, Corey",2011,"Mountain View , GA",Mountain View,GA,Kansas State
"Adams, Darvin",2011,"Kennesaw , GA",Kennesaw,GA,Auburn
"Addai, Derick",2011,,,,Kentucky State
"Adingupu, Chris",2011,,,,Prairie View A&M
"Ajiboye, Ladi",2011,,,,South Carolina
"Akinniyi, David",2011,USA,,,North Carolina State
"Akra, Daunte",2011,"Detroit , MI",Detroit,MI,Wayne State (Mich.)
"Albritton, Scott",2011,"San Diego , CA",San Diego,CA,Colorado State
"Alexander, Mister",2011,"Killeen , TX",Killeen,TX,Florida State
"Allen, Matt",2011,,,,Texas A&M
"Allen, Pierre",2011,,,,Nebraska
"Ambrose, Damario",2011,,,,Arkansas
"Amituanai, Conan",2011,,,,Arizona
"Anderson, Isaac",2011,,,,Wisconsin
"Anderson, Kyle",2011,"Minneapolis , MN",Minneapolis,MN,Georgetown (KY)
"Antle, Tanner",2011,,,,Tulsa
"Arceneaux, Emmanuel",2011,"Alexandria , LA",Alexandria,LA,Alcorn State
"Atchison, Tim",2011,"Houston , TX",Houston,TX,Baylor
"Ayodele, Harold",2011,,,,Emporia State
"Baker, Josh",2011,"Chesapeake , VA",Chesapeake,VA,Northwest Missouri State
"Baker, Mikail",2011,,,,Baylor
"Ballard, Demario",2011,,,,Western Oregon
"Baltz, Travis",2011,"Toldeo , OH",Toldeo,OH,Maryland
"Banks, Cornell",2011,"San Jose , CA",San Jose,CA,Fresno State
"Banks, Greg",2011,,,,Michigan
"Bannon, Shane",2011,,,,Yale
"Baptiste, Tressor",2011,,,,Texas A&M - Kingsville
"Barham, Ed",2011,,,,North Carolina
"Barnes, Dante",2011,,,,Norfolk State
"Barnes, Dominique",2011,,,,Youngstown State
"Barnes, Tyree",2011,,,,Navy
"Bartholomew, Ryan",2011,MD,,,Syracuse
"Bartlett, Bubba",2011,,,,Carroll (Wis.)
"Bates, Aaron",2011,,,,Michigan State
"Beaumont, Doug",2011,,,,Louisville
"Bedford, David",2011,,,,South Florida
"Beeler, Chase",2011,"Jenks , OK",Jenks,OK,Stanford
"Beilby, Coy",2011,,,,Marian (Ind.)
"Beiler, Tyler",2011,"Ronks , PA",Ronks,PA,Bridgewater College
"Belgrave, Kirk",2011,,,,Kent State
"Bellamy, Travon",2011,,,,Illinois
"Berning, Matt",2011,,,,Central Michigan
"Berry, Mike",2011,,,,Auburn
"Berry, Scooter",2011,"North Babylon , NY",North Babylon,NY,West Virginia
"Bing, Brandon",2011,,,,Rutgers
"Blackard, Billy",2011,"Claremore , OK",Claremore,OK,Northeastern State (Okla.)
"Blanc, Mike",2011,,,,Auburn
"Blohm, Chris",2011,,,,Yale
"Bogan, Dontavia",2011,,,,South Florida
"Borders, Quintin",2011,,,,Union College (KY)
"Boyce, Dorson",2011,,,,Washington
"Bradley, Rodney",2011,,,,Hawaii
"Bratton, Anthony",2011,,,,Delaware
"Brignone, J.C.",2011,"Atlanta , GA",Atlanta,GA,Mississippi State
"Brinkley, Niles",2011,,,,Wisconsin
"Broadway, Ramon",2011,,,,Arkansas
"Brodie, Cole",2011,,,,South Dakota State
"Brown, DeAndre",2011,,,,Southern Mississippi
"Brown, Ronnell",2011,,,,James Madison
"Bryan, Antareis",2011,"Dallas , TX",Dallas,TX,Baylor
"Bryant, Charlie",2011,"Memphis , TN",Memphis,TN,Memphis
"Bufford, Branden",2011,"Detroit , MI",Detroit,MI,Howard
"Bulcke, Brian",2011,,,,Stanford
"Burks, Darnell",2011,,,,Fort Valley State
"Burney, Kendric",2011,,,,North Carolina
"Bussey, Nate",2011,"Washington , DC",Washington,DC,Illinois
"Byrum, Wes",2011,,,,Auburn
"Caleb, Brandon",2011,,,,Oklahoma
"Calvin, Cordario",2011,,,,Belhaven College
"Campbell, Jared",2011,,,,Miami (Fla.)
"Cannon, Adrian",2011,,,,Maryland
"Caroll, Andre",2011,,,,Delaware State
"Carter, Chris",2011,,,,California-Davis
"Carter, Jalil",2011,,,,Akron
"Carter, Markell",2011,,,,Central Arkansas
"Castile, L.J.",2011,,,,Delta State
"Chappell, Ben",2011,,,,Indiana
"Chard, Derek",2011,,,,Connecticut
"Charles, Kenneth",2011,"Houston , TX",Houston,TX,Stephen F. Austin St.
"Charlton, Vaughn",2011,,,,Temple
"Chiles, John",2011,,,,Texas
"Chinasa, Ugo",2011,,,,Oklahoma State
"Claiborne, Thomas",2011,,,,Boston College
"Clanton, Erik",2011,,,,The Citadel
"Clay, Curtis",2011,,,,Texas Christian
"Clay, John",2011,"Racine , WI",Racine,WI,Wisconsin
"Cleveland, James",2011,"Baytown , TX",Baytown,TX,Houston
"Clifford, Eugene",2011,,,,Tennessee State
"Clouser, Brant",2011,"Altoona , PA",Altoona,PA,Villanova
"Cobb, Travis",2011,,,,Arizona
"Colasanti, Chris",2011,,,,Penn State
"Colburn, Ryan",2011,"Sacramento , CA",Sacramento,CA,Fresno State
"Coleman, Rajric",2011,"Phoenix , AZ",Phoenix,AZ,Utah State
"Collier, Brandon",2011,,,,Massachusetts
"Cook, Domonic",2011,,,,Buffalo
"Cooper, Graig",2011,,,,Miami (Fla.)
"Cornell, Jonathan",2011,,,,Mississippi
"Coughlin, Mike",2011,,,,Boise State
"Coulson, Ryan",2011,,,,Nevada
"Cox, Christian",2011,,,,Utah
"Cox, Landon",2011,,,,Northern Illinois
"Cox, Lucas",2011,,,,Georgia Tech
"Crittenton, Jarrett",2011,,,,Middle Tennessee State
"Cruz, Jose",2011,,,,Syracuse
"Culbreath, Johnny",2011,,,,South Carolina State
"Cumbie, Jamie",2011,,,,Clemson
"Cunningham, Chad",2011,,,,Tennessee
"Curry-Chapman, Daiveun",2011,,,,Northern Arizona
"Dahlman, Neal",2011,,,,Bowling Green State
"Davie, Quentin",2011,,,,Northwestern
"Davis, Josh",2011,,,,Georgia
"Davis, Phillip",2011,,,,Tulane
"Dell, Mark",2011,,,,Michigan State
"Dempsey, John",2011,,,,Villanova
"Dial, Preston",2011,,,,Alabama
"Dieker, Chris",2011,,,,Southern Illinois
"Dierking, Dan",2011,,,,Purdue
"Dinkins, Dionte",2011,,,,Fort Valley State
"Domino, Derek",2011,,,,South Dakota State
"Donahue, Ryan",2011,"Evergreen Park , IL",Evergreen Park,IL,Iowa
"Donahue, Tyler",2011,,,,Bowling Green State
"Donald, Archie",2011,,,,Toledo
"Donaldson, Chris",2011,"Phoenix , AZ",Phoenix,AZ,Oklahoma State
"Dorrestein, Perry",2011,,,,Michigan
"Dunn, Desia",2011,,,,Fresno State
"Duron, Jake",2011,"El Paso , TX",El Paso,TX,Missouri State
"Eddins, Robert",2011,"Detroit , MI",Detroit,MI,Ball State
"Edwards, Donovan",2011,"Richmond , CA",Richmond,CA,California
"Eliades, Lou",2011,,,,Penn State
"Ellingson, Greg",2011,,,,Florida International
"Elzy, Anthony",2011,,,,North Carolina
"English, Auston",2011,,,,Oklahoma
"Epperson, Derek",2011,"Houston , TX",Houston,TX,Baylor
