school,current_conf,historic_conf,county,recruit_year
Oklahoma,big-12,big-12,48329,1998
Houston,american,cusa,48321,1998
North Texas,cusa,sun-belt,48299,1998
Texas A&M,sec,big-12,48289,1998
Notre Dame,acc,independent,48223,1998
Texas-El Paso,cusa,wac,48201,1998
Southern Methodist,american,wac,48201,1998
Louisiana Tech,cusa,wac,48201,1998
Mississippi State,sec,sec,48183,1998
Florida State,acc,acc,48167,1998
UCLA,pac-12,pac-12,48141,1998
Texas Tech,big-12,big-12,48121,1998
Texas,big-12,big-12,48121,1998
Nebraska,big-ten,big-12,48121,1998
Nebraska,big-ten,big-12,48121,1998
Miami,#N/A,#N/A,48121,1998
Kansas State,big-12,big-12,48113,1998
Texas Christian,big-12,cusa,48089,1998
Texas A&M,sec,big-12,48089,1998
Southern Methodist,american,wac,48073,1998
Texas A&M,sec,big-12,48027,1998
Nebraska,big-ten,big-12,48003,1998
Southern Methodist,american,wac,48001,1998
Tennessee,sec,sec,47157,1998
Alabama,sec,sec,47001,1998
Colorado,pac-12,big-12,46103,1998
Ohio State,big-ten,big-ten,45091,1998
Clemson,acc,acc,45075,1998
South Carolina,sec,sec,45043,1998
San Diego State,mwc,mwc,45035,1998
Tennessee,sec,sec,45021,1998
Syracuse,acc,big-east,42089,1998
Syracuse,acc,big-east,42079,1998
Wisconsin,big-ten,big-ten,42069,1998
West Virginia,big-12,big-east,42003,1998
Pittsburgh,acc,big-east,42003,1998
Oregon State,pac-12,pac-12,41067,1998
Oregon,pac-12,pac-12,41067,1998
Oklahoma,big-12,big-12,40143,1998
Nevada-Las Vegas,mwc,mwc,39173,1998
Bowling Green,mac,mac,39173,1998
Miami (OH),mac,mac,39165,1998
Pittsburgh,acc,big-east,39153,1998
Ohio State,big-ten,big-ten,39141,1998
New Mexico,mwc,mwc,39113,1998
Cincinnati,american,cusa,39113,1998
Wisconsin,big-ten,big-ten,39099,1998
Notre Dame,acc,independent,39099,1998
Notre Dame,acc,independent,39061,1998
Michigan State,big-ten,big-ten,39061,1998
Ohio State,big-ten,big-ten,39049,1998
Toledo,mac,mac,39035,1998
Ohio State,big-ten,big-ten,39035,1998
Ohio State,big-ten,big-ten,39035,1998
Ohio,mac,mac,39035,1998
Notre Dame,acc,independent,39035,1998
Buffalo,mac,mac,39035,1998
Virginia Tech,acc,big-east,39013,1998
North Carolina,acc,acc,37191,1998
Miami,#N/A,#N/A,37183,1998
North Carolina,acc,acc,37133,1998
North Carolina State,acc,acc,37031,1998
Maryland,big-ten,acc,36103,1998
Virginia Tech,acc,big-east,36093,1998
Tulane,american,cusa,36087,1998
Western Kentucky,cusa,none,36061,1998
Georgia,sec,sec,36061,1998
Pittsburgh,acc,big-east,36029,1998
Ohio State,big-ten,big-ten,36029,1998
Rutgers,big-ten,big-east,34025,1998
West Virginia,big-12,big-east,34013,1998
Purdue,big-ten,big-ten,34013,1998
Boston College,acc,big-east,34001,1998
Utah State,mwc,independent,32003,1998
Fresno State,mwc,wac,32003,1998
Nebraska,big-ten,big-12,31129,1998
New Mexico State,sun-belt,sun-belt,31107,1998
Purdue,big-ten,big-ten,30031,1998
Wisconsin,big-ten,big-ten,29510,1998
South Carolina,sec,sec,29510,1998
Illinois,big-ten,big-ten,29510,1998
Baylor,big-12,big-12,29510,1998
Arizona,pac-12,pac-12,29510,1998
Ohio State,big-ten,big-ten,29165,1998
Auburn,sec,sec,28139,1998
Tennessee,sec,sec,28121,1998
Louisiana State,sec,sec,28105,1998
Alabama,sec,sec,28059,1998
Mississippi,sec,sec,28027,1998
Northwestern,big-ten,big-ten,27163,1998
Kansas,big-12,big-12,27103,1998
Minnesota,big-ten,big-ten,27085,1998
Minnesota,big-ten,big-ten,27025,1998
Toledo,mac,mac,26163,1998
Notre Dame,acc,independent,26163,1998
Minnesota,big-ten,big-ten,26163,1998
Minnesota,big-ten,big-ten,26163,1998
Minnesota,big-ten,big-ten,26163,1998
Louisville,acc,cusa,26163,1998
Kansas,big-12,big-12,26163,1998
Wisconsin,big-ten,big-ten,26161,1998
Central Michigan,mac,mac,26111,1998
Maryland,big-ten,acc,26099,1998
Indiana,big-ten,big-ten,26087,1998
Michigan State,big-ten,big-ten,26077,1998
Michigan State,big-ten,big-ten,26065,1998
Cincinnati,american,cusa,26017,1998
Boston College,acc,big-east,25021,1998
Baylor,big-12,big-12,25001,1998
Maryland,big-ten,acc,24033,1998
Georgia,sec,sec,22103,1998
Tulane,american,cusa,22071,1998
San Diego State,mwc,mwc,22071,1998
Tulane,american,cusa,22061,1998
Louisiana State,sec,sec,22057,1998
Louisiana State,sec,sec,22055,1998
Ohio State,big-ten,big-ten,22051,1998
Louisiana Tech,cusa,wac,22033,1998
Western Kentucky,cusa,none,21141,1998
Tennessee,sec,sec,21111,1998
Kentucky,sec,sec,21111,1998
Kentucky,sec,sec,21021,1998
Iowa,big-ten,big-ten,19103,1998
Iowa State,big-12,big-12,19033,1998
Iowa State,big-12,big-12,19013,1998
Indiana,big-ten,big-ten,18127,1998
Michigan State,big-ten,big-ten,18109,1998
Notre Dame,acc,independent,17201,1998
Northwestern,big-ten,big-ten,17197,1998
Purdue,big-ten,big-ten,17167,1998
Marshall,cusa,mac,17167,1998
Illinois,big-ten,big-ten,17119,1998
Michigan,big-ten,big-ten,17115,1998
Illinois State,none,none,17107,1998
Wisconsin,big-ten,big-ten,17031,1998
Tennessee,sec,sec,17031,1998
Notre Dame,acc,independent,17031,1998
Northwestern,big-ten,big-ten,17031,1998
Northern Illinois,mac,mac,17031,1998
Central Florida,american,mac,17031,1998
Boise State,mwc,wac,16049,1998
Brigham Young,independent,mwc,16031,1998
Boise State,mwc,wac,16001,1998
Georgia Tech,acc,acc,13275,1998
Georgia,sec,sec,13201,1998
Oregon,pac-12,pac-12,13179,1998
Georgia,sec,sec,13135,1998
South Carolina,sec,sec,13121,1998
Notre Dame,acc,independent,13121,1998
Georgia Tech,acc,acc,13121,1998
Georgia,sec,sec,13121,1998
Auburn,sec,sec,13121,1998
Notre Dame,acc,independent,13107,1998
South Carolina,sec,sec,13051,1998
Georgia,sec,sec,13051,1998
Michigan State,big-ten,big-ten,12115,1998
Temple,american,big-east,12113,1998
Florida,sec,sec,12109,1998
Florida,sec,sec,12109,1998
Alabama,sec,sec,12109,1998
South Carolina,sec,sec,12107,1998
Indiana,big-ten,big-ten,12105,1998
Syracuse,acc,big-east,12103,1998
Miami,#N/A,#N/A,12099,1998
Ohio State,big-ten,big-ten,12095,1998
Louisiana State,sec,sec,12091,1998
Ohio State,big-ten,big-ten,12086,1998
Miami,#N/A,#N/A,12086,1998
Florida,sec,sec,12086,1998
Central Florida,american,mac,12073,1998
Florida,sec,sec,12057,1998
Florida,sec,sec,12057,1998
Florida,sec,sec,12039,1998
Michigan State,big-ten,big-ten,12011,1998
Western Kentucky,cusa,none,12009,1998
Georgia Southern,sun-belt,none,12001,1998
Notre Dame,acc,independent,11001,1998
Marshall,cusa,mac,11001,1998
Auburn,sec,sec,10003,1998
Baylor,big-12,big-12,8123,1998
Oregon State,pac-12,pac-12,8059,1998
Colorado State,mwc,mwc,8059,1998
Colorado,pac-12,big-12,8059,1998
Stanford,pac-12,pac-12,8013,1998
San Jose State,mwc,wac,6085,1998
Southern California,pac-12,pac-12,6077,1998
Southern California,pac-12,pac-12,6077,1998
Virginia Tech,acc,big-east,6073,1998
New Mexico,mwc,mwc,6073,1998
Michigan,big-ten,big-ten,6073,1998
Colorado State,mwc,mwc,6073,1998
Colorado,pac-12,big-12,6073,1998
Utah,pac-12,mwc,6071,1998
UCLA,pac-12,pac-12,6071,1998
UCLA,pac-12,pac-12,6067,1998
Tennessee,sec,sec,6067,1998
San Jose State,mwc,wac,6065,1998
UCLA,pac-12,pac-12,6037,1998
Toledo,mac,mac,6037,1998
Syracuse,acc,big-east,6037,1998
Southern California,pac-12,pac-12,6037,1998
San Diego State,mwc,mwc,6037,1998
San Diego State,mwc,mwc,6037,1998
Pennsylvania,none,none,6037,1998
Oregon,pac-12,pac-12,6037,1998
Notre Dame,acc,independent,6037,1998
Louisiana Tech,cusa,wac,6037,1998
Kansas State,big-12,big-12,6037,1998
Hawaii,mwc,wac,6037,1998
Arizona State,pac-12,pac-12,6037,1998
Nevada-Las Vegas,mwc,mwc,6029,1998
UCLA,pac-12,pac-12,6025,1998
Fresno State,mwc,wac,6019,1998
Washington State,pac-12,pac-12,6013,1998
Washington State,pac-12,pac-12,6001,1998
Stanford,pac-12,pac-12,6001,1998
Pacific,none,none,6001,1998
Temple,american,big-east,5131,1998
Arkansas,sec,sec,5119,1998
Arkansas,sec,sec,5077,1998
Mississippi,sec,sec,5035,1998
Tennessee,sec,sec,5031,1998
Arizona State,pac-12,pac-12,4021,1998
Oregon,pac-12,pac-12,4013,1998
Nevada-Las Vegas,mwc,mwc,4013,1998
Missouri,sec,big-12,4013,1998
Southern Mississippi,cusa,cusa,1117,1998
Alabama,sec,sec,1117,1998
Troy,sun-belt,independent,1101,1998
Tennessee,sec,sec,1101,1998
Alabama-Birmingham,cusa,cusa,1097,1998
Troy,sun-belt,independent,1031,1998
Wisconsin,big-ten,big-ten,0,1998
Washington,pac-12,pac-12,0,1998
Virginia,acc,acc,0,1998
Virginia,acc,acc,0,1998
UCLA,pac-12,pac-12,0,1998
UCLA,pac-12,pac-12,0,1998
Tulsa,american,wac,0,1998
Toledo,mac,mac,0,1998
Texas A&M,sec,big-12,0,1998
Texas A&M,sec,big-12,0,1998
Texas,big-12,big-12,0,1998
Texas,big-12,big-12,0,1998
Tennessee,sec,sec,0,1998
Tennessee,sec,sec,0,1998
Tennessee,sec,sec,0,1998
Temple,american,big-east,0,1998
Syracuse,acc,big-east,0,1998
Stanford,pac-12,pac-12,0,1998
Stanford,pac-12,pac-12,0,1998
Stanford,pac-12,pac-12,0,1998
Southern Mississippi,cusa,cusa,0,1998
Southern Illinois,none,none,0,1998
South Carolina,sec,sec,0,1998
South Carolina,sec,sec,0,1998
San Diego State,mwc,mwc,0,1998
Richmond,none,none,0,1998
Purdue,big-ten,big-ten,0,1998
Pittsburgh,acc,big-east,0,1998
Oregon State,pac-12,pac-12,0,1998
Oregon,pac-12,pac-12,0,1998
Oregon,pac-12,pac-12,0,1998
Oklahoma,big-12,big-12,0,1998
Oklahoma,big-12,big-12,0,1998
Ohio,mac,mac,0,1998
Northwestern,big-ten,big-ten,0,1998
North Carolina State,acc,acc,0,1998
North Carolina,acc,acc,0,1998
North Carolina,acc,acc,0,1998
North Carolina,acc,acc,0,1998
Nebraska,big-ten,big-12,0,1998
Nebraska,big-ten,big-12,0,1998
Minnesota,big-ten,big-ten,0,1998
Michigan State,big-ten,big-ten,0,1998
Michigan,big-ten,big-ten,0,1998
Michigan,big-ten,big-ten,0,1998
Miami,#N/A,#N/A,0,1998
Miami,#N/A,#N/A,0,1998
Miami,#N/A,#N/A,0,1998
Miami,#N/A,#N/A,0,1998
Miami,#N/A,#N/A,0,1998
Miami,#N/A,#N/A,0,1998
Marshall,cusa,mac,0,1998
Louisville,acc,cusa,0,1998
Louisiana State,sec,sec,0,1998
Louisiana State,sec,sec,0,1998
Louisiana State,sec,sec,0,1998
Louisiana State,sec,sec,0,1998
Kentucky,sec,sec,0,1998
Kent State,mac,mac,0,1998
Kansas State,big-12,big-12,0,1998
Kansas State,big-12,big-12,0,1998
Kansas State,big-12,big-12,0,1998
Iowa State,big-12,big-12,0,1998
Iowa,big-ten,big-ten,0,1998
Iowa,big-ten,big-ten,0,1998
Indiana,big-ten,big-ten,0,1998
Georgia,sec,sec,0,1998
Georgia,sec,sec,0,1998
Fresno State,mwc,wac,0,1998
Florida State,acc,acc,0,1998
Florida,sec,sec,0,1998
Florida,sec,sec,0,1998
Florida,sec,sec,0,1998
Florida,sec,sec,0,1998
Florida,sec,sec,0,1998
Eastern Michigan,mac,mac,0,1998
East Carolina,american,cusa,0,1998
Drake,none,none,0,1998
Colorado,pac-12,big-12,0,1998
Colorado,pac-12,big-12,0,1998
Colorado,pac-12,big-12,0,1998
Colorado,pac-12,big-12,0,1998
Central Florida,american,mac,0,1998
California,pac-12,pac-12,0,1998
California,pac-12,pac-12,0,1998
Brigham Young,independent,mwc,0,1998
Brigham Young,independent,mwc,0,1998
Boston College,acc,big-east,0,1998
Boston College,acc,big-east,0,1998
Baylor,big-12,big-12,0,1998
Arizona State,pac-12,pac-12,0,1998
Arizona State,pac-12,pac-12,0,1998
Alabama-Birmingham,cusa,cusa,0,1998
Alabama,sec,sec,0,1998
Arizona State,pac-12,pac-12,56037,1997
Wisconsin,big-ten,big-ten,55133,1997
Wisconsin,big-ten,big-ten,55101,1997
Wisconsin,big-ten,big-ten,55085,1997
Kentucky,sec,sec,55079,1997
Notre Dame,acc,independent,54039,1997
Marshall,cusa,mac,54011,1997
Idaho,sun-belt,sun-belt,53063,1997
Idaho,sun-belt,sun-belt,53063,1997
Washington,pac-12,pac-12,53033,1997
Brigham Young,independent,mwc,53033,1997
Air Force,mwc,mwc,53033,1997
Michigan,big-ten,big-ten,51760,1997
Maryland,big-ten,acc,51760,1997
Georgia,sec,sec,51590,1997
Virginia,acc,acc,51149,1997
Alabama-Birmingham,cusa,cusa,51121,1997
Marshall,cusa,mac,51041,1997
Virginia,acc,acc,51003,1997
Utah,pac-12,mwc,49035,1997
Texas Christian,big-12,cusa,48439,1997
Baylor,big-12,big-12,48439,1997
Washington,pac-12,pac-12,48423,1997
Louisiana Tech,cusa,wac,48423,1997
Baylor,big-12,big-12,48423,1997
Texas Tech,big-12,big-12,48381,1997
Hawaii,mwc,wac,48347,1997
Texas Tech,big-12,big-12,48331,1997
Texas,big-12,big-12,48321,1997
Texas Tech,big-12,big-12,48303,1997
Texas Christian,big-12,cusa,48201,1997
Texas A&M,sec,big-12,48201,1997
Texas A&M,sec,big-12,48201,1997
Texas A&M,sec,big-12,48201,1997
Oklahoma State,big-12,big-12,48201,1997
Oklahoma State,big-12,big-12,48201,1997
Baylor,big-12,big-12,48201,1997
Kansas State,big-12,big-12,48121,1997
Kansas State,big-12,big-12,48113,1997
Texas-El Paso,cusa,wac,48091,1997
Texas Christian,big-12,cusa,48091,1997
Texas A&M,sec,big-12,48091,1997
Texas Christian,big-12,cusa,48089,1997
Texas Christian,big-12,cusa,48039,1997
Kansas State,big-12,big-12,48039,1997
Notre Dame,acc,independent,48005,1997
Kansas,big-12,big-12,48005,1997
Tennessee,sec,sec,47167,1997
Mississippi,sec,sec,47167,1997
Tennessee,sec,sec,47157,1997
Nebraska,big-ten,big-12,47157,1997
Nebraska,big-ten,big-12,47157,1997
Memphis,american,cusa,47157,1997
Tennessee,sec,sec,47115,1997
Texas-El Paso,cusa,wac,47045,1997
North Carolina State,acc,acc,45079,1997
Furman,none,none,45045,1997
Notre Dame,acc,independent,45035,1997
Wake Forest,acc,acc,45031,1997
Wisconsin,big-ten,big-ten,42101,1997
Maryland,big-ten,acc,42101,1997
Wisconsin,big-ten,big-ten,42073,1997
Michigan,big-ten,big-ten,42051,1997
Princeton,none,none,42011,1997
Rutgers,big-ten,big-east,42003,1997
Purdue,big-ten,big-ten,42003,1997
Pittsburgh,acc,big-east,42003,1997
Pittsburgh,acc,big-east,42003,1997
Oklahoma State,big-12,big-12,40109,1997
Oregon State,pac-12,pac-12,39113,1997
Michigan State,big-ten,big-ten,39113,1997
Vanderbilt,sec,sec,39049,1997
Pittsburgh,acc,big-east,39049,1997
Ohio State,big-ten,big-ten,39049,1997
Ohio State,big-ten,big-ten,39049,1997
Southern California,pac-12,pac-12,39035,1997
Ohio State,big-ten,big-ten,39035,1997
Notre Dame,acc,independent,39035,1997
Maryland,big-ten,acc,39035,1997
Michigan State,big-ten,big-ten,39011,1997
Clemson,acc,acc,37179,1997
Syracuse,acc,big-east,37091,1997
North Carolina State,acc,acc,37085,1997
Tennessee,sec,sec,37071,1997
North Carolina,acc,acc,37001,1997
Syracuse,acc,big-east,36067,1997
Mississippi,sec,sec,36061,1997
Massachusetts,mac,none,34031,1997
Virginia Tech,acc,big-east,34001,1997
Wisconsin,big-ten,big-ten,32003,1997
Utah,pac-12,mwc,32003,1997
