source,school,current_conf,historic_conf,county,name,recruit_year,hometown,state
dbf,Syracuse,acc,big-east,12057,"Davis, Chris",1999,Tampa,FL
dbf,Miami,#N/A,#N/A,12057,"Williams, Andrew",1999,Tampa,FL
dbf,South Florida,american,cusa,12017,"Pierson, Shurron",1999,Inverness,FL
dbf,Miami,#N/A,#N/A,12011,"Mcdougle, Jerome",1999,Pompano Beach,FL
dbf,Florida,sec,sec,12011,"La favor, Tron",1999,Fort Lauderdale,FL
dbf,Miami,#N/A,#N/A,12009,"Walters, Matt",1999,Melbourne,FL
dbf,Florida,sec,sec,12009,"Walker, Aaron",1999,Titusville,FL
dbf,Florida,sec,sec,12001,"Nattiel, Mike",1999,Gainesville,FL
dbf,Wake Forest,acc,acc,11001,"Sharpe, Montique",1999,Washington,DC
dbf,North Carolina,acc,acc,11001,"Hilton, Zach",1999,Washington,DC
dbf,South Carolina,sec,sec,9003,"Pinnock, Andrew",1999,Hartford,CT
dbf,Oklahoma,big-12,big-12,8059,"Woolfolk, Andre",1999,Denver,CO
dbf,Kentucky,sec,sec,8059,"Pyatt, Brad",1999,Arvada,CO
dbf,Illinois,big-ten,big-ten,8031,"Moorehead, Aaron",1999,Aurora,CO
dbf,Southern California,pac-12,pac-12,6085,"Mattos, Grant",1999,Mountain View,CA
dbf,Stanford,pac-12,pac-12,6073,"Branch, Colin",1999,Carlsbad,CA
dbf,Stanford,pac-12,pac-12,6073,"Johnson, Teyo",1999,San Diego,CA
dbf,Notre Dame,acc,independent,6073,"Walton, Shane",1999,San Diego,CA
dbf,Indiana,big-ten,big-ten,6073,"Hamdan, Gibran",1999,San Diego,CA
dbf,Stanford,pac-12,pac-12,6071,"Allen, Brian",1999,Ontario,CA
dbf,Tennessee,sec,sec,6067,"Smith, Onterrio",1999,Sacramento,CA
dbf,Oregon,pac-12,pac-12,6067,"Smith, Onterrio",1999,Sacramento,CA
dbf,Michigan,big-ten,big-ten,6065,"June, Cato",1999,Riverside,CA
dbf,Washington State,pac-12,pac-12,6037,"Long, Rien",1999,Los Angeles,CA
dbf,Tennessee,sec,sec,6037,"Veal, Demetrin",1999,Paramount,CA
dbf,Southern California,pac-12,pac-12,6037,"Dickerson, Kori",1999,Los Angeles,CA
dbf,Southern California,pac-12,pac-12,6037,"Fargas, Justin",1999,Encino,CA
dbf,San Diego State,mwc,mwc,6037,"Tolver, J.R.",1999,Long Beach,CA
dbf,Oregon State,pac-12,pac-12,6037,"Weathersby, Dennis",1999,Glendora,CA
dbf,Oregon,pac-12,pac-12,6037,"Howry, Keenan",1999,Los Angeles,CA
dbf,Michigan State,big-ten,big-ten,6037,"Peko, Tupe",1999,Whittier,CA
dbf,Michigan,big-ten,big-ten,6037,"Fargas, Justin",1999,Encino,CA
dbf,Kansas State,big-12,big-12,6037,"Wallace, Taco",1999,Harbor City,CA
dbf,Colorado,pac-12,big-12,6037,"Sykes, Jashon",1999,Los Angeles,CA
dbf,California,pac-12,pac-12,6037,"Ward, Lashaun",1999,Pasadena,CA
dbf,Brigham Young,independent,mwc,6037,"Mahe, Reno",1999,Los Angeles,CA
dbf,Arkansas,sec,sec,6037,"Brooks, Jermaine",1999,Pasadena,CA
dbf,Arizona State,pac-12,pac-12,6037,"Peters, Scott",1999,Arcadia,CA
dbf,UCLA,pac-12,pac-12,6019,"Manning, Ricky",1999,Fresno,CA
dbf,Oregon State,pac-12,pac-12,6013,"Simonton, Ken",1999,Pittsburg,CA
dbf,Oregon State,pac-12,pac-12,6001,"Roberts, Terrell",1999,Berkeley,CA
dbf,Arizona,pac-12,pac-12,6001,"Wells, Ray",1999,Oakland,CA
dbf,Washington State,pac-12,pac-12,4013,"Smith, Raonall",1999,Mesa,AZ
dbf,Arizona State,pac-12,pac-12,4013,"Mcdonald, Shaun",1999,Phoenix,AZ
dbf,Arizona,pac-12,pac-12,4013,"Wade, Bobby",1999,Phoenix,AZ
dbf,Alabama,sec,sec,1117,"Ephraim, Alonzo",1999,Birmingham,AL
dbf,Florida State,acc,acc,1101,"Brown, Milford",1999,Montgomery,AL
dbf,Tennessee,sec,sec,1089,"Moore, Rashad",1999,Huntsville,AL
dbf,Cincinnati,american,cusa,1025,"Chatman, Antonio",1999,Jackson,AL
dbf,Southern Mississippi,cusa,cusa,1005,"Brutley, Daryon",1999,Eufaula,AL
dbf,Alabama,sec,sec,1003,"King, Kenny",1999,Daphne,AL
dbf,Louisville,acc,cusa,1001,"White, Dewayne",1999,Marbury,AL
dbf,Washington State,pac-12,pac-12,0,"Trufant, Marcus",1999,Tacoma,
dbf,Wake Forest,acc,acc,0,"Mughelli, Ovie",1999,Boston,
dbf,Wake Forest,acc,acc,0,"Pace, Calvin",1999,Detroit,
dbf,Virginia Tech,acc,big-east,0,"Beasley, Chad",1999,Upper St. Clair,PA
dbf,Virginia,acc,acc,0,"Crowell, Angelo",1999,Forsyth County,NC
dbf,Vanderbilt,sec,sec,0,"Hillenmeyer, Hunter",1999,Nashville,
dbf,Utah State,mwc,sun-belt,0,"Curtis, Kevin",1999,Murray,
dbf,Utah,pac-12,mwc,0,"Gross, Jordan",1999,Fruitland,
dbf,UCLA,pac-12,pac-12,0,"Ayanbadejo, Brendon",1999,Chicago,
dbf,UCLA,pac-12,pac-12,0,"Seidman, Mike",1999,Westlake,CA
dbf,Troy,sun-belt,independent,0,"Umenyiora, Osi",1999,London,
dbf,Texas,big-12,big-12,0,"Dockery, Derrick",1999,Garland,
dbf,Texas,big-12,big-12,0,"Redding, Cory",1999,Houston,
dbf,Tennessee,sec,sec,0,"Franklin, Aubrayo",1999,Johnson City,
dbf,Tennessee,sec,sec,0,"Washington, Kelley",1999,Stephens City,
dbf,Tennessee,sec,sec,0,"Witten, Jason",1999,Elizabethon,
dbf,Stanford,pac-12,pac-12,0,"Leonard, Matt",1999,Agua Dolce,CA
dbf,Southern California,pac-12,pac-12,0,"Mackenzie, Malaefou",1999,Apia,
dbf,Southern California,pac-12,pac-12,0,"Polamalu, Troy",1999,Garden Grove,
dbf,South Florida,american,cusa,0,"Mitchell, Kawika",1999,Winter Springs,
dbf,San Diego State,mwc,mwc,0,"Osgood, Kassim",1999,Boston,
dbf,Rice,cusa,wac,0,"Pontbriand, Ryan",1999,Houston,
dbf,Pittsburgh,acc,big-east,0,"Hayes, Gerald",1999,Paterson,
dbf,Oregon State,pac-12,pac-12,0,"Barnett, Nick",1999,Barstow,
dbf,Oklahoma State,big-12,big-12,0,"Williams, Kevin",1999,Arkadelphia,
dbf,Oklahoma,big-12,big-12,0,"Wilkerson, Jimmy",1999,Omaha,
dbf,Ohio State,big-ten,big-ten,0,"Nickey, Donnie",1999,Akron,
dbf,Ohio State,big-ten,big-ten,0,"Wilhelm, Matt",1999,Oberlin,
dbf,Notre Dame,acc,independent,0,"Battle, Arnaz",1999,Dallas,
dbf,Notre Dame,acc,independent,0,"Black, Jordan",1999,Garland,
dbf,Notre Dame,acc,independent,0,"Faine, Jeff",1999,Milwaukee,
dbf,North Carolina,acc,acc,0,"Aiken, Sam",1999,Clinton,
dbf,New Mexico State,sun-belt,sun-belt,0,"Shabazz, Siddeeq",1999,Frankfurt,
dbf,Nevada,mwc,wac,0,"Burleson, Nate",1999,Seattle,
dbf,Nebraska,big-ten,big-12,0,"Brown, Josh",1999,Foyil,
dbf,Nebraska,big-ten,big-12,0,"Kelsay, Chris",1999,Auburn,
dbf,Nebraska,big-ten,big-12,0,"Shanle, Scott",1999,Genoa,
dbf,Missouri,sec,big-12,0,"Gage, Justin",1999,Jefferson City,
dbf,Mississippi State,sec,sec,0,"Blade, Willie",1999,Landstuel,
dbf,Mississippi State,sec,sec,0,"Haggan, Mario",1999,Clarksdale,
dbf,Mississippi State,sec,sec,0,"Lee, Donald",1999,Maben,
dbf,Middle Tennessee State,cusa,sun-belt,0,"Calico, Tyrone",1999,Orange County,CA
dbf,Middle Tennessee State,cusa,sun-belt,0,"Hicks, Dwone",1999,Hunstville,AL
dbf,Miami,#N/A,#N/A,0,"Johnson, Andre",1999,Miami,
dbf,Memphis,american,cusa,0,"Hicks, Artis",1999,Jackson,
dbf,Maryland,big-ten,acc,0,"Henderson, E.J.",1999,Aberdeen,
dbf,Maryland,big-ten,acc,0,"Oklanawon, Tony",1999,Lagos,
dbf,Marshall,cusa,mac,0,"Crocker, Chris",1999,Chesapeake,
dbf,Marshall,cusa,mac,0,"Leftwich, Byron",1999,Washington,
dbf,Louisiana-Lafayette,sun-belt,sun-belt,0,"Taylor, Ike",1999,New Orleans,
dbf,Louisiana-Lafayette,sun-belt,sun-belt,0,"Tillman, Charles",1999,Copperas Cove,
dbf,Louisiana State,sec,sec,0,"James, Bradie",1999,Monroe,
dbf,Louisiana State,sec,sec,0,"Royal, Robert",1999,New Orleans,
dbf,Kent State,mac,mac,0,"Gates, Antonio",1999,Detroit,
dbf,Kansas State,big-12,big-12,0,"Newman, Terence",1999,Salina,
dbf,Iowa State,big-12,big-12,0,"Wallace, Seneca",1999,Sacramento,
dbf,Iowa,big-ten,big-ten,0,"Clark, Dallas",1999,Livermore,
dbf,Iowa,big-ten,big-ten,0,"Steinbach, Eric",1999,Lockport,
dbf,Indiana,big-ten,big-ten,0,"Dielman, Kris",1999,Goshen,
dbf,Illinois,big-ten,big-ten,0,"Diehl, David",1999,Chicago,
dbf,Illinois,big-ten,big-ten,0,"Lewis, Greg",1999,Chicago,
dbf,Illinois,big-ten,big-ten,0,"Lloyd, Brandon",1999,Kansas City,
dbf,Illinois,big-ten,big-ten,0,"Moore, Brandon",1999,Gary,
dbf,Illinois,big-ten,big-ten,0,"Wilson, Eugene",1999,Merrillville,
dbf,Hawaii,mwc,wac,0,"Hunter, Wayne",1999,Honolulu,
dbf,Hawaii,mwc,wac,0,"Manuwai, Vince",1999,Honolulu,
dbf,Hawaii,mwc,wac,0,"Tinoisamoa, Pisa",1999,San Diego,
dbf,Georgia Tech,acc,acc,0,"Heller, Will",1999,Dunwoody,
dbf,Georgia,sec,sec,0,"Bailey, Boss",1999,Folskton,GA
dbf,Georgia,sec,sec,0,"Mitchell, Kawika",1999,Winter Springs,
dbf,Georgia,sec,sec,0,"Smith, Musa",1999,Elliotsburg,PA
dbf,Georgia,sec,sec,0,"Stinchcomb, Jon",1999,Atlanta,
dbf,Fresno State,mwc,wac,0,"Williams, Sam",1999,Clayton,
dbf,Fresno State,mwc,wac,0,"Worrell, Cameron",1999,Merced County,CA
dbf,Fresno State,mwc,wac,0,"Worrell, Cameron",1999,Merced County,CA
dbf,Florida State,acc,acc,0,"Boldin, Anquan",1999,Pahokee,
dbf,Florida State,acc,acc,0,"Holland, Montrae",1999,Ore City,
dbf,Florida,sec,sec,0,"Grossman, Rex",1999,Bloomington,
dbf,Eastern Michigan,mac,mac,0,"Walter, Kevin",1999,Libertyville,
dbf,Colorado,pac-12,big-12,0,"Brayton, Tyler",1999,Richland,
dbf,Colorado,pac-12,big-12,0,"Strickland, Donald",1999,Redwood City,
dbf,Chattanooga,none,none,0,"Florence, Drayton",1999,Waycross,
dbf,Central Florida,american,mac,0,"Samuel, Asante",1999,Fort Lauderdale,
dbf,California,pac-12,pac-12,0,"Asomugha, Nnamdi",1999,Lafayette,
dbf,California,pac-12,pac-12,0,"Banta-cain, Tully",1999,Mountain View,
dbf,California,pac-12,pac-12,0,"Boller, Kyle",1999,Burbank,
dbf,California,pac-12,pac-12,0,"Hunter, Wayne",1999,Honolulu,
dbf,Brigham Young,independent,mwc,0,"Reid, Gabe",1999,Pago Pago,
dbf,Boston College,acc,big-east,0,"Garay, Antonio",1999,Rahway,
dbf,Boston College,acc,big-east,0,"Koppen, Dan",1999,Dubuque,
dbf,Boise State,mwc,wac,0,"Mikell, Quintin",1999,New Orleans,
dbf,Arkansas,sec,sec,0,"Hamlin, Ken",1999,Memphis,
dbf,Arizona State,pac-12,pac-12,0,"Bates, Solomon",1999,Carver City,CA
dbf,Arizona State,pac-12,pac-12,0,"Suggs, Terrell",1999,Minneapolis,
dbf,Arizona,pac-12,pac-12,0,"Briggs, Lance",1999,Sacramento,
dbf,Alabama,sec,sec,0,"Johnson, Jarret",1999,Homestead,
dbf,Arizona,pac-12,pac-12,55101,"Barry, Kevin",1998,Racine,WI
dbf,Wisconsin,big-ten,big-ten,55029,"Greisen, Nick",1998,Sturgeon Bay,WI
dbf,Wisconsin,big-ten,big-ten,55009,"Stemke, Kevin",1998,Green Bay,WI
dbf,Washington,pac-12,pac-12,53053,"Looker, Dane",1998,Puyallup,WA
dbf,Washington,pac-12,pac-12,53035,"Lowe, Omare",1998,Seattle,WA
dbf,North Carolina State,acc,acc,51760,"Smith, Corey",1998,Richmond,VA
dbf,Virginia,acc,acc,51710,"Pope, Monsanto",1998,Norfolk,VA
dbf,Virginia,acc,acc,51700,"Luzar, Chris",1998,Newport News,VA
dbf,North Carolina,acc,acc,51650,"Curry, Ronald",1998,Hampton,VA
dbf,Marshall,cusa,mac,51590,"Poole, Nate",1998,Danville,VA
dbf,East Carolina,american,cusa,51089,"Claybrooks, De vonne",1998,Martinsville,VA
dbf,Virginia Tech,acc,big-east,51009,"Pugh, David",1998,Madison Heights,VA
dbf,Brigham Young,independent,mwc,49053,"Jolley, Doug",1998,St. George,UT
dbf,Brigham Young,independent,mwc,49049,"Ena, Justin",1998,Provo,UT
dbf,Texas,big-12,big-12,48491,"Wilkins, Marcus",1998,Austin,TX
dbf,Stanford,pac-12,pac-12,48473,"Heitmann, Eric",1998,Brookshire,TX
dbf,Texas,big-12,big-12,48441,"Brooks, Ahmad",1998,Abilene,TX
dbf,Notre Dame,acc,independent,48441,"Weaver, Anthony",1998,Abilene,TX
dbf,Texas Tech,big-12,big-12,48439,"Dorris, Derek",1998,Arlington,TX
dbf,Texas Christian,big-12,cusa,48439,"James, Cedric",1998,Fort Worth,TX
dbf,Notre Dame,acc,independent,48339,"Irons, Grant",1998,The Woodlands,TX
dbf,Oklahoma,big-12,big-12,48329,"Norman, Josh",1998,Midland,TX
dbf,Houston,american,cusa,48321,"Lovelady, Josh",1998,Midfield,TX
dbf,North Texas,cusa,sun-belt,48299,"Kassell, Brad",1998,Llano,TX
dbf,Texas A&M,sec,big-12,48289,"Mckinney, Seth",1998,Buffalo,TX
dbf,Notre Dame,acc,independent,48223,"Harrison, Tyreo",1998,Sulphur Springs,TX
dbf,Texas-El Paso,cusa,wac,48201,"Mays, Lee",1998,Houston,TX
dbf,Southern Methodist,american,wac,48201,"Johnson, Albert",1998,Houston,TX
dbf,Louisiana Tech,cusa,wac,48201,"Gray, Bobby",1998,Houston,TX
dbf,Mississippi State,sec,sec,48183,"Byrdsong, Shawn",1998,Longview,TX
dbf,Florida State,acc,acc,48167,"Walker, Javon",1998,Galveston,TX
dbf,UCLA,pac-12,pac-12,48141,"Stansbury, Ed",1998,El Paso,TX
dbf,Texas Tech,big-12,big-12,48121,"Williams, Ricky",1998,Dallas,TX
dbf,Texas,big-12,big-12,48121,"Williams, Mike",1998,Dallas,TX
dbf,Nebraska,big-ten,big-12,48121,"Craver, Keyuo",1998,Dallas,TX
dbf,Nebraska,big-ten,big-12,48121,"Swiney, Erwin",1998,Dallas,TX
dbf,Miami,#N/A,#N/A,48121,"Jones, Daryl",1998,Dallas,TX
dbf,Kansas State,big-12,big-12,48113,"Faggins, De marcus",1998,Irving,TX
dbf,Texas Christian,big-12,cusa,48089,"Schobel, Matt",1998,Columbus,TX
dbf,Texas A&M,sec,big-12,48089,"Schobel, Matt",1998,Columbus,TX
dbf,Southern Methodist,american,wac,48073,"McCown, Josh",1998,Jacksonville,TX
dbf,Texas A&M,sec,big-12,48027,"Jameson, Michael",1998,Killeen,TX
dbf,Nebraska,big-ten,big-12,48003,"Finley, Clint",1998,Andrews,TX
dbf,Southern Methodist,american,wac,48001,"Aldridge, Kevin",1998,Palestine,TX
dbf,Tennessee,sec,sec,47157,"Lott, Andre",1998,Memphis,TN
dbf,Alabama,sec,sec,47001,"McAddley, Jason",1998,Oak Ridge,TN
dbf,Colorado,pac-12,big-12,46103,"Mcdonnell, Brady",1998,Rapid City,SD
dbf,Ohio State,big-ten,big-ten,45091,"Ross, Derek",1998,Rock Hill,SC
dbf,Clemson,acc,acc,45075,"Dantzler, Woodrow",1998,Orangeburg,SC
dbf,South Carolina,sec,sec,45043,"Stamper, John",1998,Andrews,SC
dbf,San Diego State,mwc,mwc,45035,"Demps, Will",1998,Charleston,SC
dbf,Tennessee,sec,sec,45021,"Stevenson, Dominique",1998,Gaffney,SC
dbf,Syracuse,acc,big-east,42089,"Mungro, James",1998,East Stroudsburg,PA
