id,name,male_18_to_24,cfb_players,cbb_players,pred_cfb,pred_cbb,resid_cfb,resid_cbb,percent_cfb,percent_cbb
48155,"Foard, Texas",43,0,0,0.582719298,-0.24034725,-0.582719298,0.24034725,-0.013551612,0.005589471
30055,"McCone, Montana",46,0,0,0.587279835,-0.239323727,-0.587279835,0.239323727,-0.012766953,0.00520269
35011,"De Baca, New Mexico",47,0,0,0.588800014,-0.238982552,-0.588800014,0.238982552,-0.01252766,0.005084735
38091,"Steele, North Dakota",47,0,0,0.588800014,-0.238982552,-0.588800014,0.238982552,-0.01252766,0.005084735
30059,"Meagher, Montana",48,0,0,0.590320193,-0.238641378,-0.590320193,0.238641378,-0.012298337,0.004971695
20033,"Comanche, Kansas",49,0,0,0.591840372,-0.238300203,-0.591840372,0.238300203,-0.012078375,0.004863269
41055,"Sherman, Oregon",49,0,0,0.591840372,-0.238300203,-0.591840372,0.238300203,-0.012078375,0.004863269
20199,"Wallace, Kansas",50,0,0,0.59336055,-0.237959028,-0.59336055,0.237959028,-0.011867211,0.004759181
46055,"Haakon, South Dakota",50,0,0,0.59336055,-0.237959028,-0.59336055,0.237959028,-0.011867211,0.004759181
48101,"Cottle, Texas",50,0,0,0.59336055,-0.237959028,-0.59336055,0.237959028,-0.011867211,0.004759181
8057,"Jackson, Colorado",52,0,0,0.596400908,-0.237276679,-0.596400908,0.237276679,-0.011469248,0.004563013
48045,"Briscoe, Texas",52,0,0,0.596400908,-0.237276679,-0.596400908,0.237276679,-0.011469248,0.004563013
48431,"Sterling, Texas",52,0,0,0.596400908,-0.237276679,-0.596400908,0.237276679,-0.011469248,0.004563013
48433,"Stonewall, Texas",53,0,0,0.597921087,-0.236935505,-0.597921087,0.236935505,-0.01128153,0.004470481
48447,"Throckmorton, Texas",53,0,0,0.597921087,-0.236935505,-0.597921087,0.236935505,-0.01128153,0.004470481
8033,"Dolores, Colorado",54,0,0,0.599441266,-0.23659433,-0.599441266,0.23659433,-0.011100764,0.004381376
30019,"Daniels, Montana",54,0,0,0.599441266,-0.23659433,-0.599441266,0.23659433,-0.011100764,0.004381376
20101,"Lane, Kansas",55,0,0,0.600961445,-0.236253156,-0.600961445,0.236253156,-0.010926572,0.004295512
41021,"Gilliam, Oregon",55,0,0,0.600961445,-0.236253156,-0.600961445,0.236253156,-0.010926572,0.004295512
2068,"Denali, Alaska",56,0,0,0.602481624,-0.235911981,-0.602481624,0.235911981,-0.0107586,0.004212714
16033,"Clark, Idaho",56,0,0,0.602481624,-0.235911981,-0.602481624,0.235911981,-0.0107586,0.004212714
31015,"Boyd, Nebraska",56,0,0,0.602481624,-0.235911981,-0.602481624,0.235911981,-0.0107586,0.004212714
38047,"Logan, North Dakota",56,0,0,0.602481624,-0.235911981,-0.602481624,0.235911981,-0.0107586,0.004212714
31073,"Gosper, Nebraska",57,0,0,0.604001803,-0.235570807,-0.604001803,0.235570807,-0.010596523,0.004132821
26083,"Keweenaw, Michigan",58,0,0,0.605521982,-0.235229632,-0.605521982,0.235229632,-0.010440034,0.004055683
31069,"Garden, Nebraska",58,0,0,0.605521982,-0.235229632,-0.605521982,0.235229632,-0.010440034,0.004055683
31071,"Garfield, Nebraska",59,0,0,0.607042161,-0.234888457,-0.607042161,0.234888457,-0.01028885,0.00398116
38065,"Oliver, North Dakota",59,0,0,0.607042161,-0.234888457,-0.607042161,0.234888457,-0.01028885,0.00398116
48011,"Armstrong, Texas",59,0,0,0.607042161,-0.234888457,-0.607042161,0.234888457,-0.01028885,0.00398116
48243,"Jeff Davis, Texas",60,0,0,0.60856234,-0.234547283,-0.60856234,0.234547283,-0.010142706,0.003909121
2100,"Haines, Alaska",61,0,0,0.610082519,-0.234206108,-0.610082519,0.234206108,-0.010001353,0.003839444
38051,"McIntosh, North Dakota",61,0,0,0.610082519,-0.234206108,-0.610082519,0.234206108,-0.010001353,0.003839444
46089,"McPherson, South Dakota",61,0,0,0.610082519,-0.234206108,-0.610082519,0.234206108,-0.010001353,0.003839444
8017,"Cheyenne, Colorado",62,0,0,0.611602698,-0.233864934,-0.611602698,0.233864934,-0.00986456,0.003772015
30107,"Wheatland, Montana",62,0,0,0.611602698,-0.233864934,-0.611602698,0.233864934,-0.00986456,0.003772015
31049,"Deuel, Nebraska",62,0,0,0.611602698,-0.233864934,-0.611602698,0.233864934,-0.00986456,0.003772015
48327,"Menard, Texas",62,0,0,0.611602698,-0.233864934,-0.611602698,0.233864934,-0.00986456,0.003772015
48359,"Oldham, Texas",62,0,0,0.611602698,-0.233864934,-0.611602698,0.233864934,-0.00986456,0.003772015
51091,"Highland, Virginia",62,0,0,0.611602698,-0.233864934,-0.611602698,0.233864934,-0.00986456,0.003772015
30045,"Judith Basin, Montana",63,0,0,0.613122877,-0.233523759,-0.613122877,0.233523759,-0.009732109,0.003706726
46069,"Hyde, South Dakota",63,0,0,0.613122877,-0.233523759,-0.613122877,0.233523759,-0.009732109,0.003706726
20083,"Hodgeman, Kansas",65,0,0,0.616163235,-0.23284141,-0.616163235,0.23284141,-0.009479434,0.003582176
38013,"Burke, North Dakota",65,0,0,0.616163235,-0.23284141,-0.616163235,0.23284141,-0.009479434,0.003582176
38039,"Griggs, North Dakota",65,0,0,0.616163235,-0.23284141,-0.616163235,0.23284141,-0.009479434,0.003582176
38023,"Divide, North Dakota",66,0,0,0.617683414,-0.232500236,-0.617683414,0.232500236,-0.00935884,0.003522731
38041,"Hettinger, North Dakota",66,0,0,0.617683414,-0.232500236,-0.617683414,0.232500236,-0.00935884,0.003522731
29227,"Worth, Missouri",67,0,0,0.619203593,-0.232159061,-0.619203593,0.232159061,-0.009241845,0.003465061
48235,"Irion, Texas",67,0,0,0.619203593,-0.232159061,-0.619203593,0.232159061,-0.009241845,0.003465061
20135,"Ness, Kansas",68,0,0,0.620723772,-0.231817886,-0.620723772,0.231817886,-0.009128291,0.003409087
20153,"Rawlins, Kansas",69,0,0,0.622243951,-0.231476712,-0.622243951,0.231476712,-0.009018028,0.003354735
48137,"Edwards, Texas",70,0,0,0.62376413,-0.231135537,-0.62376413,0.231135537,-0.008910916,0.003301936
20203,"Wichita, Kansas",71,0,0,0.625284309,-0.230794363,-0.625284309,0.230794363,-0.008806821,0.003250625
38095,"Towner, North Dakota",71,0,0,0.625284309,-0.230794363,-0.625284309,0.230794363,-0.008806821,0.003250625
20025,"Clark, Kansas",72,0,0,0.626804488,-0.230453188,-0.626804488,0.230453188,-0.008705618,0.003200739
20065,"Graham, Kansas",72,0,0,0.626804488,-0.230453188,-0.626804488,0.230453188,-0.008705618,0.003200739
30075,"Powder River, Montana",73,0,0,0.628324667,-0.230112014,-0.628324667,0.230112014,-0.008607187,0.003152219
46049,"Faulk, South Dakota",73,0,0,0.628324667,-0.230112014,-0.628324667,0.230112014,-0.008607187,0.003152219
38001,"Adams, North Dakota",74,0,0,0.629844846,-0.229770839,-0.629844846,0.229770839,-0.008511417,0.003105011
38027,"Eddy, North Dakota",74,0,0,0.629844846,-0.229770839,-0.629844846,0.229770839,-0.008511417,0.003105011
31135,"Perkins, Nebraska",75,0,1,0.631365025,-0.229429665,-0.631365025,1.229429665,-0.0084182,0.016392396
46097,"Miner, South Dakota",75,0,0,0.631365025,-0.229429665,-0.631365025,0.229429665,-0.0084182,0.003059062
56027,"Niobrara, Wyoming",76,0,0,0.632885204,-0.22908849,-0.632885204,0.22908849,-0.008327437,0.003014322
40025,"Cimarron, Oklahoma",77,0,0,0.634405382,-0.228747316,-0.634405382,0.228747316,-0.008239031,0.002970744
46107,"Potter, South Dakota",77,0,0,0.634405382,-0.228747316,-0.634405382,0.228747316,-0.008239031,0.002970744
53023,"Garfield, Washington",78,0,0,0.635925561,-0.228406141,-0.635925561,0.228406141,-0.008152892,0.002928284
31077,"Greeley, Nebraska",79,0,0,0.63744574,-0.228064966,-0.63744574,0.228064966,-0.008068933,0.002886898
13265,"Taliaferro, Georgia",81,0,0,0.640486098,-0.227382617,-0.640486098,0.227382617,-0.007907236,0.002807193
20047,"Edwards, Kansas",81,0,0,0.640486098,-0.227382617,-0.640486098,0.227382617,-0.007907236,0.002807193
8115,"Sedgwick, Colorado",82,0,0,0.642006277,-0.227041443,-0.642006277,0.227041443,-0.007829345,0.002768798
20049,"Elk, Kansas",83,0,0,0.643526456,-0.226700268,-0.643526456,0.226700268,-0.007753331,0.002731329
