player,position,cbs_pts,cbs_pts_rank_by_position
"Ronnie Brown, SD",rb,13.4,96
"Da'Rel Scott, NYG",rb,13,97
"Peyton Hillis, TB",rb,13,98
"Anthony Dixon, SF",rb,10.8,99
"Vonta Leach, BAL",rb,10,100
"Leon Washington, NE",rb,9.6,101
"Cedric Peerman, CIN",rb,9.6,102
"Benny Cunningham, STL",rb,9.2,103
"Will Johnson, PIT",rb,9,104
"Alfonso Smith, ARI",rb,8.8,105
"Bernard Scott, CIN",rb,8,106
"Brandon Jackson, CLE",rb,7.6,107
"Greg B. Jones, HOU",rb,7.6,108
"Jacob Hester, DEN",rb,6.6,109
"Montell Owens, DET",rb,6,110
"Kerwynn Williams, IND",rb,5.8,111
"Orson Charles, CIN",rb,5.8,112
"Chris Thompson, WAS",rb,5.8,113
"Cierre Wood, HOU",rb,5.8,114
"Henry Hynoski, NYG",rb,5.6,115
"Tashard Choice, BUF",rb,5.4,116
"Delone Carter, BAL",rb,5.2,117
"Stanley Havili, IND",rb,5.2,118
"Jonathan Dwyer, PIT",rb,5.2,119
"Montario Hardesty, CLE",rb,5,120
"Bobby Rainey, CLE",rb,5,121
"Cyrus Gray, KC",rb,4.8,122
"Armando Allen, CHI",rb,4.8,123
"Michael Cox, NYG",rb,4.8,124
"Jackie Battle, TEN",rb,3.8,125
"Darrel Young, WAS",rb,3.8,126
"Le'Ron McClain, SD",rb,3.8,127
"Jerome Felton, MIN",rb,3.8,128
"William Powell, PHI",rb,3,129
"Jorvorskie Lane, MIA",rb,3,130
"Rex Burkhead, CIN",rb,2.8,131
"Mike Cox, ATL",rb,2.8,132
"Kahlil Bell, NYJ",rb,2.8,133
"Shaun Draughn, KC",rb,2.8,134
"Jeremy Stewart, OAK",rb,2,135
"Michael Ford, CHI",rb,2,136
"Evan Rodriguez, MIA",rb,2,137
"DuJuan Harris, GB",rb,1.8,138
"Chris Pressley, CIN",rb,1.8,139
"Bruce Miller, SF",rb,1,140
"Darius Reynaud, TEN",rb,1,141
"David Johnson, PIT",rb,1,142
"Quinn Johnson, TEN",rb,1,143
"C.J. Anderson, DEN",rb,1,144
"Lawrence Vickers, DAL",rb,1,145
"Alex Green, NYJ",rb,1,146
"Tommy Bohanon, NYJ",rb,1,147
"Erik Lorig, TB",rb,1,148
"Tristan Davis, WAS",rb,1,149
"Marcus Thigpen, MIA",rb,0.4,150
"Calvin Johnson, DET",wr,223.2,1
"Dez Bryant, DAL",wr,198.4,2
"A.J. Green, CIN",wr,197.2,3
"Julio Jones, ATL",wr,189.2,4
"Brandon Marshall, CHI",wr,187.6,5
"Larry Fitzgerald, ARI",wr,182.4,6
"Demaryius Thomas, DEN",wr,182.4,7
"Andre Johnson, HOU",wr,173.8,8
"Randall Cobb, GB",wr,168.8,9
"Roddy White, ATL",wr,168,10
"Vincent Jackson, TB",wr,165.6,11
"Victor Cruz, NYG",wr,163.8,12
"Pierre Garcon, WAS",wr,155.6,13
"Marques Colston, NO",wr,155.2,14
"Dwayne Bowe, KC",wr,153.6,15
"Wes Welker, DEN",wr,149.8,16
"Eric Decker, DEN",wr,145.2,17
"Reggie Wayne, IND",wr,144.4,18
"Danny Amendola, NE",wr,144,19
"Steve Smith, CAR",wr,143.8,20
"Cecil Shorts, JAC",wr,140.4,21
"Hakeem Nicks, NYG",wr,140.2,22
"Jordy Nelson, GB",wr,140.2,23
"James Jones, GB",wr,138.8,24
"Antonio Brown, PIT",wr,137.2,25
"Torrey Smith, BAL",wr,136.4,26
"T.Y. Hilton, IND",wr,135.8,27
"DeSean Jackson, PHI",wr,131.8,28
"Kenny Britt, TEN",wr,131.4,29
"Tavon Austin, STL",wr,130.6,30
"Mike Wallace, MIA",wr,130.2,31
"Josh Gordon, CLE",wr,128.8,32
"Steve Johnson, BUF",wr,128.4,33
"Chris Givens, STL",wr,125.8,34
"Mike Williams, TB",wr,125.8,35
"Miles Austin, DAL",wr,122.6,36
"Michael Floyd, ARI",wr,118.6,37
"Lance Moore, NO",wr,118,38
"Golden Tate, SEA",wr,117.8,39
"Kenbrell Thompkins, NE",wr,115.2,40
"Greg Jennings, MIN",wr,113.8,41
"DeAndre Hopkins, HOU",wr,113.2,42
"Anquan Boldin, SF",wr,112.6,43
"Alshon Jeffery, CHI",wr,111.2,44
"Justin Blackmon, JAC",wr,109.8,45
"Ryan Broyles, DET",wr,105.4,46
"Vincent Brown, SD",wr,105.2,47
"Rueben Randle, NYG",wr,105.2,48
"Emmanuel Sanders, PIT",wr,103.4,49
"Denarius Moore, OAK",wr,99.8,50
"Darrius Heyward-Bey, IND",wr,98.2,51
"Kendall Wright, TEN",wr,97.6,52
"Brandon LaFell, CAR",wr,96.8,53
"Sidney Rice, SEA",wr,96.4,54
"Mohamed Sanu, CIN",wr,95.6,55
"Rod Streater, OAK",wr,93.4,56
"Brian Hartline, MIA",wr,93.2,57
"Greg Little, CLE",wr,91.2,58
"Cordarrelle Patterson, MIN",wr,88.8,59
"Aaron Dobson, NE",wr,87.6,60
"Jacoby Jones, BAL",wr,83.8,61
"Malcom Floyd, SD",wr,82,62
"Santonio Holmes, NYJ",wr,80.2,63
"Andre Roberts, ARI",wr,79,64
"Robert Woods, BUF",wr,76.6,65
"Nate Burleson, DET",wr,76.4,66
"Jeremy Kerley, NYJ",wr,73.6,67
"Markus Wheaton, PIT",wr,72.2,68
"Donnie Avery, KC",wr,71.8,69
"Davone Bess, CLE",wr,71.6,70
"Santana Moss, WAS",wr,71.6,71
"Brandon Gibson, MIA",wr,71.2,72
"Keenan Allen, SD",wr,71,73
"Kenny Stills, NO",wr,66.6,74
"Dexter McCluster, KC",wr,66.2,75
"Stephen Hill, NYJ",wr,65.2,76
"Josh Morgan, WAS",wr,63.8,77
"Leonard Hankerson, WAS",wr,62.2,78
"Jarius Wright, MIN",wr,60.6,79
"Riley Cooper, PHI",wr,58.2,80
"Jason Avant, PHI",wr,55.4,81
"Justin Hunter, TEN",wr,53.8,82
"Quinton Patton, SF",wr,53.2,83
"Nate Washington, TEN",wr,52.6,84
"Brandon Stokley, BAL",wr,52.2,85
"Jacoby Ford, OAK",wr,50.8,86
"Damaris Johnson, PHI",wr,49.8,87
"Jerricho Cotchery, PIT",wr,49.2,88
"Harry Douglas, ATL",wr,48,89
"Michael Crabtree, SF",wr,47.8,90
"Earl Bennett, CHI",wr,46.8,91
"T.J. Graham, BUF",wr,45.6,92
"Terrance Williams, DAL",wr,45,93
"Kevin Ogletree, TB",wr,44.8,94
"Brian Quick, STL",wr,44.8,95
"Domenik Hixon, CAR",wr,43.8,96
"Doug Baldwin, SEA",wr,43.2,97
"Mario Manningham, SF",wr,43.2,98
"Juron Criner, OAK",wr,43.2,99
"Andrew Hawkins, CIN",wr,43,100
"Travis Benjamin, CLE",wr,42.8,101
"Percy Harvin, SEA",wr,39.6,102
"Ace Sanders, JAC",wr,38.2,103
"Dwayne Harris, DAL",wr,38.2,104
"Marlon Brown, BAL",wr,38.2,105
"Jon Baldwin, SF",wr,37.2,106
"Marlon Moore, SF",wr,36.8,107
"Stedman Bailey, STL",wr,35.2,108
"Louis Murphy, NYG",wr,34,109
"Nick Toon, NO",wr,33.8,110
"Julian Edelman, NE",wr,33.8,111
"Marquise Goodwin, BUF",wr,27.6,112
"Austin Pettis, STL",wr,27.6,113
"Jordan Shipley, JAC",wr,25.8,114
"Pat Edwards, DET",wr,24.8,115
"Marvin Jones, CIN",wr,24.8,116
"LaVon Brazill, IND",wr,24.6,117
"Jerome Simpson, MIN",wr,24.4,118
"Eddie Royal, SD",wr,24.4,119
"Tiquan Underwood, TB",wr,24.2,120
"Keshawn Martin, HOU",wr,23.4,121
"Austin Collie, SF",wr,23,122
"Josh Boyce, NE",wr,22.2,123
"DeVier Posey, HOU",wr,21,124
"Clyde Gates, NYJ",wr,20.4,125
"A.J. Jenkins, KC",wr,19.2,126
"Jermaine Kearse, SEA",wr,18.2,127
"Rishard Matthews, MIA",wr,18.2,128
"Damian Williams, TEN",wr,18,129
"Lestar Jean, HOU",wr,18,130
"Ted Ginn, CAR",wr,17.2,131
"Jarrett Boykin, GB",wr,13.2,132
"Stephen Williams, SEA",wr,13.2,133
"Cole Beasley, DAL",wr,13.2,134
"Joe Morgan, NO",wr,13,135
"Kevin Walter, TEN",wr,12.8,136
"Drew Davis, ATL",wr,12.8,137
"Andre Caldwell, DEN",wr,11.2,138
"Armanti Edwards, CAR",wr,11.2,139
"Junior Hemingway, KC",wr,10.8,140
"Steve Smith, TB",wr,10,141
"Aldrick Robinson, WAS",wr,10,142
"Dane Sanzenbacher, CIN",wr,10,143
"Marquess Wilson, CHI",wr,9.2,144
"Kyle Williams, SF",wr,8.8,145
"Mike Thomas, ARI",wr,8.6,146
"Marcus Easley, BUF",wr,8.2,147
"Trindon Holliday, DEN",wr,7.2,148
"Kerry Taylor, ARI",wr,7.2,149
"Jerrel Jernigan, NYG",wr,7.2,150
"Brad Smith, BUF",wr,7,151
"Chris Hogan, BUF",wr,6.8,152
"Devin Hester, CHI",wr,6.2,153
"Josh Cooper, CLE",wr,5.8,154
"Tandon Doss, BAL",wr,5.8,155
"Tavarres King, DEN",wr,5.8,156
"Tommy Streeter, BAL",wr,5.8,157
"Jeff Maehl, PHI",wr,5.8,158
"Jimmy Graham, NO",te,161,1
"Rob Gronkowski, NE",te,149,2
"Jason Witten, DAL",te,123.2,3
"Tony Gonzalez, ATL",te,121.2,4
"Vernon Davis, SF",te,118.8,5
"Jermichael Finley, GB",te,107,6
"Antonio Gates, SD",te,102.6,7
"Jared Cook, STL",te,102.6,8
"Jordan Cameron, CLE",te,100.2,9
"Greg Olsen, CAR",te,99,10
"Martellus Bennett, CHI",te,96,11
"Kyle Rudolph, MIN",te,94.6,12
"Tyler Eifert, CIN",te,92.4,13
"Owen Daniels, HOU",te,89.4,14
"Brandon Myers, NYG",te,87.6,15
"Fred Davis, WAS",te,85,16
"Brandon Pettigrew, DET",te,82.8,17
"Coby Fleener, IND",te,80.6,18
"Marcedes Lewis, JAC",te,73.2,19
"Heath Miller, PIT",te,73,20
"James Casey, PHI",te,72.2,21
"Dwayne Allen, IND",te,69.4,22
"Zach Miller, SEA",te,69.2,23
"Rob Housler, ARI",te,66.2,24
"Delanie Walker, TEN",te,65.4,25
"Jermaine Gresham, CIN",te,63.6,26
"Zach Sudfeld, NE",te,58.8,27
"Ed Dickson, BAL",te,57,28
"Scott Chandler, BUF",te,54.8,29
"Brent Celek, PHI",te,53.4,30
"Jeff Cumberland, NYJ",te,52.2,31
"Dallas Clark, BAL",te,52,32
"David Ausberry, OAK",te,49.2,33
"Kellen Winslow, NYJ",te,49.2,34
"Jacob Tamme, DEN",te,47.2,35
"Joel Dreessen, DEN",te,47,36
"Tony Scheffler, DET",te,46.2,37
"Anthony Fasano, KC",te,46,38
"Julius Thomas, DEN",te,45,39
"Travis Kelce, KC",te,43.6,40
"Zach Ertz, PHI",te,40,41
"Garrett Graham, HOU",te,36.8,42
"Charles Clay, MIA",te,33,43
"Tom Crabtree, TB",te,31.8,44
"Vance McDonald, SF",te,25.8,45
"Benjamin Watson, NO",te,24.8,46
"Luke Stocker, TB",te,24.8,47
"Lance Kendricks, STL",te,24.2,48
"Gavin Escobar, DAL",te,22.8,49
"Mychal Rivera, OAK",te,16.2,50
"Lee Smith, BUF",te,15,51
"D.J. Williams, JAC",te,13.8,52
"Andrew Quarless, GB",te,13.8,53
"Jordan Reed, WAS",te,13.2,54
"David Paulson, PIT",te,13,55
"Dion Sims, MIA",te,11.8,56
"Ladarius Green, SD",te,11.2,57
"Gary Barnidge, CLE",te,11.2,58
"Virgil Green, DEN",te,10.2,59
"Tony Moeaki, KC",te,9.2,60
"John Phillips, SD",te,9.2,61
"Logan Paulsen, WAS",te,9.2,62
"Michael Hoomanawanui, NE",te,8.2,63
"Anthony McCoy, SEA",te,8.2,64
"Kellen Davis, CLE",te,8.2,65
"Matt Spaeth, PIT",te,8.2,66
"Craig Stevens, TEN",te,7.8,67
"Chase Coffman, ATL",te,7.2,68
"Allen Reisner, JAC",te,7.2,69
"Jeff King, ARI",te,6.2,70
"Dennis Pitta, BAL",te,6.2,71
"Michael Egnew, MIA",te,5.8,72
"John Carlson, MIN",te,5.8,73
"Adrien Robinson, NYG",te,5.8,74
"Nick Kasa, OAK",te,5.8,75
"Taylor Thompson, TEN",te,5.8,76
"Garrett Celek, SF",te,5.8,77
"Jim Dray, ARI",te,4.8,78
"Levine Toilolo, ATL",te,4.8,79
"Konrad Reuland, NYJ",te,4.8,80
"Clay Harbor, JAC",te,4.8,81
"James Hanna, DAL",te,4,82
"Steve Maneri, CHI",te,3.8,83
"Michael Palmer, PIT",te,3.8,84
"Niles Paul, WAS",te,3,85
"Evan Moore, PHI",te,2.8,86
"Zach Miller, TB",te,1.8,87
"Richie Brockel, CAR",te,1.8,88
"Ryan Taylor, GB",te,1.8,89
"Jeron Mastrud, OAK",te,1,90
"Stephen Gostkowski, NE",k,148.7,1
"Phil Dawson, SF",k,145.6,2
"Blair Walsh, MIN",k,145.1,3
"Matt Prater, DEN",k,142,4
"Matt Bryant, ATL",k,140.9,5
"Sebastian Janikowski, OAK",k,136.1,6
"Justin Tucker, BAL",k,136,7
"Garrett Hartley, NO",k,131.2,8
"Randy Bullock, HOU",k,129.6,9
"David Akers, DET",k,128.3,10
"Greg Zuerlein, STL",k,128.3,11
"Dan Bailey, DAL",k,127.9,12
"Kai Forbath, WAS",k,127.6,13
"Robbie Gould, CHI",k,125.3,14
"Alex Henery, PHI",k,124,15
"Adam Vinatieri, IND",k,121.3,16
"Mason Crosby, GB",k,120.3,17
"Josh Brown, NYG",k,118.6,18
"Rian Lindell, TB",k,117.4,19
"Mike Nugent, CIN",k,116.8,20
"Rob Bironas, TEN",k,116.6,21
"Nick Novak, SD",k,116.4,22
"Shaun Suisham, PIT",k,112.4,23
"Ryan Succop, KC",k,112,24
"Graham Gano, CAR",k,112,25
"Jay Feely, ARI",k,109,26
"Josh Scobee, JAC",k,109,27
"Nick Folk, NYJ",k,103.6,28
"Steven Hauschka, SEA",k,79.9,29
"Caleb Sturgis, MIA",k,75.4,30
"Dustin Hopkins, BUF",k,63.3,31
"Billy Cundiff, CLE",k,57,32
"Dan Carpenter, BUF",k,51.1,33
"Lawrence Tynes, TB",k,36.8,34
"Seahawks, SEA",dst,229.1,1
"Bears, CHI",dst,214.7,2
"49ers, SF",dst,214.6,3
"Bengals, CIN",dst,208.2,4
"Broncos, DEN",dst,188.5,5
"Falcons, ATL",dst,182.3,6
"Patriots, NE",dst,176.7,7
"Ravens, BAL",dst,171.3,8
"Texans, HOU",dst,168.9,9
"Packers, GB",dst,165.1,10
"Buccaneers, TB",dst,160.6,11
"Giants, NYG",dst,160.2,12
"Rams, STL",dst,158.3,13
"Browns, CLE",dst,156.1,14
"Cardinals, ARI",dst,155.3,15
"Vikings, MIN",dst,153.5,16
"Cowboys, DAL",dst,152.4,17
"Chiefs, KC",dst,151.4,18
"Titans, TEN",dst,147.2,19
"Dolphins, MIA",dst,143.2,20
"Steelers, PIT",dst,141.9,21
"Panthers, CAR",dst,141.1,22
"Redskins, WAS",dst,138.7,23
"Lions, DET",dst,138.5,24
"Jets, NYJ",dst,138.1,25
"Chargers, SD",dst,137.2,26
"Eagles, PHI",dst,137,27
"Bills, BUF",dst,135.3,28
"Colts, IND",dst,131.7,29
"Saints, NO",dst,129.5,30
"Jaguars, JAC",dst,118.9,31
"Raiders, OAK",dst,116.9,32
