cbs_overall_draft_position,player,position,cbs_avg_draft_position,cbs_position_draft_position
66,"Antonio Brown, WR, PIT",wr,67.9,23
67,"James Jones, WR, GB",wr,68.94,24
68,"Jordy Nelson, WR, GB",wr,69.81,25
69,"DeSean Jackson, WR, PHI",wr,70.01,26
76,"Mike Wallace, WR, MIA",wr,75.29,27
77,"Tavon Austin, WR, STL",wr,78.65,28
79,"T.Y. Hilton, WR, IND",wr,78.78,29
82,"Cecil Shorts, WR, JAC",wr,82.88,30
86,"Steve Johnson, WR, BUF",wr,89.64,31
90,"Anquan Boldin, WR, SF",wr,94.4,32
91,"Mike Williams, WR, TB",wr,95.46,33
93,"Greg Jennings, WR, MIN",wr,95.71,34
94,"Miles Austin, WR, DAL",wr,96.11,35
98,"Kenny Britt, WR, TEN",wr,100.72,36
102,"Danario Alexander, WR, SD",wr,104.55,37
104,"Golden Tate, WR, SEA",wr,106.88,38
105,"Lance Moore, WR, NO",wr,107.63,39
108,"Josh Gordon, WR, CLE",wr,110.16,40
111,"Chris Givens, WR, STL",wr,113.76,41
114,"Michael Floyd, WR, ARI",wr,117.31,42
122,"Percy Harvin, WR, SEA",wr,123.65,43
126,"Emmanuel Sanders, WR, PIT",wr,125.43,44
128,"DeAndre Hopkins, WR, HOU",wr,126.09,45
133,"Denarius Moore, WR, OAK",wr,127.97,46
138,"Vincent Brown, WR, SD",wr,130.07,47
142,"Sidney Rice, WR, SEA",wr,133.14,48
143,"Justin Blackmon, WR, JAC",wr,133.56,49
146,"Kenbrell Thompkins, WR, NE",wr,135.07,50
147,"Ryan Broyles, WR, DET",wr,136.97,51
151,"Alshon Jeffery, WR, CHI",wr,138.01,52
158,"Rueben Randle, WR, NYG",wr,141.71,53
163,"Cordarrelle Patterson, WR, MIN",wr,144.26,54
165,"Aaron Dobson, WR, NE",wr,144.61,55
171,"Brian Hartline, WR, MIA",wr,148.21,56
172,"Darrius Heyward-Bey, WR, IND",wr,148.48,57
181,"Brandon LaFell, WR, CAR",wr,152.67,58
183,"Kendall Wright, WR, TEN",wr,153,59
185,"Malcom Floyd, WR, SD",wr,153.45,60
186,"Mohamed Sanu, WR, CIN",wr,153.66,61
191,"Jacoby Jones, WR, BAL",wr,156.12,62
203,"Santonio Holmes, WR, NYJ",wr,161.12,63
204,"Greg Little, WR, CLE",wr,161.24,64
215,"Robert Woods, WR, BUF",wr,163.94,65
217,"Rod Streater, WR, OAK",wr,164.95,66
220,"Santana Moss, WR, WAS",wr,165.19,67
224,"Andre Roberts, WR, ARI",wr,166.86,68
233,"Nate Burleson, WR, DET",wr,169.09,69
22,"Jimmy Graham, TE, NO",te,23.75,1
44,"Rob Gronkowski, TE, NE",te,47.52,2
49,"Jason Witten, TE, DAL",te,52.91,3
53,"Vernon Davis, TE, SF",te,57.8,4
56,"Tony Gonzalez, TE, ATL",te,58.63,5
78,"Antonio Gates, TE, SD",te,78.7,6
81,"Jermichael Finley, TE, GB",te,82.13,7
88,"Kyle Rudolph, TE, MIN",te,92.88,8
92,"Jared Cook, TE, STL",te,95.59,9
97,"Greg Olsen, TE, CAR",te,98.65,10
110,"Owen Daniels, TE, HOU",te,112.15,11
112,"Martellus Bennett, TE, CHI",te,116.59,12
116,"Jordan Cameron, TE, CLE",te,120.34,13
131,"Brandon Myers, TE, NYG",te,127.13,14
137,"Brandon Pettigrew, TE, DET",te,129.54,15
148,"Tyler Eifert, TE, CIN",te,137.04,16
157,"Fred Davis, TE, WAS",te,141.4,17
166,"Zach Sudfeld, TE, NE",te,145.46,18
178,"Coby Fleener, TE, IND",te,150.31,19
180,"Jermaine Gresham, TE, CIN",te,151.42,20
188,"Dustin Keller, TE, MIA",te,154.23,21
198,"Marcedes Lewis, TE, JAC",te,159.67,22
207,"Heath Miller, TE, PIT",te,162.26,23
214,"Rob Housler, TE, ARI",te,163.92,24
221,"Zach Miller, TE, SEA",te,165.6,25
222,"Brent Celek, TE, PHI",te,166.33,26
226,"Dwayne Allen, TE, IND",te,167.01,27
229,"James Casey, TE, PHI",te,167.77,28
235,"Ed Dickson, TE, BAL",te,169.83,29
107,"Stephen Gostkowski, K, NE",k,109.97,1
134,"Matt Bryant, K, ATL",k,128.66,2
139,"Phil Dawson, K, SF",k,131.15,3
141,"Matt Prater, K, DEN",k,132.65,4
150,"Blair Walsh, K, MIN",k,137.89,5
164,"Sebastian Janikowski, K, OAK",k,144.59,6
176,"Justin Tucker, K, BAL",k,149.6,7
179,"Garrett Hartley, K, NO",k,151.28,8
200,"David Akers, K, DET",k,160.02,9
202,"Dan Bailey, K, DAL",k,160.24,10
206,"Greg Zuerlein, K, STL",k,162.13,11
208,"Randy Bullock, K, HOU",k,162.4,12
213,"Robbie Gould, K, CHI",k,163.43,13
216,"Mason Crosby, K, GB",k,164.15,14
223,"Adam Vinatieri, K, IND",k,166.44,15
227,"Kai Forbath, K, WAS",k,167.49,16
231,"Alex Henery, K, PHI",k,169.03,17
232,"Steven Hauschka, K, SEA",k,169.06,18
234,"Josh Brown, K, NYG",k,169.7,19
237,"Mike Nugent, K, CIN",k,173.19,20
73," Seahawks, DST, SEA",dst,73.21,1
83," 49ers, DST, SF",dst,84.12,2
87," Bears, DST, CHI",dst,90.13,3
100," Bengals, DST, CIN",dst,103.79,4
106," Broncos, DST, DEN",dst,109.15,5
109," Texans, DST, HOU",dst,111,6
118," Patriots, DST, NE",dst,123.21,7
140," Ravens, DST, BAL",dst,132.29,8
144," Falcons, DST, ATL",dst,134.81,9
149," Steelers, DST, PIT",dst,137.69,10
159," Packers, DST, GB",dst,142.01,11
167," Dolphins, DST, MIA",dst,147.49,12
174," Giants, DST, NYG",dst,149.16,13
175," Rams, DST, STL",dst,149.35,14
182," Cardinals, DST, ARI",dst,152.9,15
184," Buccaneers, DST, TB",dst,153.13,16
195," Cowboys, DST, DAL",dst,157.41,17
209," Browns, DST, CLE",dst,162.47,18
228," Vikings, DST, MIN",dst,167.51,19
230," Chargers, DST, SD",dst,168.75,20
236," Chiefs, DST, KC",dst,169.98,21
