espn_pts_rank_by_position,player,position,espn_pts
57,"Pierre Thomas, NO RB",rb,78
58,"Kendall Hunter, SF RB",rb,79
59,"Danny Woodhead, SD RB  PRecent News",rb,79
60,"LaRod Stephens-Howling, Pit RBBreaking Video",rb,77
61,"Robert Turbin, Sea RBBreaking News",rb,56
62,"Jonathan Stewart*, Car RB  O",rb,57
63,"Marcel Reece, Oak RBRecent News",rb,72
64,"Ryan Williams, Ari RBBreaking News",rb,49
65,"Jordan Todman, Jac RB",rb,47
66,"Justin Forsett, Jac RB  QBreaking News",rb,43
67,"Lance Dunbar, Dal RB  QBreaking News",rb,59
68,"Joseph Randle, Dal RB",rb,53
69,"Knile Davis, KC RB",rb,44
70,"Cierre Wood, Hou RB",rb,44
71,"John Kuhn, GB RB",rb,47
72,"Michael Turner, FA RB",rb,73
73,"Mike Gillislee, Mia RB",rb,48
74,"Toby Gerhart, Min RB",rb,52
75,"Rashad Jennings, Oak RB",rb,52
76,"LaMichael James, SF RB  D",rb,30
77,"Benny Cunningham, StL RB",rb,30
78,"Chris Polk, Phi RB",rb,23
79,"Chris Ogbonnaya, Cle RBRecent News",rb,46
80,"Johnathan Franklin, GB RB",rb,18
81,"Willis McGahee, FA RB  P",rb,53
82,"Beanie Wells, FA RB",rb,37
83,"Cedric Benson, FA RB  PRecent News",rb,53
84,"Felix Jones, Pit RBBreaking Video",rb,31
85,"Ronnie Brown, SD RBRecent News",rb,38
86,"Andre Ellington, Ari RB",rb,29
87,"Donald Brown, Ind RB",rb,26
88,"Zac Stacy, StL RB",rb,13
89,"LeGarrette Blount, NE RBRecent News",rb,10
90,"Denard Robinson, Jac RB",rb,34
91,"Stepfan Taylor, Ari RB",rb,23
92,"Brandon Bolden, NE RB  QBreaking News",rb,18
93,"Mike James, TB RB  Q",rb,36
94,"Jason Snelling, Atl RB",rb,30
95,"Rex Burkhead, Cin RBRecent News",rb,15
96,"James Starks, GB RB",rb,23
97,"Phillip Tanner, Dal RB",rb,23
98,"Tashard Choice, Buf RB",rb,8
99,"Kenjon Barner, Car RB  QBreaking News",rb,23
100,"Bobby Rainey, Cle RBRecent News",rb,13
101,"Cyrus Gray, KC RB",rb,27
102,"Alex Green, NYJ RBRecent News",rb,14
103,"Da'Rel Scott, NYG RBBreaking News",rb,6
104,"Michael Ford, Chi RB",rb,20
105,"Le'Ron McClain, SD RB",rb,14
106,"Brian Leonard, TB RB",rb,0
107,"Bernard Scott*, Cin RB  O",rb,10
108,"Peyton Hillis, TB RB",rb,0
109,"Evan Royster, Wsh RB",rb,0
110,"Marcus Lattimore*, FA RB  O",rb,0
111,"Brandon Jacobs, FA RB",rb,0
112,"Javon Ringer, FA RB  P",rb,0
113,"Jackie Battle, Ten RB",rb,0
114,"Chris Thompson, Wsh RB",rb,0
115,"Michael Cox, NYG RBBreaking News",rb,0
116,"Jonathan Dwyer, FA RBRecent News",rb,0
117,"Deji Karim, FA RB",rb,0
118,"Delone Carter, FA RB",rb,0
119,"Anthony Allen, FA RB",rb,0
120,"Joe McKnight, FA RB",rb,0
1,"Calvin Johnson, Det WRBreaking News",wr,236
2,"A.J. Green, Cin WR",wr,201
3,"Dez Bryant, Dal WR",wr,202
4,"Brandon Marshall, Chi WRBreaking News",wr,196
5,"Julio Jones, Atl WR",wr,186
6,"Demaryius Thomas, Den WR",wr,180
