name,sport,sport_name,gender,age,inch,pound
Arisa Murata,fss,Freestyle Skiing,Female,23,59.448851,105.82176
Gabrielle Daleman,fgs,Figure Skating,Female,16,59.842552,
Andrea Davidovich,fgs,Figure Skating,Female,16,59.842552,
Marissa Castelli,fgs,Figure Skating,Female,23,59.842552,
Penny Coomes,fgs,Figure Skating,Female,24,59.842552,
Chiara Hoelzl,skj,Ski Jumping,Female,16,59.842552,94.79866
Sara Takanashi,skj,Ski Jumping,Female,17,59.842552,99.2079
Miki Kobayashi,bai,Biathlon,Female,26,59.842552,112.43562
Jessica Smith,sht,Short-Track Skating,Female,30,59.842552,116.84486
Kexin Zhang,fgs,Figure Skating,Female,18,60.236253,
Paige Lawrence,fgs,Figure Skating,Female,23,60.236253,
Aliona Savchenko,fgs,Figure Skating,Female,30,60.236253,
Yumie Funayama,crl,Curling,Female,35,60.236253,
Kirsten Wall,crl,Curling,Female,38,60.236253,
Chae-Won Lee,ccy,Cross Country Skiing,Female,32,60.236253,99.2079
Biba Sakurai,sht,Short-Track Skating,Female,24,60.236253,108.02638
Alla Tsuper,fss,Freestyle Skiing,Female,34,60.236253,116.84486
Miriam Ziegler,fgs,Figure Skating,Female,19,60.629954,
Maylin Wende,fgs,Figure Skating,Female,25,60.629954,
Yuki Nakajima,bai,Biathlon,Female,23,60.629954,103.61714
Inna Simonova,sht,Short-Track Skating,Female,23,60.629954,105.82176
Shoko Fujimura,ssk,Speedskating,Female,26,60.629954,110.231
Joselane Santos,fss,Freestyle Skiing,Female,29,60.629954,110.231
Julia Lavrentieva,fgs,Figure Skating,Female,16,61.023655,
Felicia Zhang,fgs,Figure Skating,Female,20,61.023655,
Stacey Kemp,fgs,Figure Skating,Female,25,61.023655,
Jisun Kim,crl,Curling,Female,26,61.023655,
Allison Pottinger,crl,Curling,Female,40,61.023655,
Gianina Ernst,skj,Ski Jumping,Female,15,61.023655,97.00328
Virginie Faivre,fss,Freestyle Skiing,Female,31,61.023655,99.2079
Nana Takagi,ssk,Speedskating,Female,21,61.023655,103.61714
Moeko Fujimoto,hky,Hockey,Female,21,61.023655,116.84486
Coraline Hugue,ccy,Cross Country Skiing,Female,29,61.023655,116.84486
Maddie Bowman,fss,Freestyle Skiing,Female,20,61.023655,125.66334
Audrey Robichaud,fss,Freestyle Skiing,Female,25,61.023655,130.07258
Isadora Williams,fgs,Figure Skating,Female,18,61.417356,
Nicole Della Monica,fgs,Figure Skating,Female,24,61.417356,
Ayumi Ogasawara,crl,Curling,Female,35,61.417356,
Yurie Adachi,hky,Hockey,Female,28,61.417356,112.43562
Aiko Uemura,fss,Freestyle Skiing,Female,34,61.417356,112.43562
Katharina Althaus,skj,Ski Jumping,Female,17,61.417356,114.64024
Queralt Castellet,swb,Snowboarding,Female,24,61.417356,116.84486
Florence Bell,alp,Alpine Skiing,Female,17,61.417356,130.07258
Chloe Dufour-Lapointe,fss,Freestyle Skiing,Female,22,61.417356,130.07258
Cheng Peng,fgs,Figure Skating,Female,16,61.811057,
So Youn Park,fgs,Figure Skating,Female,16,61.811057,
Madison Chock,fgs,Figure Skating,Female,21,61.811057,
Chinami Yoshida,crl,Curling,Female,22,61.811057,
Luca Schuler,fss,Freestyle Skiing,Male,16,61.811057,103.61714
Anna Mirtova,fss,Freestyle Skiing,Female,21,61.811057,103.61714
Elizabeth Stephen,ccy,Cross Country Skiing,Female,27,61.811057,105.82176
Yurina Yamada,skj,Ski Jumping,Female,17,61.811057,110.231
Darya Rybalova,fss,Freestyle Skiing,Female,25,61.811057,114.64024
Yuka Hirano,hky,Hockey,Female,27,61.811057,114.64024
Zanna Juskane,bai,Biathlon,Female,24,61.811057,116.84486
Farzaneh Rezasoltani,ccy,Cross Country Skiing,Female,28,61.811057,116.84486
Azusa Nakaoku,hky,Hockey,Female,28,61.811057,116.84486
Romy Eggimann,hky,Hockey,Female,18,61.811057,119.04948
Amanda Ammar,ccy,Cross Country Skiing,Female,28,61.811057,119.04948
Lydia Lassila,fss,Freestyle Skiing,Female,32,61.811057,119.04948
Sarah Reid,skl,Skeleton,Female,26,61.811057,125.66334
Torin Yater-Wallace,fss,Freestyle Skiing,Male,18,61.811057,127.86796
Lucy Glanville,bai,Biathlon,Female,19,61.811057,127.86796
Jenna Blasman,swb,Snowboarding,Female,20,61.811057,127.86796
Kendall Coyne,hky,Hockey,Female,21,61.811057,130.07258
Marsha Hudey,ssk,Speedskating,Female,23,61.811057,130.07258
Nicole Schmidhofer,alp,Alpine Skiing,Female,24,61.811057,130.07258
Ekaterina Ilyukhina,swb,Snowboarding,Female,26,61.811057,132.2772
Ty Walker,swb,Snowboarding,Female,16,61.811057,134.48182
Yulia Lipnitskaya,fgs,Figure Skating,Female,15,62.204758,
Vera Bazarova,fgs,Figure Skating,Female,21,62.204758,
Ksenia Stolbova,fgs,Figure Skating,Female,22,62.204758,
Min Ji Um,crl,Curling,Female,23,62.204758,
Charlene Guignard,fgs,Figure Skating,Female,24,62.204758,
Julia Zlobina,fgs,Figure Skating,Female,24,62.204758,
Mi Sung Shin,crl,Curling,Female,35,62.204758,
Marie Martinod,fss,Freestyle Skiing,Female,29,62.204758,105.82176
Morena Makar,swb,Snowboarding,Female,29,62.204758,108.02638
Andrea Henkel,bai,Biathlon,Female,36,62.204758,108.02638
Alexandra Duckworth,swb,Snowboarding,Female,26,62.204758,110.231
Shiori Koike,hky,Hockey,Female,20,62.204758,112.43562
Judith Hesse,ssk,Speedskating,Female,31,62.204758,116.84486
Moemi Kikuchi,sht,Short-Track Skating,Female,21,62.204758,119.04948
Alexandra Camenscic,bai,Biathlon,Female,25,62.204758,121.2541
Alexandra Camenscic,ccy,Cross Country Skiing,Female,25,62.204758,121.2541
Kadri Lehtla,bai,Biathlon,Female,28,62.204758,121.2541
Tetyana Antypenko,ccy,Cross Country Skiing,Female,32,62.204758,121.2541
Zsofia Konya,sht,Short-Track Skating,Female,19,62.204758,123.45872
Stefanie Mueller,swb,Snowboarding,Female,21,62.204758,123.45872
Julia Ivanova,ccy,Cross Country Skiing,Female,28,62.204758,123.45872
Zhifeng Sun,swb,Snowboarding,Female,22,62.204758,127.86796
Dorothea Wierer,bai,Biathlon,Female,23,62.204758,132.2772
Christina Staudinger,fss,Freestyle Skiing,Female,26,62.204758,132.2772
Nathalie Weinzierl,fgs,Figure Skating,Female,19,62.598459,
Tatiana Volosozhar,fgs,Figure Skating,Female,27,62.598459,
Elisa Gasparin,bai,Biathlon,Female,22,62.598459,110.231
Hee-Jin Park,fss,Freestyle Skiing,Female,34,62.598459,110.231
Weronika Nowakowska-Ziemniak,bai,Biathlon,Female,27,62.598459,116.84486
Yelena Dergachyova,hky,Hockey,Female,18,62.598459,121.2541
Sarka Pancochova,swb,Snowboarding,Female,23,62.598459,121.2541
Susanne Fellner,hky,Hockey,Female,28,62.598459,121.2541
Taylah Oneill,fss,Freestyle Skiing,Female,19,62.598459,125.66334
Lindsey Van,skj,Ski Jumping,Female,29,62.598459,127.86796
Emma Terho,hky,Hockey,Female,32,62.598459,134.48182
Karolina Sztokfisz,swb,Snowboarding,Female,25,62.598459,136.68644
Maia Shibutani,fgs,Figure Skating,Female,19,62.99216,
Sara Hurtado,fgs,Figure Skating,Female,21,62.99216,
Ashley Wagner,fgs,Figure Skating,Female,22,62.99216,
Ekaterina Bobrova,fgs,Figure Skating,Female,23,62.99216,
Elene Gedevanishvili,fgs,Figure Skating,Female,24,62.99216,
Seulbee Lee,crl,Curling,Female,25,62.99216,
Kaitlyn Lawes,crl,Curling,Female,25,62.99216,
Meryl Davis,fgs,Figure Skating,Female,27,62.99216,
Pernelle Carron,fgs,Figure Skating,Female,27,62.99216,
Akiko Suzuki,fgs,Figure Skating,Female,28,62.99216,
Qing Pang,fgs,Figure Skating,Female,34,62.99216,
Vanessa Vanakorn,alp,Alpine Skiing,Female,35,62.99216,105.82176
Ayumu Hirano,swb,Snowboarding,Male,15,62.99216,110.231
Laure Soulie,bai,Biathlon,Female,26,62.99216,110.231
Nadezhda Skardino,bai,Biathlon,Female,28,62.99216,110.231
Katrien Aerts,fss,Freestyle Skiing,Female,37,62.99216,110.231
Nadiya Mokhnatska,fss,Freestyle Skiing,Female,18,62.99216,112.43562
Seung Ju Park,ssk,Speedskating,Female,23,62.99216,112.43562
Emily Scott,sht,Short-Track Skating,Female,25,62.99216,112.43562
Luiza Zlotkowska,ssk,Speedskating,Female,27,62.99216,114.64024
Emoke Szocs,bai,Biathlon,Female,28,62.99216,114.64024
Hongxue Li,ccy,Cross Country Skiing,Female,29,62.99216,114.64024
Tatiana Borodulina,sht,Short-Track Skating,Female,29,62.99216,114.64024
Nina Li,fss,Freestyle Skiing,Female,31,62.99216,114.64024
Emily Cook,fss,Freestyle Skiing,Female,34,62.99216,114.64024
Gloria Kotnik,swb,Snowboarding,Female,24,62.99216,116.84486
Nicole Bullo,hky,Hockey,Female,26,62.99216,116.84486
Maryna Gasienica-Daniel,alp,Alpine Skiing,Female,19,62.99216,119.04948
Maya Harrisson,alp,Alpine Skiing,Female,21,62.99216,119.04948
Keltie Hansen,fss,Freestyle Skiing,Female,21,62.99216,119.04948
Jamie Anderson,swb,Snowboarding,Female,23,62.99216,119.04948
Ayuko Ito,sht,Short-Track Skating,Female,27,62.99216,119.04948
Nina Kamenik,hky,Hockey,Female,28,62.99216,119.04948
Kelime Cetinkaya,ccy,Cross Country Skiing,Female,31,62.99216,119.04948
Galina Vishnevskaya,bai,Biathlon,Female,20,62.99216,121.2541
Anastasiya Novosad,fss,Freestyle Skiing,Female,20,62.99216,121.2541
Haruna Yoneyama,hky,Hockey,Female,22,62.99216,121.2541
Rina Suzuki,bai,Biathlon,Female,23,62.99216,121.2541
Regina Rakhimova,fss,Freestyle Skiing,Female,24,62.99216,121.2541
Barbara Jezersek,ccy,Cross Country Skiing,Female,27,62.99216,121.2541
Jianrou Li,sht,Short-Track Skating,Female,27,62.99216,121.2541
Yuka Fujimori,swb,Snowboarding,Female,27,62.99216,121.2541
Krista Lahteenmaki,ccy,Cross Country Skiing,Female,23,62.99216,123.45872
Heather Mcphie,fss,Freestyle Skiing,Female,29,62.99216,123.45872
Olga Graf,ssk,Speedskating,Female,30,62.99216,123.45872
Julie Zogg,swb,Snowboarding,Female,21,62.99216,125.66334
Ina Meschik,swb,Snowboarding,Female,23,62.99216,125.66334
Lara Gut,alp,Alpine Skiing,Female,22,62.99216,127.86796
Zhibek Arapbayeva,fss,Freestyle Skiing,Female,22,62.99216,127.86796
Maria Marinela Mazilu,skl,Skeleton,Female,22,62.99216,127.86796
Jilleanne Rookard,ssk,Speedskating,Female,31,62.99216,130.07258
Anastasiia Chirtcova,fss,Freestyle Skiing,Female,24,62.99216,132.2772
Sophia Ralli,alp,Alpine Skiing,Female,25,62.99216,132.2772
Denise Karbon,alp,Alpine Skiing,Female,33,62.99216,132.2772
Anja Stiefel,hky,Hockey,Female,23,62.99216,134.48182
Riikka Valila,hky,Hockey,Female,40,62.99216,138.89106
Triin Tobi,alp,Alpine Skiing,Female,18,62.99216,141.09568
Katie Uhlaender,skl,Skeleton,Female,29,62.99216,141.09568
Yuki Tsubota,fss,Freestyle Skiing,Female,20,62.99216,143.3003
Alisher Qudratov,alp,Alpine Skiing,Male,28,62.99216,143.3003
Nils Lauper,fss,Freestyle Skiing,Male,31,62.99216,143.3003
Julia Marino,fss,Freestyle Skiing,Female,21,62.99216,145.50492
Olga Sosina,hky,Hockey,Female,21,62.99216,145.50492
Rebekah Wilson,bbs,Bobseld,Female,22,62.99216,147.70954
Lauryn Williams,bbs,Bobseld,Female,30,62.99216,147.70954
Zijun Li,fgs,Figure Skating,Female,17,63.385861,
Isabella Tobias,fgs,Figure Skating,Female,22,63.385861,
Alexandra Paul,fgs,Figure Skating,Female,22,63.385861,
Stefania Berton,fgs,Figure Skating,Female,23,63.385861,
Anna Cappellini,fgs,Figure Skating,Female,26,63.385861,
Valentina Marchei,fgs,Figure Skating,Female,27,63.385861,
Carmen Schaefer,crl,Curling,Female,33,63.385861,
Sarah Hendrickson,skj,Ski Jumping,Female,19,63.385861,97.00328
Yuki Ito,skj,Ski Jumping,Female,19,63.385861,105.82176
Sangjeong Kong,sht,Short-Track Skating,Female,17,63.385861,110.231
Atsuko Tanaka,skj,Ski Jumping,Female,22,63.385861,110.231
Janine Alder,hky,Hockey,Female,18,63.385861,116.84486
Nathalie Schwarz,ccy,Cross Country Skiing,Female,20,63.385861,119.04948
Maryna Antsybor,ccy,Cross Country Skiing,Female,26,63.385861,119.04948
Valj Semerenko,bai,Biathlon,Female,28,63.385861,119.04948
Riitta-Liisa Roponen,ccy,Cross Country Skiing,Female,35,63.385861,119.04948
Olga Polyuk,fss,Freestyle Skiing,Female,26,63.385861,121.2541
Jenni Hiirikoski,hky,Hockey,Female,26,63.385861,121.2541
Sylwia Jaskowiec,ccy,Cross Country Skiing,Female,27,63.385861,121.2541
Teodora Malcheva,ccy,Cross Country Skiing,Female,31,63.385861,121.2541
Celia Aymonier,ccy,Cross Country Skiing,Female,22,63.385861,123.45872
Ivanie Blondin,ssk,Speedskating,Female,23,63.385861,123.45872
Yui Sakai,sht,Short-Track Skating,Female,26,63.385861,123.45872
Torah Bright,swb,Snowboarding,Female,27,63.385861,125.66334
Katerina Novotna,sht,Short-Track Skating,Female,29,63.385861,125.66334
Ayaka Toko,hky,Hockey,Female,19,63.385861,130.07258
Johanna Talihaerm,bai,Biathlon,Female,20,63.385861,132.2772
Camillia Berra,fss,Freestyle Skiing,Female,19,63.385861,134.48182
Jessica Hammerl,hky,Hockey,Female,25,63.385861,134.48182
Jenny Jones,swb,Snowboarding,Female,33,63.385861,134.48182
Christy Prior,swb,Snowboarding,Female,25,63.385861,136.68644
Marielle Berger Sabbatel,fss,Freestyle Skiing,Female,24,63.385861,138.89106
Haejin Kim,fgs,Figure Skating,Female,16,63.779562,
Nicole Rajicova,fgs,Figure Skating,Female,18,63.779562,
Kanako Murakami,fgs,Figure Skating,Female,19,63.779562,
Nina Ragettli,fss,Freestyle Skiing,Female,20,63.779562,
Tatsuki Machida,fgs,Figure Skating,Male,23,63.779562,
Vanessa James,fgs,Figure Skating,Female,26,63.779562,
Yan Zhou,crl,Curling,Female,31,63.779562,
Dawn Mcewen,crl,Curling,Female,33,63.779562,
Mirjam Ott,crl,Curling,Female,42,63.779562,
Shuang Cheng,fss,Freestyle Skiing,Female,27,63.779562,101.41252
Perrine Laffont,fss,Freestyle Skiing,Female,15,63.779562,110.231
Alina Muller,hky,Hockey,Female,15,63.779562,110.231
Annalisa Drew,fss,Freestyle Skiing,Female,20,63.779562,112.43562
Miki Ito,fss,Freestyle Skiing,Female,26,63.779562,112.43562
Laura Dahlmeier,bai,Biathlon,Female,20,63.779562,114.64024
Laura Grasemann,fss,Freestyle Skiing,Female,21,63.779562,114.64024
Marina Lebedeva,bai,Biathlon,Female,28,63.779562,114.64024
Evi Sachenbacher-Stehle,bai,Biathlon,Female,33,63.779562,114.64024
Evi Sachenbacher-Stehle,ccy,Cross Country Skiing,Female,33,63.779562,114.64024
Franziska Hildebrand,bai,Biathlon,Female,26,63.779562,116.84486
Elisa Brocard,ccy,Cross Country Skiing,Female,29,63.779562,116.84486
