name,sport,sport_name,gender,age,inch,pound
Andrea Limbacher,fss,Freestyle Skiing,Female,24,64.173263,130.07258
Franziska Busch,hky,Hockey,Female,28,64.173263,130.07258
Anna Ringsred,ssk,Speedskating,Female,29,64.173263,130.07258
Anna Shokhina,hky,Hockey,Female,16,64.173263,132.2772
Charlotte Bankes,swb,Snowboarding,Female,18,64.173263,132.2772
Mathilde Amivi Petitjean,ccy,Cross Country Skiing,Female,19,64.173263,132.2772
Jung-Hwa Seo,fss,Freestyle Skiing,Female,23,64.173263,132.2772
Nicolien Sauerbreij,swb,Snowboarding,Female,34,64.173263,132.2772
Aimee Fuller,swb,Snowboarding,Female,22,64.173263,134.48182
Emily Nishikawa,ccy,Cross Country Skiing,Female,24,64.173263,134.48182
Kelly Clark,swb,Snowboarding,Female,30,64.173263,134.48182
Phoebe Stanz,hky,Hockey,Female,20,64.173263,136.68644
Marianne St-Gelais,sht,Short-Track Skating,Female,24,64.173263,136.68644
Olga Podchufarova,bai,Biathlon,Female,21,64.173263,138.89106
Charlotte Gilmartin,sht,Short-Track Skating,Female,23,64.173263,138.89106
Ella Suitiala,swb,Snowboarding,Female,24,64.173263,138.89106
Katarina Lavtar,alp,Alpine Skiing,Female,25,64.173263,138.89106
Sofia Engstrom,hky,Hockey,Female,25,64.173263,138.89106
Jayna Hefford,hky,Hockey,Female,36,64.173263,138.89106
Muhammad Karim,alp,Alpine Skiing,Male,18,64.173263,141.09568
Murray Buchan,fss,Freestyle Skiing,Male,22,64.173263,141.09568
Sugar Todd,ssk,Speedskating,Female,23,64.173263,141.09568
Karoliina Rantamaki,hky,Hockey,Female,35,64.173263,143.3003
Brianna Decker,hky,Hockey,Female,22,64.173263,149.91416
Tatyana Burina,hky,Hockey,Female,33,64.173263,154.3234
Melodie Daoust,hky,Hockey,Female,22,64.173263,156.52802
Leanne Smith,alp,Alpine Skiing,Female,26,64.173263,160.93726
Stacey Cook,alp,Alpine Skiing,Female,29,64.173263,160.93726
Elena Ilinykh,fgs,Figure Skating,Female,19,64.566964,
Kaho Onodera,crl,Curling,Female,22,64.566964,
Mette De Neergaard,crl,Curling,Female,22,64.566964,
Florent Amodio,fgs,Figure Skating,Male,23,64.566964,
Marco Fabbri,fgs,Figure Skating,Male,26,64.566964,
Jenna Mccorkell,fgs,Figure Skating,Female,27,64.566964,
Bingyu Wang,crl,Curling,Female,29,64.566964,
Helena Olsson Smeby,skj,Ski Jumping,Female,30,64.566964,
Marija Kolaroska,ccy,Cross Country Skiing,Female,16,64.566964,110.231
Nadja Purtschert,swb,Snowboarding,Female,24,64.566964,114.64024
Dandan Man,ccy,Cross Country Skiing,Female,24,64.566964,116.84486
Aurelie Dabudyk,ccy,Cross Country Skiing,Female,25,64.566964,116.84486
Michela Ponza,bai,Biathlon,Female,35,64.566964,116.84486
Yekaterina Smolina,hky,Hockey,Female,25,64.566964,119.04948
Virginia De Martin Topranin,ccy,Cross Country Skiing,Female,26,64.566964,119.04948
Spela Rogelj,skj,Ski Jumping,Female,19,64.566964,121.2541
Paulina Fialkova,bai,Biathlon,Female,21,64.566964,121.2541
Michelle Steele,skl,Skeleton,Female,27,64.566964,121.2541
Karin Oberhofer,bai,Biathlon,Female,28,64.566964,121.2541
Riikka Sarasoja-Lilja,ccy,Cross Country Skiing,Female,31,64.566964,121.2541
Petra Novakova,ccy,Cross Country Skiing,Female,20,64.566964,123.45872
Line Jahr,skj,Ski Jumping,Female,30,64.566964,123.45872
Nicole Gontier,bai,Biathlon,Female,22,64.566964,125.66334
Forough Abbasi,alp,Alpine Skiing,Female,20,64.566964,127.86796
Eunryung Sung,lge,Luge,Female,21,64.566964,127.86796
Elise Christie,sht,Short-Track Skating,Female,23,64.566964,127.86796
Zana Novakovic,alp,Alpine Skiing,Female,28,64.566964,127.86796
Denise Roth,ssk,Speedskating,Female,25,64.566964,130.07258
Anna Segal,fss,Freestyle Skiing,Female,27,64.566964,130.07258
Amy Sheehan,fss,Freestyle Skiing,Female,27,64.566964,130.07258
Liudmila Kalinchik,bai,Biathlon,Female,31,64.566964,130.07258
Livia Altmann,hky,Hockey,Female,19,64.566964,132.2772
Irene Cadurisch,bai,Biathlon,Female,22,64.566964,132.2772
Arianne Jones,lge,Luge,Female,23,64.566964,132.2772
Sofia Bleckur,ccy,Cross Country Skiing,Female,29,64.566964,132.2772
Alexandra Coletti,alp,Alpine Skiing,Female,30,64.566964,132.2772
Marie Marchand-Arvier,alp,Alpine Skiing,Female,28,64.566964,134.48182
Akane Konishi,hky,Hockey,Female,18,64.566964,136.68644
Miho Shishiuchi,hky,Hockey,Female,21,64.566964,136.68644
Elena Viviani,sht,Short-Track Skating,Female,21,64.566964,136.68644
Laura Fortino,hky,Hockey,Female,23,64.566964,136.68644
Arianna Fontana,sht,Short-Track Skating,Female,23,64.566964,138.89106
Nikol Kucerova,fss,Freestyle Skiing,Female,24,64.566964,138.89106
Viktoriya Filyushkina,ssk,Speedskating,Female,28,64.566964,138.89106
Anna Borgqvist,hky,Hockey,Female,21,64.566964,141.09568
Yvonne Daldossi,ssk,Speedskating,Female,22,64.566964,141.09568
Rosamund Musgrave,ccy,Cross Country Skiing,Female,27,64.566964,141.09568
Tina Weirather,alp,Alpine Skiing,Female,24,64.566964,143.3003
Galina Skiba,hky,Hockey,Female,29,64.566964,143.3003
Susann Gotz,hky,Hockey,Female,31,64.566964,143.3003
Manuela Anwander,hky,Hockey,Female,22,64.566964,149.91416
Morgane Bonnefoy,lge,Luge,Female,23,64.566964,149.91416
Annina Rajahuhta,hky,Hockey,Female,24,64.566964,149.91416
Nobuyuki Nishi,fss,Freestyle Skiing,Male,28,64.566964,149.91416
Vicki Adams,crl,Curling,Female,24,64.566964,152.11878
Elena Fanchini,alp,Alpine Skiing,Female,28,64.566964,152.11878
Polina Edmunds,fgs,Figure Skating,Female,15,64.960665,
Gracie Gold,fgs,Figure Skating,Female,18,64.960665,
Gyda Enger,skj,Ski Jumping,Female,21,64.960665,
Yuna Kim,fgs,Figure Skating,Female,23,64.960665,
Tessa Virtue,fgs,Figure Skating,Female,24,64.960665,
Viktoria Helgesson,fgs,Figure Skating,Female,25,64.960665,
Nelli Zhiganshina,fgs,Figure Skating,Female,26,64.960665,
Xintong Huang,fgs,Figure Skating,Female,27,64.960665,
Daisuke Takahashi,fgs,Figure Skating,Male,27,64.960665,
Maria Poulsen,crl,Curling,Female,29,64.960665,
Yin Liu,crl,Curling,Female,32,64.960665,
Kornelia Kubinska,ccy,Cross Country Skiing,Female,28,64.960665,108.02638
Jee-Won Seo,fss,Freestyle Skiing,Female,19,64.960665,110.231
Valentina Shevchenko,ccy,Cross Country Skiing,Female,38,64.960665,112.43562
Anna Gasser,swb,Snowboarding,Female,22,64.960665,114.64024
Yara Van Kerkhof,sht,Short-Track Skating,Female,23,64.960665,114.64024
Valiantsina Kaminskaya,ccy,Cross Country Skiing,Female,26,64.960665,114.64024
Deborah Anthonioz,swb,Snowboarding,Female,35,64.960665,114.64024
Victoria Padial Hernandez,bai,Biathlon,Female,25,64.960665,116.84486
Jessica Hewitt,sht,Short-Track Skating,Female,27,64.960665,116.84486
Gaia Vuerich,ccy,Cross Country Skiing,Female,22,64.960665,119.04948
Jessika Jenson,swb,Snowboarding,Female,22,64.960665,119.04948
Enni Rukajarvi,swb,Snowboarding,Female,23,64.960665,119.04948
Kim Lamarre,fss,Freestyle Skiing,Female,25,64.960665,119.04948
Marine Bolliet,bai,Biathlon,Female,26,64.960665,119.04948
Jessica Jerome,skj,Ski Jumping,Female,27,64.960665,119.04948
Camille Dias,alp,Alpine Skiing,Female,17,64.960665,121.2541
Bernadette Schild,alp,Alpine Skiing,Female,24,64.960665,121.2541
Martina Chrapanova,bai,Biathlon,Female,24,64.960665,121.2541
Simona Meiler,swb,Snowboarding,Female,24,64.960665,123.45872
Marie Laure Brunet,bai,Biathlon,Female,25,64.960665,123.45872
Elisabeth Hoegberg,bai,Biathlon,Female,27,64.960665,123.45872
Xin Zhang,fss,Freestyle Skiing,Female,28,64.960665,123.45872
Coline Mattel,skj,Ski Jumping,Female,18,64.960665,125.66334
Vladimir Zografski,skj,Ski Jumping,Male,20,64.960665,125.66334
Sophie Boilley,bai,Biathlon,Female,24,64.960665,125.66334
Kaya Turski,fss,Freestyle Skiing,Female,25,64.960665,125.66334
Ekaterina Glazyrina,bai,Biathlon,Female,26,64.960665,125.66334
Angelica Morrone Di Silvestri,ccy,Cross Country Skiing,Female,48,64.960665,125.66334
Joanna Zajac,swb,Snowboarding,Female,23,64.960665,127.86796
Katrin Nabholz,hky,Hockey,Female,27,64.960665,127.86796
Triin Ojaste,ccy,Cross Country Skiing,Female,23,64.960665,130.07258
Mengtao Xu,fss,Freestyle Skiing,Female,23,64.960665,130.07258
Sabrina Cakmakli,fss,Freestyle Skiing,Female,19,64.960665,132.2772
Manfred Oettl Reyes,alp,Alpine Skiing,Male,20,64.960665,132.2772
Annamari Chundak,swb,Snowboarding,Female,23,64.960665,132.2772
Mireia Gutierrez,alp,Alpine Skiing,Female,25,64.960665,132.2772
Maria Kirkova,alp,Alpine Skiing,Female,28,64.960665,132.2772
Kanae Aoki,hky,Hockey,Female,28,64.960665,132.2772
Cecilia Maffei,sht,Short-Track Skating,Female,29,64.960665,132.2772
Yulia Tchekaleva,ccy,Cross Country Skiing,Female,30,64.960665,132.2772
Kikkan Randall,ccy,Cross Country Skiing,Female,31,64.960665,132.2772
Yoko Kondo,hky,Hockey,Female,35,64.960665,132.2772
Constantinos Papamichael,alp,Alpine Skiing,Male,20,64.960665,134.48182
Amanda Kessel,hky,Hockey,Female,22,64.960665,134.48182
Elin Mattsson,bai,Biathlon,Female,27,64.960665,134.48182
Nao Kodaira,ssk,Speedskating,Female,27,64.960665,134.48182
Tomoka Takeuchi,swb,Snowboarding,Female,30,64.960665,134.48182
Ksenia Alopina,alp,Alpine Skiing,Female,21,64.960665,136.68644
Yang Zhou,sht,Short-Track Skating,Female,22,64.960665,136.68644
Rebecca Sinclair,swb,Snowboarding,Female,22,64.960665,136.68644
Linda Valimaki,hky,Hockey,Female,23,64.960665,136.68644
Valerie Maltais,sht,Short-Track Skating,Female,23,64.960665,136.68644
Sang Hwa Lee,ssk,Speedskating,Female,24,64.960665,136.68644
Kelli Stack,hky,Hockey,Female,26,64.960665,136.68644
Natalia Wojtusciszyn,lge,Luge,Female,21,64.960665,138.89106
Samantha Wells,fss,Freestyle Skiing,Female,24,64.960665,138.89106
Pernilla Winberg,hky,Hockey,Female,24,64.960665,138.89106
Lina Xia,alp,Alpine Skiing,Female,26,64.960665,138.89106
Arielle Gold,swb,Snowboarding,Female,17,64.960665,141.09568
So-Hui Gim,alp,Alpine Skiing,Female,17,64.960665,143.3003
Hanna Erikson,ccy,Cross Country Skiing,Female,23,64.960665,143.3003
Jana Gantnerova,alp,Alpine Skiing,Female,24,64.960665,143.3003
Maxime Chataignier,sht,Short-Track Skating,Male,25,64.960665,143.3003
Marina Gilardoni,skl,Skeleton,Female,26,64.960665,143.3003
Kelly Gunther,ssk,Speedskating,Female,26,64.960665,143.3003
Nadia Fanchini,alp,Alpine Skiing,Female,27,64.960665,143.3003
Aleksandra Klus,alp,Alpine Skiing,Female,27,64.960665,143.3003
Joji Kato,ssk,Speedskating,Male,29,64.960665,143.3003
Carolina Ruiz Castillo,alp,Alpine Skiing,Female,32,64.960665,143.3003
Michelle Dekker,swb,Snowboarding,Female,17,64.960665,145.50492
Yekaterina Lebedeva,hky,Hockey,Female,24,64.960665,145.50492
Hannah Kearney,fss,Freestyle Skiing,Female,27,64.960665,145.50492
Edit Miklos,alp,Alpine Skiing,Female,25,64.960665,147.70954
Minttu Tuominen,hky,Hockey,Female,23,64.960665,154.3234
Noora Raty,hky,Hockey,Female,24,64.960665,154.3234
Stanislav Detkov,swb,Snowboarding,Male,33,64.960665,158.73264
James Woods,fss,Freestyle Skiing,Male,22,64.960665,163.14188
Victoria Sinitsina,fgs,Figure Skating,Female,18,65.354366,
Un Chi Gim,crl,Curling,Female,24,65.354366,
Elena Glebova,fgs,Figure Skating,Female,24,65.354366,
Debora Agreiter,ccy,Cross Country Skiing,Female,22,65.354366,112.43562
Lea Lemare,skj,Ski Jumping,Female,17,65.354366,114.64024
Federica Selva,alp,Alpine Skiing,Female,17,65.354366,116.84486
Taylor Henrich,skj,Ski Jumping,Female,18,65.354366,119.04948
Katharina Innerhofer,bai,Biathlon,Female,23,65.354366,121.2541
Elena Koenz,swb,Snowboarding,Female,26,65.354366,121.2541
Maria Ramberger,swb,Snowboarding,Female,27,65.354366,121.2541
Krystyna Palka,bai,Biathlon,Female,30,65.354366,121.2541
Veronika Vitkova,bai,Biathlon,Female,25,65.354366,123.45872
Na Song,bai,Biathlon,Female,18,65.354366,125.66334
Sena Suzuki,hky,Hockey,Female,22,65.354366,125.66334
Paulina Bobak,bai,Biathlon,Female,29,65.354366,125.66334
Yana Romanova,bai,Biathlon,Female,30,65.354366,125.66334
Nelly Moenne Loccoz,swb,Snowboarding,Female,23,65.354366,127.86796
Aino-Kaisa Saarinen,ccy,Cross Country Skiing,Female,35,65.354366,127.86796
Fanny Smith,fss,Freestyle Skiing,Female,21,65.354366,130.07258
Agnese Aboltina,alp,Alpine Skiing,Female,18,65.354366,132.2772
Kenza Tazi,alp,Alpine Skiing,Female,18,65.354366,132.2772
Lara Stalder,hky,Hockey,Female,19,65.354366,132.2772
Ryo Aono,swb,Snowboarding,Male,23,65.354366,132.2772
Anna Fenninger,alp,Alpine Skiing,Female,24,65.354366,132.2772
Gaia Bassani Antivari,alp,Alpine Skiing,Female,35,65.354366,132.2772
Claudia Pechstein,ssk,Speedskating,Female,41,65.354366,132.2772
Alenka Cebasek,ccy,Cross Country Skiing,Female,24,65.354366,134.48182
Alessandro Pittin,ndc,Hordic Combined,Male,24,65.354366,136.68644
Dan Li,ssk,Speedskating,Female,27,65.354366,136.68644
Sunok Kim,bbs,Bobseld,Female,33,65.354366,136.68644
Aina Takeuchi,hky,Hockey,Female,22,65.354366,138.89106
Inna Dyubanok,hky,Hockey,Female,23,65.354366,138.89106
Bell Berghuis,swb,Snowboarding,Female,28,65.354366,138.89106
Mihwa Shin,bbs,Bobseld,Female,19,65.354366,141.09568
Linnea Backman,hky,Hockey,Female,22,65.354366,143.3003
Juliya Dzhyma,bai,Biathlon,Female,23,65.354366,145.50492
Cecilia Ostberg,hky,Hockey,Female,23,65.354366,147.70954
Peetu Piiroinen,swb,Snowboarding,Male,26,65.354366,147.70954
Kateryna Grygorenko,ccy,Cross Country Skiing,Female,28,65.354366,147.70954
Elisabeth Goergl,alp,Alpine Skiing,Female,32,65.354366,147.70954
Kim Martin Hasson,hky,Hockey,Female,27,65.354366,149.91416
Michelle Karvinen,hky,Hockey,Female,23,65.354366,152.11878
Sofija Novoselic,alp,Alpine Skiing,Female,24,65.354366,154.3234
Pol Carreras,alp,Alpine Skiing,Male,24,65.354366,154.3234
Valeriya Tsoy,swb,Snowboarding,Female,25,65.354366,158.73264
Yuji Kamijo,ssk,Speedskating,Male,27,65.354366,158.73264
Alexandra Kapustina,hky,Hockey,Female,29,65.354366,163.14188
Wolfgang Kindl,lge,Luge,Male,25,65.354366,171.96036
Alexandra Saitova,crl,Curling,Female,21,65.748067,
Alexander Majorov,fgs,Figure Skating,Male,22,65.748067,
Kaitlyn Weaver,fgs,Figure Skating,Female,24,65.748067,
Cathy Reed,fgs,Figure Skating,Female,26,65.748067,
Maria Wennerstroem,crl,Curling,Female,28,65.748067,
Qingshuang Yue,crl,Curling,Female,28,65.748067,
Bigna Windmueller,skj,Ski Jumping,Female,22,65.748067,112.43562
Jesper Tjader,fss,Freestyle Skiing,Male,19,65.748067,116.84486
Angelina Goncharenko,hky,Hockey,Female,19,65.748067,116.84486
Stefi Luxton,swb,Snowboarding,Female,22,65.748067,116.84486
Ji-Hee Mun,bai,Biathlon,Female,25,65.748067,116.84486
Sayuri Shimizu,sht,Short-Track Skating,Female,25,65.748067,116.84486
Ha-Ri Cho,sht,Short-Track Skating,Female,27,65.748067,116.84486
Himanshu Thakur,alp,Alpine Skiing,Male,20,65.748067,119.04948
Maja Vtic,skj,Ski Jumping,Female,26,65.748067,121.2541
Bo Ra Lee,ssk,Speedskating,Female,27,65.748067,121.2541
Perianne Jones,ccy,Cross Country Skiing,Female,28,65.748067,121.2541
Shelley Rudman,skl,Skeleton,Female,32,65.748067,121.2541
Hyun Yung Kim,ssk,Speedskating,Female,19,65.748067,123.45872
Nino Tsiklauri,alp,Alpine Skiing,Female,20,65.748067,123.45872
Elena Runggaldier,skj,Ski Jumping,Female,23,65.748067,123.45872
Lea Johanidesova,bai,Biathlon,Female,24,65.748067,123.45872
Megan Imrie,bai,Biathlon,Female,28,65.748067,123.45872
Hanna Huskova,fss,Freestyle Skiing,Female,21,65.748067,125.66334
Danielle Scott,fss,Freestyle Skiing,Female,23,65.748067,125.66334
Laurien Van Der Graaff,ccy,Cross Country Skiing,Female,26,65.748067,125.66334
Manami Mitsuboshi,fss,Freestyle Skiing,Female,30,65.748067,125.66334
Ieva Januskeviciute,alp,Alpine Skiing,Female,19,65.748067,127.86796
Antoniya Grigorova-Burgova,ccy,Cross Country Skiing,Female,27,65.748067,127.86796
Anouk Faivre Picon,ccy,Cross Country Skiing,Female,27,65.748067,127.86796
Volha Talayeva,sht,Short-Track Skating,Female,27,65.748067,127.86796
Natalya Burdyga,bai,Biathlon,Female,30,65.748067,127.86796
Lucy Chaffer,skl,Skeleton,Female,30,65.748067,127.86796
Esther Bottomley,ccy,Cross Country Skiing,Female,31,65.748067,127.86796
Tanja Schaerer,fss,Freestyle Skiing,Female,24,65.748067,130.07258
Heidi Zacher,fss,Freestyle Skiing,Female,25,65.748067,130.07258
Isabella Laboeck,swb,Snowboarding,Female,27,65.748067,130.07258
Sofia Prosvirnova,sht,Short-Track Skating,Female,16,65.748067,132.2772
Wendy Holdener,alp,Alpine Skiing,Female,20,65.748067,132.2772
Yulia Galysheva,fss,Freestyle Skiing,Female,21,65.748067,132.2772
Misaki Oshigiri,ssk,Speedskating,Female,21,65.748067,132.2772
Mirabelle Thovex,swb,Snowboarding,Female,22,65.748067,132.2772
Emma Wiken,ccy,Cross Country Skiing,Female,24,65.748067,132.2772
Hannah Trigger,swb,Snowboarding,Female,27,65.748067,132.2772
Eveline Bhend,fss,Freestyle Skiing,Female,32,65.748067,132.2772
Marie-Eve Drolet,sht,Short-Track Skating,Female,32,65.748067,132.2772
Tatiana Bodova,sht,Short-Track Skating,Female,22,65.748067,134.48182
Francesca Marsaglia,alp,Alpine Skiing,Female,24,65.748067,134.48182
Marina Nigg,alp,Alpine Skiing,Female,29,65.748067,134.48182
Laurine Van Riessen,ssk,Speedskating,Female,26,65.748067,136.68644
Nobu Naruse,ccy,Cross Country Skiing,Male,29,65.748067,136.68644
Sandra Naeslund,fss,Freestyle Skiing,Female,17,65.748067,138.89106
Maxime Dufour-Lapointe,fss,Freestyle Skiing,Female,25,65.748067,138.89106
Alexandra Jekova,swb,Snowboarding,Female,26,65.748067,138.89106
Kathrin Zettel,alp,Alpine Skiing,Female,27,65.748067,138.89106
Valeriya Reznik,sht,Short-Track Skating,Female,28,65.748067,138.89106
Hanna Falk,ccy,Cross Country Skiing,Female,24,65.748067,143.3003
Marusa Ferk,alp,Alpine Skiing,Female,25,65.748067,143.3003
Sara Hector,alp,Alpine Skiing,Female,21,65.748067,145.50492
Shiho Ishizawa,ssk,Speedskating,Female,27,65.748067,147.70954
Fabienne Suter,alp,Alpine Skiing,Female,29,65.748067,147.70954
Michelle Picard,hky,Hockey,Female,20,65.748067,149.91416
Anna Vinogradova,hky,Hockey,Female,22,65.748067,152.11878
Stefanie Marty,hky,Hockey,Female,25,65.748067,154.3234
Fabienne Meyer,bbs,Bobseld,Female,32,65.748067,160.93726
Mae Berenice Meite,fgs,Figure Skating,Female,19,66.141768,
Natalia Popova,fgs,Figure Skating,Female,20,66.141768,
Denis Ten,fgs,Figure Skating,Male,20,66.141768,
Abzal Rakimgaliev,fgs,Figure Skating,Male,21,66.141768,
Patrick Chan,fgs,Figure Skating,Male,23,66.141768,
Scott Moir,fgs,Figure Skating,Male,26,66.141768,
Janine Greiner,crl,Curling,Female,33,66.141768,
Teresa Stadlober,ccy,Cross Country Skiing,Female,21,66.141768,114.64024
Katie Tsuyuki,swb,Snowboarding,Female,31,66.141768,114.64024
Alang Kim,sht,Short-Track Skating,Female,18,66.141768,116.84486
Alyona Khomich,hky,Hockey,Female,32,66.141768,116.84486
Chiho Takao,fss,Freestyle Skiing,Female,29,66.141768,119.04948
Seraina Boner,ccy,Cross Country Skiing,Female,31,66.141768,119.04948
Julia Kykkaenen,skj,Ski Jumping,Female,19,66.141768,121.2541
Natalia Zhukova,ccy,Cross Country Skiing,Female,21,66.141768,121.2541
Jialin Tang,bai,Biathlon,Female,22,66.141768,121.2541
Viona Harrer,hky,Hockey,Female,27,66.141768,121.2541
Ekaterina Baranok,sht,Short-Track Skating,Female,21,66.141768,123.45872
Alina Raikova,bai,Biathlon,Female,22,66.141768,123.45872
Amelie Kober,swb,Snowboarding,Female,26,66.141768,123.45872
Darya Domracheva,bai,Biathlon,Female,27,66.141768,123.45872
Marie Dorin Habert,bai,Biathlon,Female,27,66.141768,123.45872
Natalia Matveeva,ccy,Cross Country Skiing,Female,27,66.141768,123.45872
Zhanbota Aldabergenova,fss,Freestyle Skiing,Female,18,66.141768,125.66334
Anna Chernova,ssk,Speedskating,Female,21,66.141768,125.66334
Federica Brignone,alp,Alpine Skiing,Female,23,66.141768,125.66334
Eva Puskarcikova,bai,Biathlon,Female,23,66.141768,125.66334
Alexandra Vafina,hky,Hockey,Female,23,66.141768,125.66334
Rianne De Vries,sht,Short-Track Skating,Female,23,66.141768,125.66334
Nadzeya Pisareva,bai,Biathlon,Female,25,66.141768,125.66334
Sophie Rodriguez,swb,Snowboarding,Female,25,66.141768,125.66334
Tatyana Ossipova,ccy,Cross Country Skiing,Female,26,66.141768,125.66334
Brittany Webster,ccy,Cross Country Skiing,Female,26,66.141768,125.66334
Alessia Afi Dipol,alp,Alpine Skiing,Female,18,66.141768,127.86796
Nicole Parks,fss,Freestyle Skiing,Female,21,66.141768,127.86796
Lara Van Ruijven,sht,Short-Track Skating,Female,21,66.141768,127.86796
Seung-Hi Park,sht,Short-Track Skating,Female,21,66.141768,127.86796
Alyson Dudek,sht,Short-Track Skating,Female,23,66.141768,127.86796
Shin Young Yang,ssk,Speedskating,Female,23,66.141768,127.86796
Maria Lamb,ssk,Speedskating,Female,28,66.141768,127.86796
Sara Studebaker,bai,Biathlon,Female,29,66.141768,130.07258
Young-Seo Kang,alp,Alpine Skiing,Female,16,66.141768,132.2772
Yelizaveta Axenova,lge,Luge,Female,18,66.141768,132.2772
Martina Valcepina,sht,Short-Track Skating,Female,21,66.141768,132.2772
Ornella Oettl Reyes,alp,Alpine Skiing,Female,22,66.141768,132.2772
Lucia Anger,ccy,Cross Country Skiing,Female,23,66.141768,132.2772
Julia Dujmovits,swb,Snowboarding,Female,26,66.141768,132.2772
Ho-Suk Lee,sht,Short-Track Skating,Male,27,66.141768,132.2772
Evgeny Ustyugov,bai,Biathlon,Male,28,66.141768,132.2772
Claudia Nystad,ccy,Cross Country Skiing,Female,36,66.141768,132.2772
Greta Laurent,ccy,Cross Country Skiing,Female,21,66.141768,134.48182
Emma Dahlstrom,fss,Freestyle Skiing,Female,21,66.141768,134.48182
Yun-Jae Kim,sht,Short-Track Skating,Male,23,66.141768,134.48182
Megan Mcjames,alp,Alpine Skiing,Female,26,66.141768,134.48182
Regina Sterz,alp,Alpine Skiing,Female,28,66.141768,134.48182
Holly Brooks,ccy,Cross Country Skiing,Female,31,66.141768,134.48182
Isabel Clark Ribeiro,swb,Snowboarding,Female,37,66.141768,134.48182
Jorinde Mueller,fss,Freestyle Skiing,Female,20,66.141768,136.68644
Daria Yurlova,bai,Biathlon,Female,21,66.141768,136.68644
Kelsey Serwa,fss,Freestyle Skiing,Female,24,66.141768,136.68644
Olga Potylitsina,skl,Skeleton,Female,24,66.141768,136.68644
Jordan Malone,sht,Short-Track Skating,Male,29,66.141768,136.68644
Marion Thees,skl,Skeleton,Female,29,66.141768,136.68644
Gabriele Hirschbichler,ssk,Speedskating,Female,30,66.141768,136.68644
Aliaksei Ivanou,ccy,Cross Country Skiing,Male,33,66.141768,136.68644
Tea Villila,hky,Hockey,Female,22,66.141768,138.89106
Ireen Wust,ssk,Speedskating,Female,27,66.141768,138.89106
Hanae Kubo,hky,Hockey,Female,31,66.141768,138.89106
Fanny Rask,hky,Hockey,Female,22,66.141768,141.09568
Lavinia Chrystal,alp,Alpine Skiing,Female,24,66.141768,141.09568
Long Ren,bai,Biathlon,Male,25,66.141768,141.09568
Lindsey Jacobellis,swb,Snowboarding,Female,28,66.141768,141.09568
Julia Mancuso,alp,Alpine Skiing,Female,29,66.141768,141.09568
Assoli Slivets,fss,Freestyle Skiing,Female,31,66.141768,141.09568
Maritta Becker,hky,Hockey,Female,32,66.141768,141.09568
Vendula Kotenova,lge,Luge,Female,19,66.141768,143.3003
Nadiya Didenko,fss,Freestyle Skiing,Female,27,66.141768,143.3003
Per Spett,fss,Freestyle Skiing,Male,28,66.141768,143.3003
Zoe Gillings,swb,Snowboarding,Female,28,66.141768,143.3003
Jelena Peeters,ssk,Speedskating,Female,28,66.141768,143.3003
Verena Stuffer,alp,Alpine Skiing,Female,29,66.141768,143.3003
Jenny Owens,fss,Freestyle Skiing,Female,35,66.141768,143.3003
Ching-Yang Sung,ssk,Speedskating,Male,21,66.141768,145.50492
Michail Semenov,ccy,Cross Country Skiing,Male,28,66.141768,145.50492
Daniela Merighetti,alp,Alpine Skiing,Female,32,66.141768,145.50492
Ariane Walser,bbs,Bobseld,Female,32,66.141768,145.50492
Lina Backlin,hky,Hockey,Female,19,66.141768,147.70954
Johann Baisamy,swb,Snowboarding,Male,24,66.141768,147.70954
Russell Currier,bai,Biathlon,Male,26,66.141768,147.70954
Catherine Ward,hky,Hockey,Female,26,66.141768,147.70954
Meghan Agosta,hky,Hockey,Female,27,66.141768,147.70954
Josiah Wells,fss,Freestyle Skiing,Male,23,66.141768,149.91416
Natalja Khoreva,lge,Luge,Female,27,66.141768,149.91416
Sarah Forster,hky,Hockey,Female,20,66.141768,152.11878
Andreas Zampa,alp,Alpine Skiing,Male,20,66.141768,154.3234
Pavel Krotov,fss,Freestyle Skiing,Male,21,66.141768,154.3234
Emma Nordin,hky,Hockey,Female,22,66.141768,154.3234
Philippe Marquis,fss,Freestyle Skiing,Male,24,66.141768,154.3234
Jocelyne Lamoureux,hky,Hockey,Female,24,66.141768,154.3234
Tomoe Yamane,hky,Hockey,Female,27,66.141768,154.3234
Astrid Radjenovic,bbs,Bobseld,Female,31,66.141768,154.3234
Claudia Riegler,swb,Snowboarding,Female,40,66.141768,154.3234
Rui Ukita,hky,Hockey,Female,17,66.141768,156.52802
Monique Lamoureux,hky,Hockey,Female,24,66.141768,156.52802
Bettina Evers,hky,Hockey,Female,32,66.141768,156.52802
Emma Eliasson,hky,Hockey,Female,24,66.141768,158.73264
Fabiana Santos,bbs,Bobseld,Female,30,66.141768,158.73264
Andrea Voetter,lge,Luge,Female,18,66.141768,160.93726
Henrik Harlaut,fss,Freestyle Skiing,Male,22,66.141768,163.14188
Marat Zhaparov,skj,Ski Jumping,Male,28,66.141768,165.3465
Han Yan,fgs,Figure Skating,Male,17,66.535469,
Anders Fannemel,skj,Ski Jumping,Male,22,66.535469,
Alina Paetz,crl,Curling,Female,23,66.535469,
Tanja Kolbe,fgs,Figure Skating,Female,23,66.535469,
Carolina Kostner,fgs,Figure Skating,Female,27,66.535469,
