name,sport,gender,country,height,weight,age
Michal Slesingr,bai,Male,Czech Republic,1.80,76,31
Sergey Naumik,bai,Male,Kazakhstan,1.81,74,28
Tora Berger,bai,Female,Norway,,,32
Hannah Dreissigacker,bai,Female,United States,1.70,59,27
Sara Studebaker,bai,Female,United States,1.68,59,29
Christoph Sumann,bai,Male,Austria,1.81,79,38
Krzysztof Plywaczyk,bai,Male,Poland,1.81,70,31
Laura Dahlmeier,bai,Female,Germany,1.62,52,20
Rosanna Crawford,bai,Female,Canada,1.80,67,25
Tiril Eckhoff,bai,Female,Norway,,,23
Erik Lesser,bai,Male,Germany,1.70,70,25
Terezia Poliakova,bai,Female,Slovakia,1.70,53,24
Christian De Lorenzi,bai,Male,Italy,1.73,65,32
Johanna Talihaerm,bai,Female,Estonia,1.61,60,20
Yuki Nakajima,bai,Female,Japan,1.54,47,23
Grzegorz Guzik,bai,Male,Poland,1.83,68,22
Yana Romanova,bai,Female,Russian Fed.,1.66,57,30
Ji-Hee Mun,bai,Female,Korea,1.67,53,25
Alexei Almoukov,bai,Male,Australia,1.73,73,23
Lowell Bailey,bai,Male,United States,1.85,76,32
Rina Suzuki,bai,Female,Japan,1.60,55,23
Cornel Puchianu,bai,Male,Romania,1.74,69,24
Teja Gregorin,bai,Female,Slovenia,1.71,57,33
Elise Ringen,bai,Female,Norway,,,24
Sophie Boilley,bai,Female,France,1.65,57,24
Christoph Stephan,bai,Male,Germany,1.88,86,28
Kadri Lehtla,bai,Female,Estonia,1.58,55,28
Arnd Peiffer,bai,Male,Germany,1.85,83,26
Anna-Karin Stroemstedt,bai,Female,Sweden,1.73,66,33
Tarjei Boe,bai,Male,Norway,,,25
Olga Podchufarova,bai,Female,Russian Fed.,1.63,63,21
Juliya Dzhyma,bai,Female,Ukraine,1.66,66,23
Martin Fourcade,bai,Male,France,1.85,75,25
Danil Steptsenko,bai,Male,Estonia,1.82,74,27
Iris Schwabl,bai,Female,Austria,1.63,55,26
Olli Hiidensalo,bai,Male,Finland,1.84,82,23
Yan Zhang,bai,Female,China,1.63,48,21
Katharina Innerhofer,bai,Female,Austria,1.66,55,23
Lars Berger,bai,Male,Norway,,,34
Roland Lessing,bai,Male,Estonia,1.82,79,35
Daniel Taschler,bai,Male,Italy,1.83,72,26
Simon Fourcade,bai,Male,France,1.74,67,29
Evi Sachenbacher-Stehle,bai,Female,Germany,1.62,52,33
Anais Chevalier,bai,Female,France,1.63,55,21
Karin Oberhofer,bai,Female,Italy,1.64,55,28
Julian Eberhard,bai,Male,Austria,1.96,84,27
Weronika Nowakowska-Ziemniak,bai,Female,Poland,1.59,53,27
Ivan Zlatev,bai,Male,Bulgaria,1.77,77,23
Victoria Padial Hernandez,bai,Female,Spain,1.65,53,25
Tanja Karisik,bai,Female,Bosnia and Herzegovina,1.69,53,22
Jakov Fak,bai,Male,Slovenia,1.84,74,26
Tomas Krupcik,bai,Male,Czech Republic,1.86,71,26
Long Ren,bai,Male,China,1.68,64,25
Yan Savitskiy,bai,Male,Kazakhstan,1.78,70,26
Martina Chrapanova,bai,Female,Slovakia,1.65,55,24
Fanny Welle-Strand Horn,bai,Female,Norway,,,25
Kauri Koiv,bai,Male,Estonia,1.88,82,30
Christofer Eriksson,bai,Male,Sweden,1.93,84,25
Lukasz Szczurek,bai,Male,Poland,1.79,68,25
Milanko Petrovic,bai,Male,Serbia,1.87,83,25
Simon Desthieux,bai,Male,France,1.76,69,22
Jaqueline Mourao,bai,Female,Brazil,1.70,54,38
Rafal Lepel,bai,Male,Poland,1.73,65,24
Lukas Hofer,bai,Male,Italy,1.75,69,24
Gabriela Soukalova,bai,Female,Czech Republic,1.70,62,24
Marie Dorin Habert,bai,Female,France,1.68,56,27
Nadezhda Paleeva,bbs,Female,Russian Fed.,1.74,70,28
Loic Costerg,bbs,Male,France,1.85,90,26
Jazmine Fenlator,bbs,Female,United States,1.75,78,28
Duncan Harvey,bbs,Male,Australia,1.83,102,32
Lolo Jones,bbs,Female,United States,1.75,73,31
Chris Spring,bbs,Male,Canada,1.81,101,29
Gregor Bermbach,bbs,Male,Germany,1.83,95,33
Markus Sammer,bbs,Male,Austria,1.88,98,25
Paul Muntean,bbs,Male,Romania,1.80,105,29
Sik Kim,bbs,Male,Korea,1.84,100,28
Hanna Emilie Marien,bbs,Female,Belgium,1.70,74,31
Jana Pittman,bbs,Female,Australia,1.80,82,31
Edwin Van Calker,bbs,Male,Netherlands,1.88,99,34
Justin Kripps,bbs,Male,Canada,1.83,100,27
Nadezhda Sergeeva,bbs,Female,Russian Fed.,1.74,70,26
Ben Coakwell,bbs,Male,Canada,1.78,102,26
Dawid Kupczyk,bbs,Male,Poland,1.82,98,36
Lukas Kozienka,bbs,Male,Slovakia,1.87,95,24
Alex Baumann,bbs,Male,Switzerland,1.81,100,28
Dmitry Trunenkov,bbs,Male,Russian Fed.,1.88,106,29
Bogdan Otava,bbs,Male,Romania,1.81,92,27
Helvijs Lusis,bbs,Male,Latvia,1.86,97,27
Thomas Lamparter,bbs,Male,Switzerland,1.83,100,35
Andreea Grecu,bbs,Female,Romania,1.76,74,20
Jeremie Boutherin,bbs,Male,France,1.75,77,25
Dominik Dvorak,bbs,Male,Czech Republic,1.92,95,21
Lascelles Brown,bbs,Male,Canada,1.82,100,39
Franziska Bertels,bbs,Female,Germany,1.78,72,27
Nikolay Khrenkov,bbs,Male,Russian Fed.,1.85,95,29
Jeremy Baillard,bbs,Male,France,1.87,106,24
Martin Tesovic,bbs,Male,Slovakia,1.83,105,39
Rico Peter,bbs,Male,Switzerland,1.85,100,30
Cody Sorensen,bbs,Male,Canada,1.83,96,27
David Coleman,bbs,Male,Great Britain,1.79,100,28
Lamin Deen,bbs,Male,Great Britain,1.81,100,32
Youngjin Suk,bbs,Male,Korea,1.76,98,23
Nick Cunningham,bbs,Male,United States,1.80,95,28
Jeahan Oh,bbs,Male,Korea,1.80,95,22
Oskars Melbardis,bbs,Male,Latvia,1.89,95,26
Andrew Matthews,bbs,Male,Great Britain,1.72,83,29
Edson Ricardo Martins,bbs,Male,Brazil,1.87,91,24
Justin Olsen,bbs,Male,United States,1.88,107,26
Maxim Belugin,bbs,Male,Russian Fed.,1.95,115,28
Franziska Fritz,bbs,Female,Germany,1.82,81,23
Astrid Radjenovic,bbs,Female,Australia,1.68,70,31
Maxim Mokrousov,bbs,Male,Russian Fed.,1.84,94,30
Johnny Quinn,bbs,Male,United States,1.83,100,30
Junglin Jun,bbs,Male,Korea,1.84,100,25
Alexey Negodaylo,bbs,Male,Russian Fed.,1.89,98,24
Juerg Egger,bbs,Male,Switzerland,1.78,98,32
Marko Huebenbecker,bbs,Male,Germany,2.00,114,27
John Baines,bbs,Male,Great Britain,1.89,100,28
Elly Lefort,bbs,Male,France,1.87,100,26
James Mcnaughton,bbs,Male,Canada,1.83,103,26
Thorsten Margis,bbs,Male,Germany,1.92,99,24
Winston Watts,bbs,Male,Jamaica,1.82,107,46
Arno Klaassen,bbs,Male,Netherlands,1.89,96,34
Christian Poser,bbs,Male,Germany,1.86,90,27
Kevin Kuske,bbs,Male,Germany,1.96,116,35
Sybren Jansma,bbs,Male,Netherlands,1.99,107,32
Jennifer Ciochetti,bbs,Female,Canada,1.70,76,29
Marvin Dixon,bbs,Male,Jamaica,1.75,93,30
David Bissett,bbs,Male,Canada,1.79,102,34
Toshiki Kuroiwa,bbs,Male,Japan,1.72,83,20
Gareth Nichols,bbs,Male,Australia,1.85,102,30
Joel Fearon,bbs,Male,Great Britain,1.89,93,25
Arvis Vilkaste,bbs,Male,Latvia,1.83,97,24
Florin Craciun,bbs,Male,Romania,1.86,103,24
Aja Evans,bbs,Female,United States,1.78,77,25
Petr Moiseev,bbs,Male,Russian Fed.,1.90,89,27
Anja Schneiderheinze,bbs,Female,Germany,1.69,79,35
Sally Mayara Da Silva,bbs,Female,Brazil,1.69,76,26
Fabiana Santos,bbs,Female,Brazil,1.68,72,30
Elfje Willemsen,bbs,Female,Belgium,1.74,78,29
Youngwoo Seo,bbs,Male,Korea,1.80,97,22
Neville Wright,bbs,Male,Canada,1.83,100,33
Yulia Timofeeva,bbs,Female,Russian Fed.,1.74,71,41
Juraj Mokras,bbs,Male,Slovakia,1.89,87,23
Tanja Mayer,bbs,Female,Switzerland,1.80,73,20
William Frullani,bbs,Male,Italy,1.91,101,34
Marcin Niewiara,bbs,Male,Poland,1.90,99,32
Daniel Zalewski,bbs,Male,Poland,1.81,100,22
Bruce Tasker,bbs,Male,Great Britain,1.93,105,26
Lauryn Williams,bbs,Female,United States,1.60,67,30
Hiroshi Suzuki,bbs,Male,Japan,1.73,89,40
Craig Pickering,bbs,Male,Great Britain,1.82,93,27
Christin Senkel,bbs,Female,Germany,1.80,78,26
Alexander Roediger,bbs,Male,Germany,1.83,95,28
Viola Kleiser,bbs,Female,Austria,1.78,72,23
Janis Strenga,bbs,Male,Latvia,1.83,92,28
Donghyun Kim,bbs,Male,Korea,1.84,100,26
Ilvir Huzin,bbs,Male,Russian Fed.,1.90,94,23
Christina Hengster,bbs,Female,Austria,1.77,76,28
Nikita Zakharov,bbs,Male,Russian Fed.,1.86,94,26
Yunjong Won,bbs,Male,Korea,1.82,107,28
Romain Heinrich,bbs,Male,France,1.88,105,24
Cathleen Martini,bbs,Female,Germany,1.70,73,31
Florent Ribet,bbs,Male,France,1.83,96,24
Ben Simons,bbs,Male,Great Britain,1.86,90,27
Lucas Mata,bbs,Male,Australia,1.78,90,25
Rebekah Wilson,bbs,Female,Great Britain,1.60,67,22
Kirill Antukh,bbs,Male,Russian Fed.,1.90,97,27
Judith Vis,bbs,Female,Netherlands,1.80,80,33
Dallas Robinson,bbs,Male,United States,1.93,107,31
Hisashi Miyazaki,bbs,Male,Japan,1.83,90,32
Andreas Neagu,bbs,Male,Romania,1.81,92,28
Vuk Radenovic,bbs,Male,Serbia,1.87,106,30
Angel Somov,bbs,Male,Austria,1.92,98,23
Daumants Dreiskens,bbs,Male,Latvia,1.93,108,29
Ariane Walser,bbs,Female,Switzerland,1.68,66,32
Dominik Suchy,bbs,Male,Czech Republic,1.85,98,26
Patrice Servelle,bbs,Male,Monaco,1.83,90,39
Liudmila Udobkina,bbs,Female,Russian Fed.,1.78,82,29
Mihwa Shin,bbs,Female,Korea,1.66,64,19
Danut Moldovan,bbs,Male,Romania,1.83,85,22
Martin Putze,bbs,Male,Germany,1.81,100,29
Sandra Kiriasis,bbs,Female,Germany,1.82,80,39
Curtis Tomasevicz,bbs,Male,United States,1.85,104,33
Elana Meyers,bbs,Female,United States,1.70,82,29
Alexander Kasjanov,bbs,Male,Russian Fed.,1.84,102,30
Kaillie Humphries,bbs,Female,Canada,1.70,77,28
Vairis Leiboms,bbs,Male,Latvia,1.85,94,22
John James Jackson,bbs,Male,Great Britain,1.83,102,36
Edson Bindilatti,bbs,Male,Brazil,1.90,100,34
Michal Vacek,bbs,Male,Czech Republic,1.90,96,26
Maximilian Arndt,bbs,Male,Germany,1.80,93,26
Stefan Withalm,bbs,Male,Austria,1.81,100,30
Simone Fontana,bbs,Male,Italy,1.83,97,22
Stephanie Schneider,bbs,Female,Germany,1.72,75,23
Thibault Alexis Godefroy,bbs,Male,France,1.85,98,28
Alexey Voevoda,bbs,Male,Russian Fed.,1.95,114,33
Vincent Daniel Jean-Paul Ricard,bbs,Male,France,1.89,95,28
Kyunghyun Kim,bbs,Male,Korea,1.79,98,19
Bryan Barnett,bbs,Male,Canada,1.83,102,27
Bror Van Der Zijde,bbs,Male,Netherlands,1.89,110,25
Raivis Broks,bbs,Male,Latvia,1.92,102,29
Nicolae Istrate,bbs,Male,Romania,1.83,88,31
Steven Langton,bbs,Male,United States,1.91,106,30
Simone Bertazzo,bbs,Male,Italy,1.84,103,31
Maria Constantin,bbs,Female,Romania,1.73,78,22
Odirlei Pessoni,bbs,Male,Brazil,1.82,93,31
Beat Hefti,bbs,Male,Switzerland,1.83,110,36
Steven Holcomb,bbs,Male,United States,1.78,102,33
Stuart Benson,bbs,Male,Great Britain,1.95,103,33
Benjamin Maier,bbs,Male,Austria,1.82,98,19
Francesco Costa,bbs,Male,Italy,1.85,90,28
Jan Vrba,bbs,Male,Czech Republic,1.86,90,32
Christopher Fogt,bbs,Male,United States,1.83,96,30
Olga Stulneva,bbs,Female,Russian Fed.,1.72,76,30
Sunok Kim,bbs,Female,Korea,1.66,62,33
Oskars Kibermanis,bbs,Male,Latvia,1.86,95,20
Shintaro Sato,bbs,Male,Japan,1.83,89,33
Heath Spence,bbs,Male,Australia,1.80,102,33
Milan Jagnesak,bbs,Male,Slovakia,1.79,93,44
Petr Narovec,bbs,Male,Slovakia,,,36
Aleksei Pushkarev,bbs,Male,Russian Fed.,1.82,90,27
Sebastien Gattuso,bbs,Male,Monaco,1.80,97,42
Pawel Mroz,bbs,Male,Poland,1.86,95,29
Caroline Spahni,bbs,Female,Switzerland,1.70,78,31
Timothy Randall,bbs,Male,Canada,1.79,105,27
Heather Moyse,bbs,Female,Canada,1.78,72,35
Jannis Baecker,bbs,Male,Germany,1.98,101,29
Jamie Greubel,bbs,Female,United States,1.75,76,30
Wayne Blackwood,bbs,Male,Jamaica,1.75,95,44
Joshua Bluhm,bbs,Male,Germany,1.87,95,19
Paula Walker,bbs,Female,Great Britain,1.82,87,27
Thomas Florschuetz,bbs,Male,Germany,1.84,95,35
Francesco Friedrich,bbs,Male,Germany,1.80,89,23
Esme Kamphuis,bbs,Female,Netherlands,1.78,76,30
Alexander Zubkov,bbs,Male,Russian Fed.,1.89,102,39
Jesse Lumsden,bbs,Male,Canada,1.86,105,31
Cory Butner,bbs,Male,United States,1.88,102,32
Chelsea Valois,bbs,Female,Canada,1.77,75,26
Aleksandar Bundalo,bbs,Male,Serbia,2.05,109,24
Lyndon Rush,bbs,Male,Canada,1.83,102,33
Fabienne Meyer,bbs,Female,Switzerland,1.67,73,32
Kaisa Makarainen,ccy,Female,Finland,1.71,57,31
Imanol Rojo,ccy,Male,Spain,1.78,70,23
Byambadorj Bold,ccy,Male,Mongolia,1.70,66,22
Aivar Rehemaa,ccy,Male,Estonia,1.94,78,31
Sylwia Jaskowiec,ccy,Female,Poland,1.61,55,27
Therese Johaug,ccy,Female,Norway,,,25
Sergey Ustiugov,ccy,Male,Russian Fed.,1.84,80,21
Stanislav Volzhentsev,ccy,Male,Russian Fed.,1.85,77,28
Vytautas Strolia,ccy,Male,Lithuania,1.94,83,21
Alexey Poltoranin,ccy,Male,Kazakhstan,1.86,75,26
Ida Sargent,ccy,Female,United States,1.63,55,26
Seyed Sattar Seyd,ccy,Male,IR Iran,1.76,68,26
Daria Gaiazova,ccy,Female,Canada,1.78,69,30
Ivan Babikov,ccy,Male,Canada,1.72,69,33
Heidi Weng,ccy,Female,Norway,,,22
Daniel Richardsson,ccy,Male,Sweden,1.92,85,31
Teodora Malcheva,ccy,Female,Bulgaria,1.61,55,31
Tucker Murphy,ccy,Male,Bermuda,1.93,83,32
Simon Persson,ccy,Male,Sweden,1.84,80,22
Maryna Antsybor,ccy,Female,Ukraine,1.61,54,26
Jan Antolec,ccy,Male,Poland,1.79,73,23
Raido Rankel,ccy,Male,Estonia,1.86,76,24
Axel Teichmann,ccy,Male,Germany,1.86,85,34
Sabahattin Oglago,ccy,Male,Turkey,1.74,64,29
Marina Lisogor,ccy,Female,Ukraine,1.75,64,30
Kateryna Serdyuk,ccy,Female,Ukraine,1.73,62,24
Sergei Dolidovich,ccy,Male,Belarus,1.78,74,40
Siim Sellis,ccy,Male,Estonia,1.88,86,26
Virginia De Martin Topranin,ccy,Female,Italy,1.64,54,26
Martin Bajcicak,ccy,Male,Slovakia,1.69,69,37
Yelena Kolomina,ccy,Female,Kazakhstan,1.69,58,33
Stefanie Boehler,ccy,Female,Germany,1.70,54,32
Rosamund Musgrave,ccy,Female,Great Britain,1.64,64,27
Martti Jylhae,ccy,Male,Finland,1.84,76,26
Denise Herrmann,ccy,Female,Germany,1.75,61,25
Otgontsetseg Chinbat,ccy,Female,Mongolia,1.63,56,22
Katya Galstyan,ccy,Female,Armenia,1.63,57,21
Dmitriy Japarov,ccy,Male,Russian Fed.,1.78,68,28
Fabio Pasini,ccy,Male,Italy,1.80,78,33
Akira Lenting,ccy,Male,Japan,1.82,77,23
Calle Halfvarsson,ccy,Male,Sweden,1.84,79,24
Chae-Won Lee,ccy,Female,Korea,1.53,45,32
Florin Daniel Pripici,ccy,Male,Romania,1.77,67,18
Mattia Pellegrin,ccy,Male,Italy,1.80,71,24
Klara Moravcova,ccy,Female,Czech Republic,1.69,57,30
Maciej Kreczmer,ccy,Male,Poland,1.78,73,32
Konstantin Glavatskikh,ccy,Male,Russian Fed.,1.74,72,28
Andrew Musgrave,ccy,Male,Great Britain,1.80,78,23
Jovian Hediger,ccy,Male,Switzerland,1.77,79,23
Aino-Kaisa Saarinen,ccy,Female,Finland,1.66,58,35
Cyril Gaillard,ccy,Male,France,1.78,72,28
Yuichi Onda,ccy,Male,Japan,1.80,78,33
Ola Vigen Hattestad,ccy,Male,Norway,,,31
Mona-Lisa Malvalehto,ccy,Female,Finland,1.74,60,30
Pawel Klisz,ccy,Male,Poland,1.76,72,21
Arvis Liepins,ccy,Male,Latvia,1.87,76,23
Devon Kershaw,ccy,Male,Canada,1.78,72,31
Marija Kolaroska,ccy,Female,The Former Yugoslav Republic of Macedonia,1.64,50,16
Masako Ishida,ccy,Female,Japan,1.62,54,33
Eldar Roenning,ccy,Male,Norway,,,31
Natalia Zhukova,ccy,Female,Russian Fed.,1.68,55,21
Finn Haagen Krogh,ccy,Male,Norway,,,23
Mark Starostin,ccy,Male,Kazakhstan,1.75,75,23
Ruslan Perekhoda,ccy,Male,Ukraine,1.82,75,26
Gianluca Cologna,ccy,Male,Switzerland,1.78,74,23
Anastasia Dotsenko,ccy,Female,Russian Fed.,1.70,60,27
Riikka Sarasoja-Lilja,ccy,Female,Finland,1.64,55,31
Sami Jauhojaervi,ccy,Male,Finland,1.74,69,32
Aurelie Dabudyk,ccy,Female,France,1.64,53,25
Keishin Yoshida,ccy,Male,Japan,1.75,74,27
Ingrida Ardisauskaite,ccy,Female,Lithuania,1.78,65,21
Maciej Starega,ccy,Male,Poland,1.80,76,24
Gaia Vuerich,ccy,Female,Italy,1.65,54,22
Mari Laukkanen,ccy,Female,Finland,1.71,58,26
Teresa Stadlober,ccy,Female,Austria,1.68,52,21
Petter Jr. Northug,ccy,Male,Norway,,,28
Antoniya Grigorova-Burgova,ccy,Female,Bulgaria,1.67,58,27
Kateryna Grygorenko,ccy,Female,Ukraine,1.66,67,28
Amanda Ammar,ccy,Female,Canada,1.57,54,28
Kristin Stoermer Steira,ccy,Female,Norway,,,32
Sebastian Gazurek,ccy,Male,Poland,1.76,72,23
Adrien Backscheider,ccy,Male,France,1.78,73,21
Leandro Ribela,ccy,Male,Brazil,1.84,80,33
Laurien Van Der Graaff,ccy,Female,Switzerland,1.67,57,26
Thomas Bing,ccy,Male,Germany,1.77,70,23
Bettina Gruber,ccy,Female,Switzerland,1.70,59,29
Peeter Kummel,ccy,Male,Estonia,1.92,86,31
Jesse Cockney,ccy,Male,Canada,1.80,76,24
Anders Gloeersen,ccy,Male,Norway,,,27
Ivan Perrillat Boiteux,ccy,Male,France,1.72,64,28
Irina Khazova,ccy,Female,Russian Fed.,1.70,61,29
Gary Di Silvestri,ccy,Male,Dominica,1.83,82,47
Aurore Jean,ccy,Female,France,1.75,61,28
Victor Pinzaru,ccy,Male,Rep. of Moldova,1.86,84,22
Emil Joensson,ccy,Male,Sweden,1.78,79,28
Petr Novak,ccy,Male,Czech Republic,1.79,72,31
Wenlong Xu,ccy,Male,China,1.72,67,26
Kari Peters,ccy,Male,Luxembourg,1.83,78,28
Agnieszka Szymanczak,ccy,Female,Poland,1.73,59,29
Dario Cologna,ccy,Male,Switzerland,1.78,75,27
Hanna Falk,ccy,Female,Sweden,1.67,65,24
Andrew Young,ccy,Male,Great Britain,1.94,90,21
Sofia Bleckur,ccy,Female,Sweden,1.64,60,29
Dietmar Noeckler,ccy,Male,Italy,1.81,75,25
Milan Szabo,ccy,Male,Hungary,1.83,78,23
Teodor Peterson,ccy,Male,Sweden,1.87,83,25
Sjur Roethe,ccy,Male,Norway,,,25
Philipp Haelg,ccy,Male,Liechtenstein,1.86,78,22
Jun-Ho Hwang,ccy,Male,Korea,1.81,71,20
Johannes Duerr,ccy,Male,Austria,1.77,63,26
Riitta-Liisa Roponen,ccy,Female,Finland,1.61,54,35
Anne Kylloenen,ccy,Female,Finland,1.73,61,26
Maiken Caspersen Falla,ccy,Female,Norway,,,23
Krista Lahteenmaki,ccy,Female,Finland,1.60,56,23
Torin Koos,ccy,Male,United States,1.88,85,33
Ingvild Flugstad Oestberg,ccy,Female,Norway,,,23
Eva Vrabcova - Nyvltova,ccy,Female,Czech Republic,1.62,54,28
Veronika Mayerhofer,ccy,Female,Austria,1.76,60,21
Evi Sachenbacher-Stehle,ccy,Female,Germany,1.62,52,33
Natalia Matveeva,ccy,Female,Russian Fed.,1.68,56,27
Kelime Cetinkaya,ccy,Female,Turkey,1.60,54,31
Paul Constantin Pepene,ccy,Male,Romania,1.73,70,25
Tetyana Antypenko,ccy,Female,Ukraine,1.58,55,32
Jens Filbrich,ccy,Male,Germany,1.77,72,34
Hongxue Li,ccy,Female,China,1.60,52,29
Veselin Tsinzov,ccy,Male,Bulgaria,1.70,67,27
Algo Karp,ccy,Male,Estonia,1.92,80,28
Lari Lehtonen,ccy,Male,Finland,1.76,71,26
Kerttu Niskanen,ccy,Female,Finland,1.72,58,25
Nikita Kriukov,ccy,Male,Russian Fed.,1.84,74,28
Maxim Vylegzhanin,ccy,Male,Russian Fed.,1.73,68,31
Kikkan Randall,ccy,Female,United States,1.65,60,31
Peter Mlynar,ccy,Male,Slovakia,1.85,80,25
Lucia Anger,ccy,Female,Germany,1.68,60,23
Ville Nousiainen,ccy,Male,Finland,1.85,71,30
Andrew Newell,ccy,Male,United States,1.78,71,30
Nathalie Schwarz,ccy,Female,Austria,1.61,54,20
Dusan Kozisek,ccy,Male,Czech Republic,1.85,76,30
Anton Gafarov,ccy,Male,Russian Fed.,1.75,70,27
Ales Razym,ccy,Male,Czech Republic,1.82,76,27
Callum Smith,ccy,Male,Great Britain,1.80,74,21
Roberto Carcelen,ccy,Male,Peru,1.74,64,43
Yulia Tchekaleva,ccy,Female,Russian Fed.,1.65,60,30
Roman Ragozin,ccy,Male,Kazakhstan,1.75,69,21
Alexander Legkov,ccy,Male,Russian Fed.,1.78,73,30
Anna Haag,ccy,Female,Sweden,1.63,58,27
Oleksii Krasovskyi,ccy,Male,Ukraine,1.77,68,19
Brian Gregg,ccy,Male,United States,1.73,69,29
Harald Wurm,ccy,Male,Austria,1.78,72,29
Anssi Pentsinen,ccy,Male,Finland,1.84,83,27
Enrico Nizzi,ccy,Male,Italy,1.87,77,23
Roman Schaad,ccy,Male,Switzerland,1.87,78,20
Claudia Nystad,ccy,Female,Germany,1.68,60,36
Federico Pablo Cichero,ccy,Male,Argentina,,,30
Martin Jaeger,ccy,Male,Switzerland,1.80,79,26
Emma Wiken,ccy,Female,Sweden,1.67,60,24
Giorgio Di Centa,ccy,Male,Italy,1.75,68,41
Michail Semenov,ccy,Male,Belarus,1.68,66,28
Janis Paipals,ccy,Male,Latvia,1.80,79,30
Evgenia Shapovalova,ccy,Female,Russian Fed.,1.70,64,27
Saevar Birgisson,ccy,Male,Iceland,1.75,,26
Callum Watson,ccy,Male,Australia,1.80,66,24
Josef Wenzl,ccy,Male,Germany,1.87,85,29
David Hofer,ccy,Male,Italy,1.80,72,30
Sophie Caldwell,ccy,Female,United States,1.70,59,23
Artur Yeghoyan,ccy,Male,Armenia,1.80,83,23
Anouk Faivre Picon,ccy,Female,France,1.67,58,27
Tim Tscharnke,ccy,Male,Germany,1.83,76,24
Nicole Fessel,ccy,Female,Germany,1.70,57,30
Baptiste Gros,ccy,Male,France,1.78,80,23
Denis Volotka,ccy,Male,Kazakhstan,1.85,83,28
Katja Visnar,ccy,Female,Slovenia,1.74,65,29
Alexandra Camenscic,ccy,Female,Rep. of Moldova,1.58,55,25
Sergey Mikayelyan,ccy,Male,Armenia,1.84,73,21
Graeme Killick,ccy,Male,Canada,1.78,70,24
Triin Ojaste,ccy,Female,Estonia,1.65,59,23
Yevgeniy Velichko,ccy,Male,Kazakhstan,1.78,72,26
Maurice Manificat,ccy,Male,France,1.85,73,27
Olga Kuziukova,ccy,Female,Russian Fed.,1.70,62,28
Sergey Cherepanov,ccy,Male,Kazakhstan,1.84,73,28
Elisa Brocard,ccy,Female,Italy,1.62,53,29
Qinghai Sun,ccy,Male,China,1.88,80,26
Martin Moeller,ccy,Male,Denmark,1.86,80,33
Alex Harvey,ccy,Male,Canada,1.84,75,25
Alexander Bessmertnykh,ccy,Male,Russian Fed.,1.82,78,27
Ivana Kovacevic,ccy,Female,Serbia,1.69,61,19
Greta Laurent,ccy,Female,Italy,1.68,61,21
Anastasia Slonova,ccy,Female,Kazakhstan,1.62,55,22
Kris Freeman,ccy,Male,United States,1.80,79,33
Kornelia Kubinska,ccy,Female,Poland,1.65,49,28
Dandan Man,ccy,Female,China,1.64,53,24
Renaud Jay,ccy,Male,France,1.74,72,22
Paulina Maciuszek,ccy,Female,Poland,1.70,56,28
Nobu Naruse,ccy,Male,Japan,1.67,62,29
Ilaria Debertolis,ccy,Female,Italy,1.70,57,24
Simeon Hamilton,ccy,Male,United States,1.80,78,26
Javier Gutierrez,ccy,Male,Spain,1.77,65,28
Evgeniy Belov,ccy,Male,Russian Fed.,1.85,78,23
Tord Asle Gjerdalen,ccy,Male,Norway,,,30
Coraline Hugue,ccy,Female,France,1.55,53,29
Eirik Brandsdal,ccy,Male,Norway,,,27
Justyna Kowalczyk,ccy,Female,Poland,1.74,64,31
Jessica Diggins,ccy,Female,United States,1.63,58,22
Chandra Crawford,ccy,Female,Canada,1.75,68,30
Panagiota Tsakiri,ccy,Female,Greece,1.70,58,23
Karolina Grohova,ccy,Female,Czech Republic,1.70,66,23
Celia Aymonier,ccy,Female,France,1.61,56,22
Timea Sara,ccy,Female,Romania,1.77,67,21
Emily Nishikawa,ccy,Female,Canada,1.63,61,24
Stina Nilsson,ccy,Female,Sweden,1.74,68,20
Esther Bottomley,ccy,Female,Australia,1.67,58,31
Martin Jaks,ccy,Male,Czech Republic,1.85,74,27
Matti Heikkinen,ccy,Male,Finland,1.74,61,30
Farzaneh Rezasoltani,ccy,Female,IR Iran,1.57,53,28
Jean Marc Gaillard,ccy,Male,France,1.80,74,33
Alena Prochazkova,ccy,Female,Slovakia,1.78,58,29
Cyril Miranda,ccy,Male,France,1.85,80,28
Erik Bjornsen,ccy,Male,United States,1.85,84,22
Jiri Magal,ccy,Male,Czech Republic,1.74,65,36
Petra Novakova,ccy,Female,Czech Republic,1.64,56,20
Mathilde Amivi Petitjean,ccy,Female,Togo,1.63,60,19
Ilia Chernousov,ccy,Male,Russian Fed.,1.75,72,27
Celine Brun-Lie,ccy,Female,Norway,,,25
Phillip Bellingham,ccy,Male,Australia,1.85,84,22
Jonas Baumann,ccy,Male,Switzerland,1.75,71,23
Jan Rossiter,ccy,Male,Ireland,1.83,76,26
Joeri Kindschi,ccy,Male,Switzerland,1.76,75,27
Curdin Perl,ccy,Male,Switzerland,1.81,77,29
Alenka Cebasek,ccy,Female,Slovenia,1.66,61,24
Noah Hoffman,ccy,Male,United States,1.75,71,24
Daniela Kotschova,ccy,Female,Slovakia,1.74,60,28
Erik Lesser,ccy,Male,Germany,1.70,70,25
Agnes Simon,ccy,Female,Hungary,1.71,66,39
Anders Soedergren,ccy,Male,Sweden,1.82,76,36
