name,sport,gender,country,height,weight,age
Paul De La Cuesta,alp,Male,Spain,1.73,77,25
Cornelia Huetter,alp,Female,Austria,1.71,64,21
Martin Vrablik,alp,Male,Czech Republic,1.75,80,31
Carolina Ruiz Castillo,alp,Female,Spain,1.65,65,32
Regina Sterz,alp,Female,Austria,1.68,61,28
Benjamin Thomsen,alp,Male,Canada,1.70,80,26
Michelle Gisin,alp,Female,Switzerland,1.74,70,20
Luca Aerni,alp,Male,Switzerland,1.77,80,20
Klara Krizova,alp,Female,Czech Republic,1.78,70,24
Yuri Danilochkin,alp,Male,Belarus,,,22
Emre Simsek,alp,Male,Turkey,1.78,78,26
Trevor Philp,alp,Male,Canada,1.81,80,21
Leanne Smith,alp,Female,United States,1.63,73,26
Mona Loeseth,alp,Female,Norway,,,22
Ilka Stuhec,alp,Female,Slovenia,1.72,72,23
Suela Mehilli,alp,Female,Albania,1.63,56,20
Georgi Georgiev,alp,Male,Bulgaria,1.80,80,26
Joan Verdu Sanchez,alp,Male,Andorra,1.78,70,18
Virgile Vandeput,alp,Male,Israel,1.85,79,19
Daniela Merighetti,alp,Female,Italy,1.68,66,32
Ted Ligety,alp,Male,United States,1.80,86,29
Rokas Zaveckas,alp,Male,Lithuania,1.79,78,17
Jessica Lindell-Vikarby,alp,Female,Sweden,1.69,69,30
Markus Larsson,alp,Male,Sweden,1.83,82,35
Otmar Striedinger,alp,Male,Austria,1.84,91,22
Stefan Luitz,alp,Male,Germany,1.85,84,21
Michaela Kirchgasser,alp,Female,Austria,1.69,64,28
Roberts Rode,alp,Male,Latvia,1.82,83,26
Viktoria Rebensburg,alp,Female,Germany,1.69,65,24
Maria Shkanova,alp,Female,Belarus,1.76,66,24
Evgeniy Timofeev,alp,Male,Kyrgyzstan,,,19
Sofija Novoselic,alp,Female,Croatia,1.66,70,24
Erik Fisher,alp,Male,United States,1.83,107,28
Tarik Hadzic,alp,Male,Montenegro,1.80,75,19
Yohan Goncalves Goutt,alp,Male,Timor-Leste,1.81,78,19
Philip Brown,alp,Male,Canada,1.82,87,22
Manuel Osborne-Paradis,alp,Male,Canada,1.83,94,30
Alex Puente Tasias,alp,Male,Spain,1.82,79,19
Jared Goldberg,alp,Male,United States,1.83,86,22
Maciej Bydlinski,alp,Male,Poland,1.80,85,25
Brice Roger,alp,Male,France,1.80,87,23
Lara Gut,alp,Female,Switzerland,1.60,58,22
Kathrin Zettel,alp,Female,Austria,1.67,63,27
Fabienne Suter,alp,Female,Switzerland,1.67,67,29
Ferran Terra,alp,Male,Spain,1.77,83,26
Julia Ford,alp,Female,United States,1.78,74,23
Marko Vukicevic,alp,Male,Serbia,1.85,91,21
David Chodounsky,alp,Male,United States,1.80,82,29
Brad Spence,alp,Male,Canada,1.84,91,29
Luca De Aliprandini,alp,Male,Italy,1.70,73,23
Romed Baumann,alp,Male,Austria,1.84,94,28
Nastasia Noens,alp,Female,France,1.78,67,25
Patrick Brachner,alp,Male,Azerbaijan,1.84,82,22
Ondrej Bank,alp,Male,Czech Republic,1.75,85,33
Mathieu Faivre,alp,Male,France,1.75,78,22
Tugba Kocaaga,alp,Female,Turkey,,,28
Adam Barwood,alp,Male,New Zealand,1.86,82,21
Thomas Fanara,alp,Male,France,1.70,68,32
Jacky Chamoun,alp,Female,Lebanon,1.75,64,22
Manfred Oettl Reyes,alp,Male,Peru,1.65,60,20
Forough Abbasi,alp,Female,IR Iran,1.64,58,20
Ivica Kostelic,alp,Male,Croatia,1.82,93,34
Carlo Janka,alp,Male,Switzerland,1.85,88,27
David Poisson,alp,Male,France,1.72,88,31
Zan Kranjec,alp,Male,Slovenia,1.76,77,21
Maryna Gasienica-Daniel,alp,Female,Poland,1.60,54,19
Nevena Ignjatovic,alp,Female,Serbia,1.75,70,23
Dominique Gisin,alp,Female,Switzerland,1.72,70,28
Klemen Kosi,alp,Male,Slovenia,1.88,84,22
Erik Guay,alp,Male,Canada,1.78,84,32
Mateusz Garniewicz,alp,Male,Poland,1.75,77,24
Cyprien Richard,alp,Male,France,1.77,77,35
Giuliano Razzoli,alp,Male,Italy,1.82,83,29
Ania Monica Caill,alp,Female,Romania,1.70,60,18
Edit Miklos,alp,Female,Hungary,1.65,67,25
Gino Caviezel,alp,Male,Switzerland,1.73,78,21
Nolan Kasper,alp,Male,United States,1.73,77,24
Martina Dubovska,alp,Female,Czech Republic,1.74,72,21
Alisher Qudratov,alp,Male,Tajikistan,1.60,65,28
Bode Miller,alp,Male,United States,1.88,91,36
Aksel Lund Svindal,alp,Male,Norway,1.89,97,31
Stacey Cook,alp,Female,United States,1.63,73,29
Dong-Hyun Jung,alp,Male,Korea,1.80,80,25
Marco Pfiffner,alp,Male,Liechtenstein,1.91,93,19
Sebastian-Foss Solevaag,alp,Male,Norway,,,22
Bogdana Matsotska,alp,Female,Ukraine,1.70,66,24
Aleksandra Klus,alp,Female,Poland,1.65,65,27
Sergei Maytakov,alp,Male,Russian Fed.,1.84,84,24
Tina Weirather,alp,Female,Liechtenstein,1.64,65,24
Maria Bedareva,alp,Female,Russian Fed.,1.70,70,21
Akira Sasaki,alp,Male,Japan,1.82,88,32
Max Franz,alp,Male,Austria,1.82,90,24
Himanshu Thakur,alp,Male,India,1.67,54,20
Georg Lindner,alp,Male,Rep. of Moldova,1.75,87,31
Lina Xia,alp,Female,China,1.65,63,26
Karolina Chrapek,alp,Female,Poland,1.73,69,24
Didier Defago,alp,Male,Switzerland,1.83,88,36
Alexandre Mohbat,alp,Male,Lebanon,1.84,76,18
So-Hui Gim,alp,Female,Korea,1.65,65,17
Dalibor Samsal,alp,Male,Croatia,1.84,89,28
Mattias Hargin,alp,Male,Sweden,1.80,79,28
Kenza Tazi,alp,Female,Morocco,1.66,60,18
Norbert Farkas,alp,Male,Hungary,1.78,70,21
Greta Small,alp,Female,Australia,1.71,70,18
Alexis Pinturault,alp,Male,France,1.80,80,22
Benjamin Raich,alp,Male,Austria,1.81,83,35
Samu Torsti,alp,Male,Finland,1.85,84,22
Stefano Gross,alp,Male,Italy,1.80,80,27
Salome Bancora,alp,Female,Argentina,,,20
Guillermo Fayed,alp,Male,France,1.83,93,28
Fritz Dopfer,alp,Male,Germany,1.88,85,26
Naoki Yuasa,alp,Male,Japan,1.77,70,30
Sophia Ralli,alp,Female,Greece,1.60,60,25
Andre Myhrer,alp,Male,Sweden,1.89,95,31
Barbara Wirth,alp,Female,Germany,1.70,67,24
Sung Hyun Kyung,alp,Male,Korea,1.76,83,23
Ivana Bulatovic,alp,Female,Montenegro,1.78,68,19
Andreas Zampa,alp,Male,Slovakia,1.68,70,20
Resi Stiegler,alp,Female,United States,1.73,61,28
Leif Kristian Haugen,alp,Male,Norway,1.85,90,26
Olivier Jenot,alp,Male,Monaco,1.75,75,25
Christina Geiger,alp,Female,Germany,1.70,67,24
Anna Fenninger,alp,Female,Austria,1.66,60,24
Adrien Theaux,alp,Male,France,1.82,84,29
Marc Oliveras,alp,Male,Andorra,1.73,75,22
Kanes Sucharitakul,alp,Male,Thailand,1.70,67,22
Elisabeth Goergl,alp,Female,Austria,1.66,67,32
Johan Clarey,alp,Male,France,1.91,98,33
Klaus Kroell,alp,Male,Austria,1.86,95,33
Lavinia Chrystal,alp,Female,Australia,1.68,64,24
Adam Lamhamedi,alp,Male,Morocco,1.70,76,18
Daniel Yule,alp,Male,Switzerland,1.81,88,20
Martins Onskulis,alp,Male,Latvia,1.70,70,19
Marko Rudic,alp,Male,Bosnia and Herzegovina,1.87,81,24
Federica Selva,alp,Female,San Marino,1.66,53,17
Jean-Baptiste Grange,alp,Male,France,1.80,74,29
Travis Ganong,alp,Male,United States,1.80,88,25
Stepan Zuev,alp,Male,Russian Fed.,1.89,88,25
Chiara Costazza,alp,Female,Italy,1.71,64,29
Nikola Chongarov,alp,Male,Bulgaria,1.73,64,24
Dmitriy Koshkin,alp,Male,Kazakhstan,1.80,80,27
Iason Abramashvili,alp,Male,Georgia,1.82,76,25
Marianne Kaufmann-Abderhalden,alp,Female,Switzerland,1.77,77,27
Barbara Kantorova,alp,Female,Slovakia,1.69,63,21
Nino Tsiklauri,alp,Female,Georgia,1.67,56,20
Maria Kirkova,alp,Female,Bulgaria,1.65,60,28
Alexandra Taylor,alp,Female,Cyprus,1.74,64,19
Larisa Yurkiw,alp,Female,Canada,1.71,70,25
Julien Lizeroux,alp,Male,France,1.73,80,34
Erin Mielzynski,alp,Female,Canada,1.69,65,23
Vanessa Vanakorn,alp,Female,Thailand,1.60,48,35
Maria Hoefl-Riesch,alp,Female,Germany,1.82,78,29
Massimiliano Valcareggi,alp,Male,Greece,1.83,83,19
Filip Trejbal,alp,Male,Czech Republic,1.94,97,29
Anna Berecz,alp,Female,Hungary,1.73,71,25
Artem Voronov,alp,Male,Uzbekistan,1.85,75,20
Kevin Esteve,alp,Male,Andorra,1.77,80,24
Reinfried Herbst,alp,Male,Austria,1.81,80,35
Rok Perko,alp,Male,Slovenia,1.86,94,28
Megan Mcjames,alp,Female,United States,1.68,61,26
Denise Feierabend,alp,Female,Switzerland,1.70,69,24
Elena Fanchini,alp,Female,Italy,1.64,69,28
Jhonatan Longhi,alp,Male,Brazil,1.76,78,26
Roberto Nani,alp,Male,Italy,1.72,75,25
Warren Cummings Smith,alp,Male,Estonia,1.88,91,21
Michael Janyk,alp,Male,Canada,1.81,85,31
Denise Karbon,alp,Female,Italy,1.60,60,33
Anne-Sophie Barthet,alp,Female,France,1.70,70,25
Alexandru Barbu,alp,Male,Romania,1.77,70,26
Brynjar Jokull Gudmundsson,alp,Male,Iceland,1.98,107,24
Joachim Puchner,alp,Male,Austria,1.90,95,26
