year,order,rank,country,group,wc,result
2014,65,65,South Africa,None,6,Didn't make World Cup :-(
2014,66,66,Albania,None,6,Didn't make World Cup :-(
2014,67,67,Bolivia,None,6,Didn't make World Cup :-(
2014,68,68,El Salvador,None,6,Didn't make World Cup :-(
2014,69,69,Poland,None,6,Didn't make World Cup :-(
2014,70,70,Republic of Ireland,None,6,Didn't make World Cup :-(
2014,71,71,Trinidad and Tobago,None,6,Didn't make World Cup :-(
2014,72,72,United Arab Emirates,None,6,Didn't make World Cup :-(
2014,73,73,Haiti,None,6,Didn't make World Cup :-(
2014,74,74,Senegal,None,6,Didn't make World Cup :-(
2014,75,75,Israel,None,6,Didn't make World Cup :-(
2014,76,76,Zambia,None,6,Didn't make World Cup :-(
2014,77,77,Morocco,None,6,Didn't make World Cup :-(
2014,78,78,Bulgaria,None,6,Didn't make World Cup :-(
2014,79,79,Oman,None,6,Didn't make World Cup :-(
2014,80,80,FYR Macedonia,None,6,Didn't make World Cup :-(
2014,81,81,Jamaica,None,6,Didn't make World Cup :-(
2014,82,82,Belarus,None,6,Didn't make World Cup :-(
2014,83,83,Azerbaijan,None,6,Didn't make World Cup :-(
2014,84,84,Congo DR,None,6,Didn't make World Cup :-(
2014,85,85,Congo,None,6,Didn't make World Cup :-(
2014,86,86,Uganda,None,6,Didn't make World Cup :-(
2014,87,87,Benin,None,6,Didn't make World Cup :-(
2014,88,88,Togo,None,6,Didn't make World Cup :-(
2014,89,89,Gabon,None,6,Didn't make World Cup :-(
2014,90,90,Northern Ireland,None,6,Didn't make World Cup :-(
2014,91,90,Saudi Arabia,None,6,Didn't make World Cup :-(
2014,92,92,Botswana,None,6,Didn't make World Cup :-(
2014,93,93,Angola,None,6,Didn't make World Cup :-(
2014,94,94,Palestine,None,6,Didn't make World Cup :-(
2014,95,95,Cuba,None,6,Didn't make World Cup :-(
2014,96,96,Georgia,None,6,Didn't make World Cup :-(
2014,97,97,New Zealand,None,6,Didn't make World Cup :-(
2014,98,98,Estonia,None,6,Didn't make World Cup :-(
2014,99,99,Zimbabwe,None,6,Didn't make World Cup :-(
2014,100,100,Qatar,None,6,Didn't make World Cup :-(
2014,101,101,Moldova,None,6,Didn't make World Cup :-(
2014,102,102,Equatorial Guinea,None,6,Didn't make World Cup :-(
2014,103,103,China PR,None,6,Didn't make World Cup :-(
2014,104,104,Iraq,None,6,Didn't make World Cup :-(
2014,105,105,Central African Republic,None,6,Didn't make World Cup :-(
2014,106,106,Lithuania,None,6,Didn't make World Cup :-(
2014,107,107,Ethiopia,None,6,Didn't make World Cup :-(
2014,108,108,Kenya,None,6,Didn't make World Cup :-(
2014,109,109,Latvia,None,6,Didn't make World Cup :-(
2014,110,110,Bahrain,None,6,Didn't make World Cup :-(
