company_permalink,company_name,company_category_code,company_country_code,company_state_code,company_region,company_city,funding_round_type,funded_at,raised_amount_usd
/company/247-techies,247 Techies,hardware,USA,NY,New York,New York,angel,2012-11-05,600000
/company/24m-technologies,24M Technologies,cleantech,USA,,Boston,Cambridge,series-a,2010-08-16,16000000
/company/24pagebooks,24PageBooks,software,USA,NY,Rochester,Rochester,angel,2011-05-23,
/company/250ok,250ok,software,USA,IN,Indianapolis,Indianapolis,angel,2012-09-01,200000
/company/27-bards,27 bards,software,USA,CA,SF Bay,Stanford,angel,2012-11-06,
/company/27-perry,27 Perry,ecommerce,USA,CO,Denver,Boulder,angel,2012-05-17,118000
/company/2go-software-solutions,2GO Mobile Solutions,software,USA,TX,Dallas,Plano,angel,2010-01-09,825000
/company/2nd-story-software-inc,"2nd Story Software, Inc.",software,USA,IA,Cedar Rapids,Cedar Rapids,venture,2005-03-30,85000000
/company/2nd-watch,2nd Watch,enterprise,USA,WA,Seattle,Seattle,private-equity,2012-12-27,4154420
/company/2nd-watch,2nd Watch,enterprise,USA,WA,Seattle,Seattle,venture,2011-12-06,490000
/company/2sms,2sms,,USA,IL,Chicago,Schaumburg,venture,2007-11-01,939000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-a,2009-06-21,10000000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-b,2010-02-05,20000000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-c+,2011-03-10,32500000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-a,2009-03-25,2275000
/company/2u,2U,education,USA,MD,Washington DC,Landover,series-c+,2012-04-02,26000000
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Palo Alto,series-b,2009-07-10,30000000
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Palo Alto,venture,2012-01-05,20000000
/company/3-v-biosciences,3-V Biosciences,biotech,USA,CA,SF Bay,Palo Alto,series-c+,2013-06-21,20000000
/company/30-second-showcase,30 Second Showcase,software,USA,NJ,New York,Clifton,angel,2013-05-20,25000
/company/33across,33Across,advertising,USA,NY,New York,New York,angel,2009-03-13,750000
/company/33across,33Across,advertising,USA,NY,New York,New York,series-a,2010-04-22,1284560
/company/33across,33Across,advertising,USA,NY,New York,New York,series-b,2011-01-05,9000000
/company/33across,33Across,advertising,USA,NY,New York,New York,series-c+,2012-07-19,13100000
/company/360imaging,360imaging,biotech,USA,GA,Atlanta,Atlanta,angel,2005-01-01,500000
/company/360imaging,360imaging,biotech,USA,GA,Atlanta,Atlanta,series-a,2010-01-01,5000000
/company/365scores,365Scores,mobile,USA,,United States - Other,,series-a,2013-01-28,1200000
/company/37signals,37signals,public_relations,USA,IL,Chicago,Chicago,series-a,2006-07-01,
/company/382-communications,382 Communications,mobile,USA,MA,Boston,Quincy,other,2012-01-13,1600000
/company/3clickemr-corporation,3ClickEMR Corporation,software,USA,MA,Boston,West Roxbury,angel,2010-06-23,250000
/company/3clickemr-corporation,3ClickEMR Corporation,software,USA,MA,Boston,West Roxbury,angel,2011-06-01,250000
/company/3d-biomatrix,3D Biomatrix,biotech,USA,MI,Detroit,Ann Arbor,angel,2013-02-05,1465000
/company/3d-biomatrix,3D Biomatrix,biotech,USA,MI,Detroit,Ann Arbor,angel,2012-06-04,725000
/company/3d-future-vision-ii,3D FUTURE VISION II,games_video,USA,FL,Orlando,LONGWOOD,venture,2013-03-21,124000
/company/3d-robotics,3D Robotics,manufacturing,USA,CA,San Diego,San Diego,series-a,2012-11-05,5000000
/company/3d-robotics,3D Robotics,manufacturing,USA,CA,San Diego,San Diego,series-b,2013-09-26,30000000
/company/3d-sports-technology,3D Sports Technology,software,USA,MN,Minneapolis,Minneapolis,venture,2013-07-25,294940
/company/3d-sports-technology,3D Sports Technology,software,USA,MN,Minneapolis,Minneapolis,venture,2012-06-07,110000
/company/3d-systems,3D Systems,software,USA,SC,Rock Hill,Rock Hill,venture,2010-01-13,1000000
/company/3d-systems,3D Systems,software,USA,SC,Rock Hill,Rock Hill,series-a,2012-06-07,3144131
/company/3d-vision-systems,3d Vision Systems,hardware,USA,MI,Detroit,Ann Arbor,venture,2012-12-03,150000
/company/3dcart-shopping-cart-software,3dCart Shopping Cart Software,ecommerce,USA,FL,Fort Lauderdale,Lauderhill,angel,2010-01-01,1250000
/company/3dr-laboratories,3DR Laboratories,biotech,USA,KY,Louisville,Louisville,venture,2012-08-23,7200000
/company/3floz-com,3FLOZ,other,USA,NY,New York,New York,angel,2013-08-16,750000
/company/3gear-systems,3Gear Systems,software,USA,CA,SF Bay,San Francisco,angel,2012-03-30,349999
/company/3guppies,3Guppies,games_video,USA,WA,Seattle,Seattle,series-a,2006-04-05,20000000
/company/3jam,3Jam,mobile,USA,CA,SF Bay,San Francisco,series-a,2007-07-01,4000000
/company/3leaf,3Leaf,software,USA,CA,SF Bay,Santa Clara,series-b,2007-04-30,20000000
/company/3leaf,3Leaf,software,USA,CA,SF Bay,Santa Clara,series-c+,2008-09-22,35000000
/company/three-pillar-global,3Pillar Global,software,USA,VA,Washington DC,Fairfax,venture,2010-04-21,520000
/company/three-pillar-global,3Pillar Global,software,USA,VA,Washington DC,Fairfax,venture,2011-06-09,10000000
/company/three-pillar-global,3Pillar Global,software,USA,VA,Washington DC,Fairfax,series-a,2013-06-06,12000000
/company/3play-media,3Play Media,software,USA,MA,Boston,Cambridge,venture,2010-02-08,450000
/company/3play-media,3Play Media,software,USA,MA,Boston,Cambridge,venture,2011-06-21,511601
/company/3point5-com,3point5.com,,USA,UT,Salt Lake City,Salt Lake City,series-b,2006-10-09,1500000
/company/3scan,3Scan,biotech,USA,CA,SF Bay,San Francisco,other,2012-04-23,350000
/company/3tier-environmental-forecast-group,3TIER,cleantech,USA,WA,Seattle,Seattle,venture,2008-12-18,10000000
/company/3tier-environmental-forecast-group,3TIER,cleantech,USA,WA,Seattle,Seattle,venture,2010-02-25,3000000
/company/3tier-environmental-forecast-group,3TIER,cleantech,USA,WA,Seattle,Seattle,series-b,2007-09-05,2000000
/company/3vr-security,3VR,security,USA,CA,SF Bay,San Francisco,series-c+,2009-08-20,12000000
/company/3vr-security,3VR,security,USA,CA,SF Bay,San Francisco,series-c+,2006-09-28,9000000
/company/3vr-security,3VR,security,USA,CA,SF Bay,San Francisco,series-b,2006-01-17,10000000
/company/3vr-security,3VR,security,USA,CA,SF Bay,San Francisco,venture,2010-12-21,17000000
/company/3vr-security,3VR,security,USA,CA,SF Bay,San Francisco,series-a,2009-01-15,5000000
/company/4-tell,4-Tell,ecommerce,USA,OR,Portland,Portland,angel,2011-07-01,25000
/company/4-tell,4-Tell,ecommerce,USA,OR,Portland,Portland,series-a,2012-01-01,1000000
/company/4-tell,4-Tell,ecommerce,USA,OR,Portland,Portland,other,2013-07-26,250000
/company/4-tell,4-Tell,ecommerce,USA,OR,Portland,Portland,venture,2011-12-19,959979
/company/40billion-com,40billion.com,social,USA,GA,Atlanta,Atlanta,angel,2008-04-01,50000
/company/40billion-com,40billion.com,social,USA,GA,Atlanta,Atlanta,angel,2009-06-01,380000
/company/40billion-com,40billion.com,social,USA,GA,Atlanta,Atlanta,angel,2010-06-01,620000
/company/410-labs,410 Labs,messaging,USA,MD,Baltimore,Baltimore,series-a,2011-07-11,750000
/company/41st-parameter,41st Parameter,security,USA,CA,SF Bay,San Jose,venture,2009-12-22,3794570
/company/41st-parameter,41st Parameter,security,USA,CA,SF Bay,San Jose,series-c+,2007-08-09,10070000
/company/41st-parameter,41st Parameter,security,USA,CA,SF Bay,San Jose,series-b,2006-05-08,11200000
/company/41st-parameter,41st Parameter,security,USA,CA,SF Bay,San Jose,series-c+,2012-04-11,13000000
/company/42floors,42Floors,real_estate,USA,NY,New York,New York,angel,2011-12-01,400000
/company/42floors,42Floors,real_estate,USA,NY,New York,New York,series-a,2012-11-16,5000000
/company/42floors,42Floors,real_estate,USA,NY,New York,New York,series-b,2013-01-31,12300000
/company/43things,"43 Things, The Robot Co-op",software,USA,WA,Seattle,Seattle,venture,2004-11-01,
/company/480-biomedical,480 Biomedical,biotech,USA,MA,Boston,Watertown,series-a,2012-02-14,15000000
/company/480-biomedical,480 Biomedical,biotech,USA,MA,Boston,Watertown,other,2012-10-30,5000000
/company/480-biomedical,480 Biomedical,biotech,USA,MA,Boston,Watertown,venture,2013-04-12,17956999
