permalink,name,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,first_funding_at,last_funding_at,last_milestone_at
/company/30-second-showcase,30 Second Showcase,software,25000,operating,USA,NJ,New York,Clifton,1,2013-04-01,2013-05-20,2013-05-20,2013-05-20
/company/33across,33Across,advertising,24134560,operating,USA,NY,New York,New York,4,2007-09-01,2009-03-13,2012-07-19,2013-09-03
/company/360imaging,360imaging,biotech,5500000,operating,USA,GA,Atlanta,Atlanta,2,2005-01-01,2005-01-01,2010-01-01,
/company/365scores,365Scores,mobile,1200000,operating,USA,,United States - Other,,1,,2013-01-28,2013-01-28,
/company/37signals,37signals,public_relations,,operating,USA,IL,Chicago,Chicago,1,1999-01-01,2006-07-01,2006-07-01,2013-02-08
/company/382-communications,382 Communications,mobile,1600000,operating,USA,MA,Boston,Quincy,1,2010-01-01,2012-01-13,2012-01-13,
/company/3clickemr-corporation,3ClickEMR Corporation,software,500000,closed,USA,MA,Boston,West Roxbury,2,2010-06-23,2010-06-23,2011-06-01,2010-06-23
/company/3d-biomatrix,3D Biomatrix,biotech,2190000,operating,USA,MI,Detroit,Ann Arbor,2,2010-01-01,2012-06-04,2013-02-05,
/company/3d-future-vision-ii,3D FUTURE VISION II,games_video,124000,operating,USA,FL,Orlando,LONGWOOD,1,2011-01-01,2013-03-21,2013-03-21,
/company/3d-robotics,3D Robotics,manufacturing,35000000,operating,USA,CA,San Diego,San Diego,2,,2012-11-05,2013-09-26,2013-09-26
/company/3d-sports-technology,3D Sports Technology,software,404940,operating,USA,MN,Minneapolis,Minneapolis,2,2010-01-01,2012-06-07,2013-07-25,
/company/3d-systems,3D Systems,software,4144131,ipo,USA,SC,Rock Hill,Rock Hill,2,1986-01-01,2010-01-13,2012-06-07,2013-06-26
/company/3d-vision-systems,3d Vision Systems,hardware,150000,operating,USA,MI,Detroit,Ann Arbor,1,2009-01-01,2012-12-03,2012-12-03,
/company/3dcart-shopping-cart-software,3dCart Shopping Cart Software,ecommerce,1250000,operating,USA,FL,Fort Lauderdale,Lauderhill,1,1997-05-01,2010-01-01,2010-01-01,2004-04-01
/company/3dr-laboratories,3DR Laboratories,biotech,7200000,operating,USA,KY,Louisville,Louisville,1,,2012-08-23,2012-08-23,
/company/3floz-com,3FLOZ,other,750000,operating,USA,NY,New York,New York,1,2009-11-01,2013-08-16,2013-08-16,
/company/3gear-systems,3Gear Systems,software,349999,operating,USA,CA,SF Bay,San Francisco,1,2010-01-01,2012-03-30,2012-03-30,2012-01-01
/company/3guppies,3Guppies,games_video,20000000,operating,USA,WA,Seattle,Seattle,1,2003-01-01,2006-04-05,2006-04-05,
/company/3jam,3Jam,mobile,4000000,operating,USA,CA,SF Bay,San Francisco,1,2005-01-01,2007-07-01,2007-07-01,2009-12-21
/company/3leaf,3Leaf,software,65000000,operating,USA,CA,SF Bay,Santa Clara,3,2004-06-01,2007-04-30,2008-09-22,2007-08-01
/company/three-pillar-global,3Pillar Global,software,22520000,operating,USA,VA,Washington DC,Fairfax,3,2006-08-01,2010-04-21,2013-06-06,2013-03-01
/company/3play-media,3Play Media,software,961601,operating,USA,MA,Boston,Cambridge,2,2007-01-01,2010-02-08,2011-06-21,2007-01-01
/company/3point5-com,3point5.com,,1500000,operating,USA,UT,Salt Lake City,Salt Lake City,1,,2006-10-09,2006-10-09,2007-01-01
/company/3scan,3Scan,biotech,350000,operating,USA,CA,SF Bay,San Francisco,1,2011-01-01,2012-04-23,2012-04-23,
/company/3tier-environmental-forecast-group,3TIER,cleantech,15000000,operating,USA,WA,Seattle,Seattle,3,1999-01-01,2007-09-05,2010-02-25,
/company/3vr-security,3VR,security,53000000,operating,USA,CA,SF Bay,San Francisco,5,2002-01-01,2006-01-17,2010-12-21,2012-08-01
/company/4-tell,4-Tell,ecommerce,2234979,operating,USA,OR,Portland,Portland,4,2009-04-01,2011-07-01,2013-07-26,2012-07-01
/company/40billion-com,40billion.com,social,1050000,operating,USA,GA,Atlanta,Atlanta,3,2008-01-23,2008-04-01,2010-06-01,2008-01-01
/company/410-labs,410 Labs,messaging,750000,operating,USA,MD,Baltimore,Baltimore,1,2010-01-01,2011-07-11,2011-07-11,2013-03-27
/company/41st-parameter,41st Parameter,security,38064570,operating,USA,CA,SF Bay,San Jose,4,2004-01-01,2006-05-08,2012-04-11,2012-04-12
/company/42floors,42Floors,real_estate,17700000,operating,USA,NY,New York,New York,3,2011-01-01,2011-12-01,2013-01-31,2013-01-31
/company/43things,"43 Things, The Robot Co-op",software,,operating,USA,WA,Seattle,Seattle,1,2004-08-15,2004-11-01,2004-11-01,2009-07-01
/company/480-biomedical,480 Biomedical,biotech,37956999,operating,USA,MA,Boston,Watertown,3,2011-01-01,2012-02-14,2013-04-12,
/company/4blox,4Blox,software,,operating,USA,CA,SF Bay,San Jose,1,2006-08-01,2007-09-10,2007-09-10,2008-01-01
/company/4dk-technologies,4DK Technologies,mobile,3378975,operating,USA,VA,Washington DC,Herndon,1,2005-01-01,2011-12-12,2011-12-12,
/company/4home,4Home,software,9146354,acquired,USA,CA,SF Bay,Sunnyvale,5,2006-01-01,2006-08-01,2010-02-03,
/company/4info,4INFO,advertising,60000000,operating,USA,CA,SF Bay,San Mateo,6,2004-01-01,2005-03-01,2013-08-04,2012-04-01
/company/4moms,4moms,hardware,20000000,operating,USA,PA,Pittsburg,Pittsburgh,1,2005-01-01,2012-08-09,2012-08-09,2013-01-18
/company/4s3-bioscience,4s3 Bioscience,biotech,20000000,operating,USA,MA,Boston,Medford,1,2007-01-01,2012-03-05,2012-03-05,2008-01-01
/company/4tech,4Tech,biotech,7000000,operating,USA,MA,Boston,WALTHAM,1,2011-01-01,2011-12-21,2011-12-21,
/company/5-oclock-records,5 O'Clock Records,software,440000,operating,USA,NY,New York,New York,1,,2013-01-08,2013-01-08,
/company/500friends,500Friends,enterprise,12900000,operating,USA,CA,SF Bay,San Francisco,4,2010-01-01,2009-12-15,2013-03-12,2013-03-12
/company/5min,5min Media,games_video,12800000,acquired,USA,NY,New York,NY,3,2007-01-01,2007-04-01,2009-07-23,2011-10-11
/company/5o9,5o9,software,50000,operating,USA,CO,Denver,Boulder,1,2006-01-01,2013-05-14,2013-05-14,
/company/5th-finger,5th Finger,mobile,7000000,operating,USA,CA,SF Bay,San Francisco,1,2008-01-01,2008-06-13,2008-06-13,2012-07-11
/company/64-pixels,64 Pixels,web,100000,operating,USA,CA,SF Bay,Mountain View,1,2010-10-01,2010-10-01,2010-10-01,2010-10-01
/company/6connect,6connect,network_hosting,2000000,operating,USA,CA,SF Bay,San Francisco,1,2009-01-01,2011-08-23,2011-08-23,2012-10-01
/company/6fusion,6fusion,enterprise,12750000,operating,USA,NC,Raleigh-Durham,Raleigh,3,2008-01-01,2010-08-23,2013-07-25,2011-08-22
/company/6th-sense-analytics,6th Sense Analytics,software,6700000,acquired,USA,NC,Raleigh-Durham,Morrisville,2,2004-01-01,2005-11-11,2007-01-31,
/company/7-billion-people,7 Billion People,software,7952804,operating,USA,TX,Austin,Austin,4,2006-01-01,2009-02-09,2012-07-13,2010-06-22
/company/7-star-entertainment,7 Star Entertainment,games_video,10000000,operating,USA,FL,Fort Lauderdale,Pompano Beach,1,,2010-07-14,2010-07-14,
/company/71lbs,71lbs,analytics,750000,operating,USA,FL,Chicago,Chicago,4,2011-03-03,2012-03-20,2013-01-08,2013-08-22
/company/72lux,72Lux,software,1400000,operating,USA,NY,New York,New York City,1,2011-07-01,2012-01-01,2012-01-01,2013-09-05
/company/7ac-technologies,7AC Technologies,cleantech,7360000,operating,USA,MA,Boston,Beverly,3,2009-01-01,2011-12-13,2012-07-25,2013-01-01
/company/7billionideas,7billionideas,social,47566,operating,USA,,United States - Other,,1,2011-01-01,2012-04-07,2012-04-07,
/company/7signal-solutions,7signal Solutions,network_hosting,250000,operating,USA,OH,Akron,Akron,1,,2013-07-11,2013-07-11,
/company/7summits,7Summits,consulting,600000,operating,USA,WI,Milwaukee,MIlwaukee,1,2009-04-01,2010-01-01,2010-01-01,2011-09-13
/company/8020publishing,8020 Media,web,,operating,USA,CA,SF Bay,San Francisco,1,2006-06-01,2006-01-01,2006-01-01,
/company/80th-street-residence-facc-fund-i,80th Street Residence FACC Fund I,health,5100000,operating,USA,CA,Los Angeles,Newport Beach,1,2011-01-01,2011-11-18,2011-11-18,
/company/8dworld,8D World,games_video,12250000,operating,USA,MA,Boston,Woburn,2,,2008-03-01,2010-12-09,2010-12-13
/company/alvenda-inc,8thBridge,ecommerce,15000000,operating,USA,MN,Minneapolis,Minneapolis,2,2008-11-01,2010-01-25,2011-03-21,2013-03-03
/company/8tracks,8tracks Radio,music,1200000,operating,USA,CA,SF Bay,San Francisco,1,2008-08-08,2011-10-01,2011-10-01,2013-08-01
/company/8x8-inc,8x8 Inc,network_hosting,30608728,acquired,USA,CA,SF Bay,San Jose,1,1987-01-01,2011-10-03,2011-10-03,2013-01-01
/company/908-devices,908 Devices,manufacturing,15100000,operating,USA,MA,Boston,Boston,2,,2012-09-05,2013-08-27,
/company/955-dreams,955 Dreams,mobile,3250000,operating,USA,CA,SF Bay,Mountain View,1,2010-11-01,2012-01-26,2012-01-26,2013-03-05
/company/99designs,99designs,design,35000000,operating,USA,CA,SF Bay,San Francisco,1,2008-02-01,2011-04-28,2011-04-28,2013-08-13
/company/9lenses,9Lenses,software,3000000,operating,USA,VA,Washington DC,Leesburg,1,2010-01-01,2013-09-12,2013-09-12,
/company/9slides,9SLIDES,enterprise,505000,operating,USA,WA,Seattle,Redmond,2,,2011-09-29,2013-05-30,2013-04-10
/company/pay-mobile-checkout-for-email-and-the-web,@Pay - Two-Click Checkout,mobile,3500000,operating,USA,NM,Albuquerque,Albuquerque,1,2011-05-01,2012-07-01,2012-07-01,2013-07-01
/company/a-bit-lucky,A Bit Lucky,games_video,7600000,acquired,USA,CA,SF Bay,San Mateo,2,2009-10-01,2010-03-15,2011-03-21,2011-03-21
/company/a-curated-world,A Curated World,ecommerce,50000,operating,USA,RI,Providence,Providence,1,,2012-04-01,2012-04-01,
/company/a-family-first-community-services,A Family First Community Services,health,500000,operating,USA,GA,Atlanta,Atlanta,1,2008-01-01,2011-11-01,2011-11-01,
/company/a-la-mobile,A la Mobile,software,7550000,operating,USA,KS,SF Bay,San Ramon,2,2005-06-01,2005-07-01,2007-03-01,2012-01-01
/company/a-g-pharmaceutical,A&G Pharmaceutical,biotech,2000000,operating,USA,MD,Washington DC,Columbia,1,,2005-09-08,2005-09-08,
/company/a10-networks,A10 Networks,network_hosting,38000000,operating,USA,CA,SF Bay,San Jose,3,2004-10-01,2005-01-01,2008-07-14,2013-02-18
/company/a123systems,A123 Systems,nanotech,502860000,ipo,USA,MA,Boston,Watertown,8,2001-01-01,2005-11-01,2012-06-07,2011-06-17
/company/aaipharma-services,AAIPharma Services,biotech,20000000,operating,USA,NC,Wilmington,Wilmington,1,1979-01-01,2012-01-11,2012-01-11,2001-01-01
/company/aardvark,Aardvark,web,6000000,acquired,USA,CA,SF Bay,San Francisco,2,2007-07-01,2007-01-01,2008-10-01,2012-02-04
