school,concentration_score
Montana Grizzlies,0.211720227
Southeast Missouri State Redhawks,0.209489266
Citadel Bulldogs,0.208949704
Villanova Wildcats,0.202221074
Jackson State Tigers,0.201875
Coastal Carolina Chanticleers,0.200302457
Indiana State Sycamores,0.198487713
Iowa Hawkeyes,0.197840791
Elon Phoenix,0.196719766
Bucknell Bison,0.194214876
Nebraska Cornhuskers,0.193987889
Eastern Michigan Eagles,0.192211579
New Mexico Lobos,0.189565217
Murray State Racers,0.188233501
Lafayette Leopards,0.186213862
Minnesota Golden Gophers,0.183525715
Western Kentucky Hilltoppers,0.179187482
North Dakota State Bison,0.178969627
Idaho Vandals,0.175861634
Gardner-Webb Runnin' Bulldogs,0.175830362
Memphis Tigers,0.172213956
Massachusetts Minutemen,0.171061661
Buffalo Bulls,0.170793921
Kentucky Wildcats,0.169981188
Alabama Crimson Tide,0.166495199
Hampton Pirates,0.165080309
Alcorn State Braves,0.164819945
Southern Illinois Salukis,0.161454759
Colgate Raiders,0.159954551
Weber State Wildcats,0.159429579
Drake Bulldogs,0.158477509
Marshall Thundering Herd,0.155927376
Lehigh Mountain Hawks,0.153428142
Wake Forest Demon Deacons,0.152983316
Sacred Heart Pioneers,0.15266436
Liberty Flames,0.152126736
Arkansas Razorbacks,0.151900826
Northwestern Wildcats,0.148719555
New Hampshire Wildcats,0.146953405
Wofford Terriers,0.144196597
Syracuse Orange,0.144179423
Bryant Bulldogs,0.142219388
Kansas Jayhawks,0.138684807
Purdue Boilermakers,0.137276786
Delaware Fightin Blue Hens,0.136477738
Rhode Island Rams,0.135955679
Marist Red Foxes,0.130732249
North Dakota,0.130637119
Maine Black Bears,0.1298416
Morgan State Bears,0.129079139
Davidson Wildcats,0.128858025
Valparaiso Crusaders,0.128429355
Fordham Rams,0.125562491
South Dakota State Jackrabbits,0.122395833
Air Force Falcons,0.119581717
Vanderbilt Commodores,0.118369527
Wyoming Cowboys,0.117242815
Stanford Cardinal,0.117123532
Boston College Eagles,0.117014853
West Virginia Mountaineers,0.113419514
Delaware State Hornets,0.111531191
Connecticut Huskies,0.10849646
Duke Blue Devils,0.103794643
South Dakota Coyotes,0.095155709
Pennsylvania Quakers,0.090416667
Brown Bears,0.088585018
Howard Bison,0.087809917
Cornell Big Red,0.085493449
Yale Bulldogs,0.083923365
Columbia Lions,0.078764965
Holy Cross Crusaders,0.076278859
Georgetown Hoyas,0.075446187
Navy Midshipmen,0.075078125
Notre Dame Fighting Irish,0.067923575
Army Black Knights,0.066258277
Dartmouth Big Green,0.065392748
Harvard Crimson,0.06362773
Princeton Tigers,0.058992347
