division,conference,school_name,roster_url
FCS (Division I-AA Teams),CAA,Maine,http://espn.go.com/ncf/teams/roster?teamId=311
FCS (Division I-AA Teams),CAA,New Hampshire,http://espn.go.com/ncf/teams/roster?teamId=160
FCS (Division I-AA Teams),CAA,Rhode Island,http://espn.go.com/ncf/teams/roster?teamId=227
FCS (Division I-AA Teams),CAA,Richmond,http://espn.go.com/ncf/teams/roster?teamId=257
FCS (Division I-AA Teams),CAA,Stony Brook,http://espn.go.com/ncf/teams/roster?teamId=2619
FCS (Division I-AA Teams),CAA,Towson,http://espn.go.com/ncf/teams/roster?teamId=119
FCS (Division I-AA Teams),CAA,Villanova,http://espn.go.com/ncf/teams/roster?teamId=222
FCS (Division I-AA Teams),CAA,William & Mary,http://espn.go.com/ncf/teams/roster?teamId=2729
FCS (Division I-AA Teams),FCS Independents,Abilene Christian,http://espn.go.com/ncf/teams/roster?teamId=2000
FCS (Division I-AA Teams),FCS Independents,Charlotte,http://espn.go.com/ncf/teams/roster?teamId=2429
FCS (Division I-AA Teams),FCS Independents,Houston Baptist,http://espn.go.com/ncf/teams/roster?teamId=2277
FCS (Division I-AA Teams),FCS Independents,Incarnate Word,http://espn.go.com/ncf/teams/roster?teamId=2916
FCS (Division I-AA Teams),FCS Independents,Monmouth,http://espn.go.com/ncf/teams/roster?teamId=2405
FCS (Division I-AA Teams),Ivy,Brown,http://espn.go.com/ncf/teams/roster?teamId=225
FCS (Division I-AA Teams),Ivy,Columbia,http://espn.go.com/ncf/teams/roster?teamId=171
FCS (Division I-AA Teams),Ivy,Cornell,http://espn.go.com/ncf/teams/roster?teamId=172
FCS (Division I-AA Teams),Ivy,Dartmouth,http://espn.go.com/ncf/teams/roster?teamId=159
FCS (Division I-AA Teams),Ivy,Harvard,http://espn.go.com/ncf/teams/roster?teamId=108
FCS (Division I-AA Teams),Ivy,Pennsylvania,http://espn.go.com/ncf/teams/roster?teamId=219
FCS (Division I-AA Teams),Ivy,Princeton,http://espn.go.com/ncf/teams/roster?teamId=163
FCS (Division I-AA Teams),Ivy,Yale,http://espn.go.com/ncf/teams/roster?teamId=43
FCS (Division I-AA Teams),MEAC,Bethune-Cookman,http://espn.go.com/ncf/teams/roster?teamId=2065
FCS (Division I-AA Teams),MEAC,Delaware State,http://espn.go.com/ncf/teams/roster?teamId=2169
FCS (Division I-AA Teams),MEAC,Florida A&M,http://espn.go.com/ncf/teams/roster?teamId=50
FCS (Division I-AA Teams),MEAC,Hampton,http://espn.go.com/ncf/teams/roster?teamId=2261
FCS (Division I-AA Teams),MEAC,Howard,http://espn.go.com/ncf/teams/roster?teamId=47
FCS (Division I-AA Teams),MEAC,Morgan State,http://espn.go.com/ncf/teams/roster?teamId=2415
FCS (Division I-AA Teams),MEAC,NC Central,http://espn.go.com/ncf/teams/roster?teamId=2428
FCS (Division I-AA Teams),MEAC,Norfolk State,http://espn.go.com/ncf/teams/roster?teamId=2450
FCS (Division I-AA Teams),MEAC,North Carolina A&T,http://espn.go.com/ncf/teams/roster?teamId=2448
FCS (Division I-AA Teams),MEAC,Savannah State,http://espn.go.com/ncf/teams/roster?teamId=2542
FCS (Division I-AA Teams),MEAC,South Carolina State,http://espn.go.com/ncf/teams/roster?teamId=2569
FCS (Division I-AA Teams),Missouri Valley,Illinois State,http://espn.go.com/ncf/teams/roster?teamId=2287
FCS (Division I-AA Teams),Missouri Valley,Indiana State,http://espn.go.com/ncf/teams/roster?teamId=282
FCS (Division I-AA Teams),Missouri Valley,Missouri State,http://espn.go.com/ncf/teams/roster?teamId=2623
FCS (Division I-AA Teams),Missouri Valley,North Dakota State,http://espn.go.com/ncf/teams/roster?teamId=2449
FCS (Division I-AA Teams),Missouri Valley,Northern Iowa,http://espn.go.com/ncf/teams/roster?teamId=2460
FCS (Division I-AA Teams),Missouri Valley,South Dakota,http://espn.go.com/ncf/teams/roster?teamId=233
FCS (Division I-AA Teams),Missouri Valley,South Dakota State,http://espn.go.com/ncf/teams/roster?teamId=2571
FCS (Division I-AA Teams),Missouri Valley,Southern Illinois,http://espn.go.com/ncf/teams/roster?teamId=79
FCS (Division I-AA Teams),Missouri Valley,Western Illinois,http://espn.go.com/ncf/teams/roster?teamId=2710
FCS (Division I-AA Teams),Missouri Valley,Youngstown State,http://espn.go.com/ncf/teams/roster?teamId=2754
FCS (Division I-AA Teams),Northeast,Bryant,http://espn.go.com/ncf/teams/roster?teamId=2803
FCS (Division I-AA Teams),Northeast,Central Connecticut State,http://espn.go.com/ncf/teams/roster?teamId=2115
FCS (Division I-AA Teams),Northeast,Duquesne,http://espn.go.com/ncf/teams/roster?teamId=2184
FCS (Division I-AA Teams),Northeast,Robert Morris,http://espn.go.com/ncf/teams/roster?teamId=2523
FCS (Division I-AA Teams),Northeast,Sacred Heart,http://espn.go.com/ncf/teams/roster?teamId=2529
FCS (Division I-AA Teams),Northeast,St. Francis U,http://espn.go.com/ncf/teams/roster?teamId=2598
FCS (Division I-AA Teams),Northeast,Wagner,http://espn.go.com/ncf/teams/roster?teamId=2681
FCS (Division I-AA Teams),Ohio Valley,Austin Peay,http://espn.go.com/ncf/teams/roster?teamId=2046
FCS (Division I-AA Teams),Ohio Valley,Eastern Illinois,http://espn.go.com/ncf/teams/roster?teamId=2197
FCS (Division I-AA Teams),Ohio Valley,Eastern Kentucky,http://espn.go.com/ncf/teams/roster?teamId=2198
FCS (Division I-AA Teams),Ohio Valley,Jacksonville State,http://espn.go.com/ncf/teams/roster?teamId=55
FCS (Division I-AA Teams),Ohio Valley,Murray State,http://espn.go.com/ncf/teams/roster?teamId=93
FCS (Division I-AA Teams),Ohio Valley,Southeast Missouri State,http://espn.go.com/ncf/teams/roster?teamId=2546
FCS (Division I-AA Teams),Ohio Valley,Tennessee State,http://espn.go.com/ncf/teams/roster?teamId=2634
FCS (Division I-AA Teams),Ohio Valley,Tennessee Tech,http://espn.go.com/ncf/teams/roster?teamId=2635
FCS (Division I-AA Teams),Ohio Valley,Tennessee-Martin,http://espn.go.com/ncf/teams/roster?teamId=2630
FCS (Division I-AA Teams),Patriot League,Bucknell,http://espn.go.com/ncf/teams/roster?teamId=2083
FCS (Division I-AA Teams),Patriot League,Colgate,http://espn.go.com/ncf/teams/roster?teamId=2142
FCS (Division I-AA Teams),Patriot League,Fordham,http://espn.go.com/ncf/teams/roster?teamId=2230
FCS (Division I-AA Teams),Patriot League,Georgetown,http://espn.go.com/ncf/teams/roster?teamId=46
FCS (Division I-AA Teams),Patriot League,Holy Cross,http://espn.go.com/ncf/teams/roster?teamId=107
FCS (Division I-AA Teams),Patriot League,Lafayette,http://espn.go.com/ncf/teams/roster?teamId=322
FCS (Division I-AA Teams),Patriot League,Lehigh,http://espn.go.com/ncf/teams/roster?teamId=2329
FCS (Division I-AA Teams),Pioneer,Butler,http://espn.go.com/ncf/teams/roster?teamId=2086
FCS (Division I-AA Teams),Pioneer,Campbell,http://espn.go.com/ncf/teams/roster?teamId=2097
FCS (Division I-AA Teams),Pioneer,Davidson,http://espn.go.com/ncf/teams/roster?teamId=2166
FCS (Division I-AA Teams),Pioneer,Dayton,http://espn.go.com/ncf/teams/roster?teamId=2168
FCS (Division I-AA Teams),Pioneer,Drake,http://espn.go.com/ncf/teams/roster?teamId=2181
FCS (Division I-AA Teams),Pioneer,Jacksonville,http://espn.go.com/ncf/teams/roster?teamId=294
FCS (Division I-AA Teams),Pioneer,Marist,http://espn.go.com/ncf/teams/roster?teamId=2368
FCS (Division I-AA Teams),Pioneer,Mercer,http://espn.go.com/ncf/teams/roster?teamId=2382
FCS (Division I-AA Teams),Pioneer,Morehead State,http://espn.go.com/ncf/teams/roster?teamId=2413
FCS (Division I-AA Teams),Pioneer,San Diego,http://espn.go.com/ncf/teams/roster?teamId=301
FCS (Division I-AA Teams),Pioneer,Stetson,http://espn.go.com/ncf/teams/roster?teamId=56
FCS (Division I-AA Teams),Pioneer,Valparaiso,http://espn.go.com/ncf/teams/roster?teamId=2674
FCS (Division I-AA Teams),Southern,Appalachian State,http://espn.go.com/ncf/teams/roster?teamId=2026
FCS (Division I-AA Teams),Southern,Chattanooga,http://espn.go.com/ncf/teams/roster?teamId=236
FCS (Division I-AA Teams),Southern,Citadel,http://espn.go.com/ncf/teams/roster?teamId=2643
FCS (Division I-AA Teams),Southern,Elon,http://espn.go.com/ncf/teams/roster?teamId=2210
FCS (Division I-AA Teams),Southern,Furman,http://espn.go.com/ncf/teams/roster?teamId=231
FCS (Division I-AA Teams),Southern,Georgia Southern,http://espn.go.com/ncf/teams/roster?teamId=290
FCS (Division I-AA Teams),Southern,Samford,http://espn.go.com/ncf/teams/roster?teamId=2535
FCS (Division I-AA Teams),Southern,Western Carolina,http://espn.go.com/ncf/teams/roster?teamId=2717
FCS (Division I-AA Teams),Southern,Wofford,http://espn.go.com/ncf/teams/roster?teamId=2747
FCS (Division I-AA Teams),Southland,Central Arkansas,http://espn.go.com/ncf/teams/roster?teamId=2110
FCS (Division I-AA Teams),Southland,Lamar,http://espn.go.com/ncf/teams/roster?teamId=2320
FCS (Division I-AA Teams),Southland,McNeese State,http://espn.go.com/ncf/teams/roster?teamId=2377
FCS (Division I-AA Teams),Southland,Nicholls State,http://espn.go.com/ncf/teams/roster?teamId=2447
FCS (Division I-AA Teams),Southland,Northwestern State,http://espn.go.com/ncf/teams/roster?teamId=2466
FCS (Division I-AA Teams),Southland,Sam Houston State,http://espn.go.com/ncf/teams/roster?teamId=2534
FCS (Division I-AA Teams),Southland,Southeastern Louisiana,http://espn.go.com/ncf/teams/roster?teamId=2545
FCS (Division I-AA Teams),Southland,Stephen F. Austin,http://espn.go.com/ncf/teams/roster?teamId=2617
FCS (Division I-AA Teams),SWAC,Alabama A&M,http://espn.go.com/ncf/teams/roster?teamId=2010
FCS (Division I-AA Teams),SWAC,Alabama State,http://espn.go.com/ncf/teams/roster?teamId=2011
FCS (Division I-AA Teams),SWAC,Alcorn State,http://espn.go.com/ncf/teams/roster?teamId=2016
FCS (Division I-AA Teams),SWAC,Arkansas-Pine Bluff,http://espn.go.com/ncf/teams/roster?teamId=2029
FCS (Division I-AA Teams),SWAC,Grambling State,http://espn.go.com/ncf/teams/roster?teamId=2755
FCS (Division I-AA Teams),SWAC,Jackson State,http://espn.go.com/ncf/teams/roster?teamId=2296
FCS (Division I-AA Teams),SWAC,Mississippi Valley State,http://espn.go.com/ncf/teams/roster?teamId=2400
FCS (Division I-AA Teams),SWAC,Prairie View A&M,http://espn.go.com/ncf/teams/roster?teamId=2504
FCS (Division I-AA Teams),SWAC,Southern University,http://espn.go.com/ncf/teams/roster?teamId=2582
FCS (Division I-AA Teams),SWAC,Texas Southern,http://espn.go.com/ncf/teams/roster?teamId=2640
