school,position,county_code,conference
Prairie View A&M Panthers,db,6037,swac
Portland State Vikings,db,6037,big-sky
Portland State Vikings,db,6037,big-sky
Pennsylvania Quakers,db,6037,ivy
Pennsylvania Quakers,db,6037,ivy
Oregon State Beavers,db,6037,pac-12
Oregon State Beavers,db,6037,pac-12
Oregon State Beavers,db,6037,pac-12
Oregon State Beavers,db,6037,pac-12
Notre Dame Fighting Irish,db,6037,fbs-independents
Northern Colorado Bears,db,6037,big-sky
Northern Arizona Lumberjacks,db,6037,big-sky
Northern Arizona Lumberjacks,db,6037,big-sky
North Dakota,db,6037,big-sky
Nicholls State Colonels,db,6037,southland
New Mexico State Aggies,db,6037,fbs-independents
New Mexico State Aggies,db,6037,fbs-independents
New Mexico State Aggies,db,6037,fbs-independents
New Mexico State Aggies,db,6037,fbs-independents
New Mexico State Aggies,db,6037,fbs-independents
New Mexico State Aggies,db,6037,fbs-independents
New Mexico Lobos,db,6037,mountain-west
Nevada Wolf Pack,db,6037,mountain-west
Nevada Wolf Pack,db,6037,mountain-west
Nevada Wolf Pack,db,6037,mountain-west
Nevada Wolf Pack,db,6037,mountain-west
Montana State Bobcats,db,6037,big-sky
Montana State Bobcats,db,6037,big-sky
Montana State Bobcats,db,6037,big-sky
Montana State Bobcats,db,6037,big-sky
Montana Grizzlies,db,6037,big-sky
Montana Grizzlies,db,6037,big-sky
Minnesota Golden Gophers,db,6037,big-ten
Miami (FL) Hurricanes,db,6037,acc
Lamar Cardinals,db,6037,southland
Lamar Cardinals,db,6037,southland
Idaho Vandals,db,6037,fbs-independents
Idaho State Bengals,db,6037,big-sky
Idaho State Bengals,db,6037,big-sky
Houston Cougars,db,6037,american-athletic
Holy Cross Crusaders,db,6037,patriot-league
Harvard Crimson,db,6037,ivy
Georgetown Hoyas,db,6037,patriot-league
Fresno State Bulldogs,db,6037,mountain-west
Fresno State Bulldogs,db,6037,mountain-west
Eastern Washington Eagles,db,6037,big-sky
Delaware Fightin Blue Hens,db,6037,caa
Dartmouth Big Green,db,6037,ivy
Cornell Big Red,db,6037,ivy
Columbia Lions,db,6037,ivy
Colorado State Rams,db,6037,mountain-west
Colorado State Rams,db,6037,mountain-west
Colorado Buffaloes,db,6037,pac-12
Colorado Buffaloes,db,6037,pac-12
Colgate Raiders,db,6037,patriot-league
California Golden Bears,db,6037,pac-12
California Golden Bears,db,6037,pac-12
California Golden Bears,db,6037,pac-12
Cal Poly Mustangs,db,6037,big-sky
Butler Bulldogs,db,6037,pioneer
Bryant Bulldogs,db,6037,northeast
Brown Bears,db,6037,ivy
Brigham Young Cougars,db,6037,fbs-independents
Brigham Young Cougars,db,6037,fbs-independents
Boise State Broncos,db,6037,mountain-west
Boise State Broncos,db,6037,mountain-west
Boise State Broncos,db,6037,mountain-west
Boise State Broncos,db,6037,mountain-west
Boise State Broncos,db,6037,mountain-west
Arkansas-Pine Bluff Golden Lions,db,6037,swac
Arizona Wildcats,db,6037,pac-12
Arizona Wildcats,db,6037,pac-12
Arizona Wildcats,db,6037,pac-12
Arizona Wildcats,db,6037,pac-12
Arizona State Sun Devils,db,6037,pac-12
Arizona State Sun Devils,db,6037,pac-12
Arizona State Sun Devils,db,6037,pac-12
Air Force Falcons,db,6037,mountain-west
Sacramento State Hornets,k-p,6039,big-sky
Sacramento State Hornets,dl,6039,big-sky
UCLA Bruins,wr,6041,pac-12
Oregon Ducks,wr,6041,pac-12
Nevada Wolf Pack,te,6041,mountain-west
Nevada Wolf Pack,qb,6041,mountain-west
California Golden Bears,qb,6041,pac-12
San Diego Toreros,ol,6041,pioneer
Oregon Ducks,ol,6041,pac-12
Colorado Buffaloes,ol,6041,pac-12
Cal Poly Mustangs,ol,6041,big-sky
San Diego State Aztecs,lb,6041,mountain-west
Nevada Wolf Pack,lb,6041,mountain-west
UC Davis Aggies,dl,6041,big-sky
San Jose State Spartans,dl,6041,mountain-west
Pennsylvania Quakers,dl,6041,ivy
Fresno State Bulldogs,ol,6043,mountain-west
New Mexico Lobos,dl,6045,mountain-west
UC Davis Aggies,te,6047,big-sky
New Mexico Lobos,qb,6047,mountain-west
California Golden Bears,ol,6047,pac-12
California Golden Bears,ol,6047,pac-12
UC Davis Aggies,dl,6047,big-sky
Stanford Cardinal,dl,6047,pac-12
Villanova Wildcats,wr,6053,caa
California Golden Bears,wr,6053,pac-12
San Jose State Spartans,rb,6053,mountain-west
San Jose State Spartans,qb,6053,mountain-west
San Jose State Spartans,qb,6053,mountain-west
Cal Poly Mustangs,qb,6053,big-sky
San Diego State Aztecs,ol,6053,mountain-west
Middle Tennessee Blue Raiders,ol,6053,conference-usa
Hawaii Warriors,ol,6053,mountain-west
California Golden Bears,ol,6053,pac-12
Arizona State Sun Devils,ol,6053,pac-12
Nevada Wolf Pack,lb,6053,mountain-west
Indiana State Sycamores,lb,6053,missouri-valley
San Diego Toreros,dl,6053,pioneer
Boise State Broncos,rb,6055,mountain-west
Sacramento State Hornets,ol,6055,big-sky
Liberty Flames,ol,6055,big-south
Fresno State Bulldogs,ol,6055,mountain-west
Eastern Washington Eagles,ol,6055,big-sky
San Diego Toreros,lb,6055,pioneer
Idaho Vandals,lb,6055,fbs-independents
Syracuse Orange,dl,6055,acc
Colorado Buffaloes,dl,6055,pac-12
UC Davis Aggies,db,6055,big-sky
UC Davis Aggies,db,6055,big-sky
Oregon Ducks,db,6055,pac-12
Stetson Hatters,te,6057,pioneer
San Diego State Aztecs,rb,6057,mountain-west
Cal Poly Mustangs,rb,6057,big-sky
San Diego Toreros,ol,6057,pioneer
UC Davis Aggies,lb,6057,big-sky
Boise State Broncos,lb,6057,mountain-west
UC Davis Aggies,dl,6057,big-sky
Arizona Wildcats,dl,6057,pac-12
Yale Bulldogs,wr,6059,ivy
Yale Bulldogs,wr,6059,ivy
Washington State Cougars,wr,6059,pac-12
Washington State Cougars,wr,6059,pac-12
Utah Utes,wr,6059,pac-12
USC Trojans,wr,6059,pac-12
UCLA Bruins,wr,6059,pac-12
UCLA Bruins,wr,6059,pac-12
UC Davis Aggies,wr,6059,big-sky
TCU Horned Frogs,wr,6059,big-12
Stanford Cardinal,wr,6059,pac-12
South Dakota State Jackrabbits,wr,6059,missouri-valley
San Diego State Aztecs,wr,6059,mountain-west
Samford Bulldogs,wr,6059,southern
Nevada Wolf Pack,wr,6059,mountain-west
Nebraska Cornhuskers,wr,6059,big-ten
Morgan State Bears,wr,6059,meac
Fordham Rams,wr,6059,patriot-league
Cal Poly Mustangs,wr,6059,big-sky
Brown Bears,wr,6059,ivy
Brigham Young Cougars,wr,6059,fbs-independents
Bowling Green Falcons,wr,6059,mid-american
Army Black Knights,wr,6059,fbs-independents
Arizona State Sun Devils,wr,6059,pac-12
Wyoming Cowboys,te,6059,mountain-west
UC Davis Aggies,te,6059,big-sky
UC Davis Aggies,te,6059,big-sky
Tennessee Volunteers,te,6059,sec
San Diego Toreros,te,6059,pioneer
Notre Dame Fighting Irish,te,6059,fbs-independents
Kansas Jayhawks,te,6059,big-12
Iowa State Cyclones,te,6059,big-12
Indiana State Sycamores,te,6059,missouri-valley
Idaho State Bengals,te,6059,big-sky
Hawaii Warriors,te,6059,mountain-west
Georgia Southern Eagles,te,6059,southern
Dartmouth Big Green,te,6059,ivy
Arizona Wildcats,te,6059,pac-12
Utah State Aggies,rb,6059,mountain-west
USC Trojans,rb,6059,pac-12
USC Trojans,rb,6059,pac-12
USC Trojans,rb,6059,pac-12
USC Trojans,rb,6059,pac-12
USC Trojans,rb,6059,pac-12
UCLA Bruins,rb,6059,pac-12
UC Davis Aggies,rb,6059,big-sky
TCU Horned Frogs,rb,6059,big-12
Stanford Cardinal,rb,6059,pac-12
South Dakota State Jackrabbits,rb,6059,missouri-valley
San Diego Toreros,rb,6059,pioneer
San Diego Toreros,rb,6059,pioneer
Portland State Vikings,rb,6059,big-sky
Pennsylvania Quakers,rb,6059,ivy
Northern Colorado Bears,rb,6059,big-sky
Holy Cross Crusaders,rb,6059,patriot-league
Fresno State Bulldogs,rb,6059,mountain-west
Cal Poly Mustangs,rb,6059,big-sky
Villanova Wildcats,qb,6059,caa
Utah Utes,qb,6059,pac-12
Utah Utes,qb,6059,pac-12
USC Trojans,qb,6059,pac-12
USC Trojans,qb,6059,pac-12
UCLA Bruins,qb,6059,pac-12
Texas State Bobcats,qb,6059,sun-belt
Southern Utah Thunderbirds,qb,6059,big-sky
Southern Miss Golden Eagles,qb,6059,conference-usa
Southern Methodist Mustangs,qb,6059,american-athletic
San Diego State Aztecs,qb,6059,mountain-west
Sacred Heart Pioneers,qb,6059,northeast
Pennsylvania Quakers,qb,6059,ivy
New Mexico State Aggies,qb,6059,fbs-independents
Nevada Wolf Pack,qb,6059,mountain-west
Nebraska Cornhuskers,qb,6059,big-ten
Louisiana Tech Bulldogs,qb,6059,conference-usa
Hawaii Warriors,qb,6059,mountain-west
Fresno State Bulldogs,qb,6059,mountain-west
Cornell Big Red,qb,6059,ivy
Washington Huskies,ol,6059,pac-12
Washington Huskies,ol,6059,pac-12
Virginia Tech Hokies,ol,6059,acc
Valparaiso Crusaders,ol,6059,pioneer
Utah Utes,ol,6059,pac-12
Utah Utes,ol,6059,pac-12
Utah Utes,ol,6059,pac-12
USC Trojans,ol,6059,pac-12
USC Trojans,ol,6059,pac-12
UNLV Rebels,ol,6059,mountain-west
UNLV Rebels,ol,6059,mountain-west
UCLA Bruins,ol,6059,pac-12
UCLA Bruins,ol,6059,pac-12
UCLA Bruins,ol,6059,pac-12
UCLA Bruins,ol,6059,pac-12
UC Davis Aggies,ol,6059,big-sky
UC Davis Aggies,ol,6059,big-sky
Stanford Cardinal,ol,6059,pac-12
Stanford Cardinal,ol,6059,pac-12
Stanford Cardinal,ol,6059,pac-12
Southeast Missouri State Redhawks,ol,6059,ohio-valley
San Jose State Spartans,ol,6059,mountain-west
San Jose State Spartans,ol,6059,mountain-west
San Jose State Spartans,ol,6059,mountain-west
San Diego State Aztecs,ol,6059,mountain-west
Sacramento State Hornets,ol,6059,big-sky
Sacramento State Hornets,ol,6059,big-sky
Pennsylvania Quakers,ol,6059,ivy
Pennsylvania Quakers,ol,6059,ivy
Oregon State Beavers,ol,6059,pac-12
Oregon State Beavers,ol,6059,pac-12
Oregon State Beavers,ol,6059,pac-12
Northern Colorado Bears,ol,6059,big-sky
North Carolina State Wolfpack,ol,6059,acc
Nevada Wolf Pack,ol,6059,mountain-west
Navy Midshipmen,ol,6059,fbs-independents
Montana State Bobcats,ol,6059,big-sky
Louisiana Tech Bulldogs,ol,6059,conference-usa
Hawaii Warriors,ol,6059,mountain-west
Georgetown Hoyas,ol,6059,patriot-league
Fresno State Bulldogs,ol,6059,mountain-west
Eastern Michigan Eagles,ol,6059,mid-american
East Carolina Pirates,ol,6059,conference-usa
Colorado Buffaloes,ol,6059,pac-12
Colorado Buffaloes,ol,6059,pac-12
California Golden Bears,ol,6059,pac-12
Cal Poly Mustangs,ol,6059,big-sky
Brown Bears,ol,6059,ivy
Boise State Broncos,ol,6059,mountain-west
Army Black Knights,ol,6059,fbs-independents
Army Black Knights,ol,6059,fbs-independents
Arizona Wildcats,ol,6059,pac-12
Arizona Wildcats,ol,6059,pac-12
Arizona State Sun Devils,ol,6059,pac-12
Arizona State Sun Devils,ol,6059,pac-12
Arizona State Sun Devils,ol,6059,pac-12
Air Force Falcons,ol,6059,mountain-west
Abilene Christian Wildcats,ol,6059,fcs-independents
Washington Huskies,lb,6059,pac-12
Wagner Seahawks,lb,6059,northeast
UNLV Rebels,lb,6059,mountain-west
UCLA Bruins,lb,6059,pac-12
UCLA Bruins,lb,6059,pac-12
Southern Miss Golden Eagles,lb,6059,conference-usa
South Dakota State Jackrabbits,lb,6059,missouri-valley
South Dakota State Jackrabbits,lb,6059,missouri-valley
San Diego State Aztecs,lb,6059,mountain-west
San Diego State Aztecs,lb,6059,mountain-west
Sacred Heart Pioneers,lb,6059,northeast
Pennsylvania Quakers,lb,6059,ivy
Pennsylvania Quakers,lb,6059,ivy
Notre Dame Fighting Irish,lb,6059,fbs-independents
Nevada Wolf Pack,lb,6059,mountain-west
Navy Midshipmen,lb,6059,fbs-independents
Montana State Bobcats,lb,6059,big-sky
Marist Red Foxes,lb,6059,pioneer
Indiana State Sycamores,lb,6059,missouri-valley
Indiana State Sycamores,lb,6059,missouri-valley
Idaho Vandals,lb,6059,fbs-independents
Harvard Crimson,lb,6059,ivy
Eastern Michigan Eagles,lb,6059,mid-american
Colorado State Rams,lb,6059,mountain-west
California Golden Bears,lb,6059,pac-12
California Golden Bears,lb,6059,pac-12
Cal Poly Mustangs,lb,6059,big-sky
Cal Poly Mustangs,lb,6059,big-sky
Brigham Young Cougars,lb,6059,fbs-independents
Boise State Broncos,lb,6059,mountain-west
Wyoming Cowboys,k-p,6059,mountain-west
Washington State Cougars,k-p,6059,pac-12
Utah Utes,k-p,6059,pac-12
Southern Methodist Mustangs,k-p,6059,american-athletic
Southeastern Louisiana Lions,k-p,6059,southland
San Diego State Aztecs,k-p,6059,mountain-west
Sacramento State Hornets,k-p,6059,big-sky
Pennsylvania Quakers,k-p,6059,ivy
NC Central Eagles,k-p,6059,meac
Montana Grizzlies,k-p,6059,big-sky
Miami (FL) Hurricanes,k-p,6059,acc
Harvard Crimson,k-p,6059,ivy
East Carolina Pirates,k-p,6059,conference-usa
Central Michigan Chippewas,k-p,6059,mid-american
California Golden Bears,k-p,6059,pac-12
California Golden Bears,k-p,6059,pac-12
Boise State Broncos,k-p,6059,mountain-west
Arizona Wildcats,k-p,6059,pac-12
Youngstown State Penguins,dl,6059,missouri-valley
Wyoming Cowboys,dl,6059,mountain-west
Washington State Cougars,dl,6059,pac-12
Washington State Cougars,dl,6059,pac-12
Utah Utes,dl,6059,pac-12
Utah Utes,dl,6059,pac-12
USC Trojans,dl,6059,pac-12
UC Davis Aggies,dl,6059,big-sky
UC Davis Aggies,dl,6059,big-sky
UC Davis Aggies,dl,6059,big-sky
Texas Southern Tigers,dl,6059,swac
Stanford Cardinal,dl,6059,pac-12
South Dakota State Jackrabbits,dl,6059,missouri-valley
Portland State Vikings,dl,6059,big-sky
Pennsylvania Quakers,dl,6059,ivy
Oregon Ducks,dl,6059,pac-12
Northwestern Wildcats,dl,6059,big-ten
Northern Colorado Bears,dl,6059,big-sky
New Mexico State Aggies,dl,6059,fbs-independents
Nevada Wolf Pack,dl,6059,mountain-west
Lamar Cardinals,dl,6059,southland
Gardner-Webb Runnin' Bulldogs,dl,6059,big-south
Fresno State Bulldogs,dl,6059,mountain-west
Cal Poly Mustangs,dl,6059,big-sky
Brown Bears,dl,6059,ivy
Army Black Knights,dl,6059,fbs-independents
Arizona Wildcats,dl,6059,pac-12
Arizona Wildcats,dl,6059,pac-12
Youngstown State Penguins,db,6059,missouri-valley
UNLV Rebels,db,6059,mountain-west
UCLA Bruins,db,6059,pac-12
UCLA Bruins,db,6059,pac-12
Texas State Bobcats,db,6059,sun-belt
Southern University Jaguars,db,6059,swac
San Diego Toreros,db,6059,pioneer
San Diego State Aztecs,db,6059,mountain-west
Sacramento State Hornets,db,6059,big-sky
Portland State Vikings,db,6059,big-sky
Notre Dame Fighting Irish,db,6059,fbs-independents
Northwestern Wildcats,db,6059,big-ten
Northern Colorado Bears,db,6059,big-sky
Nebraska Cornhuskers,db,6059,big-ten
Navy Midshipmen,db,6059,fbs-independents
Montana Grizzlies,db,6059,big-sky
Indiana State Sycamores,db,6059,missouri-valley
Hawaii Warriors,db,6059,mountain-west
Dartmouth Big Green,db,6059,ivy
California Golden Bears,db,6059,pac-12
Cal Poly Mustangs,db,6059,big-sky
Cal Poly Mustangs,db,6059,big-sky
Cal Poly Mustangs,db,6059,big-sky
Cal Poly Mustangs,db,6059,big-sky
Cal Poly Mustangs,db,6059,big-sky
Brown Bears,db,6059,ivy
Brown Bears,db,6059,ivy
Brown Bears,db,6059,ivy
Army Black Knights,db,6059,fbs-independents
Arizona Wildcats,db,6059,pac-12
Arizona State Sun Devils,db,6059,pac-12
UC Davis Aggies,wr,6061,big-sky
Arizona State Sun Devils,wr,6061,pac-12
USC Trojans,te,6061,pac-12
Sacramento State Hornets,te,6061,big-sky
Boise State Broncos,te,6061,mountain-west
Stanford Cardinal,rb,6061,pac-12
UC Davis Aggies,qb,6061,big-sky
Sacramento State Hornets,qb,6061,big-sky
Oregon Ducks,qb,6061,pac-12
Northern Arizona Lumberjacks,qb,6061,big-sky
Middle Tennessee Blue Raiders,qb,6061,conference-usa
Oregon State Beavers,ol,6061,pac-12
Fresno State Bulldogs,ol,6061,mountain-west
Sacramento State Hornets,lb,6061,big-sky
Sacramento State Hornets,lb,6061,big-sky
Nevada Wolf Pack,lb,6061,mountain-west
Holy Cross Crusaders,lb,6061,patriot-league
Wisconsin Badgers,k-p,6061,big-ten
Weber State Wildcats,dl,6061,big-sky
UCLA Bruins,dl,6061,pac-12
Sacramento State Hornets,dl,6061,big-sky
Nevada Wolf Pack,dl,6061,mountain-west
Nevada Wolf Pack,dl,6061,mountain-west
UC Davis Aggies,db,6061,big-sky
San Jose State Spartans,db,6061,mountain-west
Sacramento State Hornets,db,6061,big-sky
Rutgers Scarlet Knights,db,6061,american-athletic
Purdue Boilermakers,db,6061,big-ten
Western Michigan Broncos,te,6063,mid-american
Washington State Cougars,wr,6065,pac-12
Washington Huskies,wr,6065,pac-12
Utah Utes,wr,6065,pac-12
Stanford Cardinal,wr,6065,pac-12
Southern Utah Thunderbirds,wr,6065,big-sky
San Diego State Aztecs,wr,6065,mountain-west
San Diego State Aztecs,wr,6065,mountain-west
Sacramento State Hornets,wr,6065,big-sky
Sacramento State Hornets,wr,6065,big-sky
Sacramento State Hornets,wr,6065,big-sky
Oklahoma Sooners,wr,6065,big-12
Northern Colorado Bears,wr,6065,big-sky
Northern Colorado Bears,wr,6065,big-sky
New Mexico State Aggies,wr,6065,fbs-independents
Nebraska Cornhuskers,wr,6065,big-ten
Missouri State Bears,wr,6065,missouri-valley
Louisiana Tech Bulldogs,wr,6065,conference-usa
Idaho State Bengals,wr,6065,big-sky
Howard Bison,wr,6065,meac
Howard Bison,wr,6065,meac
Hawaii Warriors,wr,6065,mountain-west
Fresno State Bulldogs,wr,6065,mountain-west
Fresno State Bulldogs,wr,6065,mountain-west
Fresno State Bulldogs,wr,6065,mountain-west
Colorado State Rams,wr,6065,mountain-west
Brigham Young Cougars,wr,6065,fbs-independents
Boise State Broncos,wr,6065,mountain-west
Arizona Wildcats,wr,6065,pac-12
Arizona Wildcats,wr,6065,pac-12
USC Trojans,te,6065,pac-12
Ohio State Buckeyes,te,6065,big-ten
North Dakota,te,6065,big-sky
Nevada Wolf Pack,te,6065,mountain-west
Hawaii Warriors,te,6065,mountain-west
Washington State Cougars,rb,6065,pac-12
Washington Huskies,rb,6065,pac-12
Washington Huskies,rb,6065,pac-12
USC Trojans,rb,6065,pac-12
UNLV Rebels,rb,6065,mountain-west
UCLA Bruins,rb,6065,pac-12
UC Davis Aggies,rb,6065,big-sky
Texas Tech Red Raiders,rb,6065,big-12
San Diego State Aztecs,rb,6065,mountain-west
Oregon State Beavers,rb,6065,pac-12
Duke Blue Devils,rb,6065,acc
Brigham Young Cougars,rb,6065,fbs-independents
Arizona Wildcats,rb,6065,pac-12
Alcorn State Braves,rb,6065,swac
USC Trojans,qb,6065,pac-12
UNLV Rebels,qb,6065,mountain-west
Stony Brook Seawolves,qb,6065,caa
Northwestern State Demons,qb,6065,southland
Nebraska Cornhuskers,qb,6065,big-ten
Iowa State Cyclones,qb,6065,big-12
Duke Blue Devils,qb,6065,acc
Colorado State Rams,qb,6065,mountain-west
Arizona State Sun Devils,qb,6065,pac-12
Washington State Cougars,ol,6065,pac-12
UTEP Miners,ol,6065,conference-usa
UTEP Miners,ol,6065,conference-usa
Utah State Aggies,ol,6065,mountain-west
USC Trojans,ol,6065,pac-12
USC Trojans,ol,6065,pac-12
UCLA Bruins,ol,6065,pac-12
UC Davis Aggies,ol,6065,big-sky
UC Davis Aggies,ol,6065,big-sky
Texas State Bobcats,ol,6065,sun-belt
TCU Horned Frogs,ol,6065,big-12
Syracuse Orange,ol,6065,acc
San Diego State Aztecs,ol,6065,mountain-west
San Diego State Aztecs,ol,6065,mountain-west
Sacramento State Hornets,ol,6065,big-sky
Oregon Ducks,ol,6065,pac-12
Oregon Ducks,ol,6065,pac-12
New Mexico State Aggies,ol,6065,fbs-independents
New Mexico Lobos,ol,6065,mountain-west
Nevada Wolf Pack,ol,6065,mountain-west
Nebraska Cornhuskers,ol,6065,big-ten
Montana State Bobcats,ol,6065,big-sky
Marshall Thundering Herd,ol,6065,conference-usa
Louisiana Tech Bulldogs,ol,6065,conference-usa
Kansas State Wildcats,ol,6065,big-12
Hampton Pirates,ol,6065,meac
Fresno State Bulldogs,ol,6065,mountain-west
Florida Atlantic Owls,ol,6065,conference-usa
Bryant Bulldogs,ol,6065,northeast
Brigham Young Cougars,ol,6065,fbs-independents
Brigham Young Cougars,ol,6065,fbs-independents
Arizona Wildcats,ol,6065,pac-12
UTSA Roadrunners,lb,6065,conference-usa
UTEP Miners,lb,6065,conference-usa
Utah State Aggies,lb,6065,mountain-west
USC Trojans,lb,6065,pac-12
UCLA Bruins,lb,6065,pac-12
Texas Tech Red Raiders,lb,6065,big-12
Southern Utah Thunderbirds,lb,6065,big-sky
Samford Bulldogs,lb,6065,southern
Sacred Heart Pioneers,lb,6065,northeast
Oregon State Beavers,lb,6065,pac-12
Oregon State Beavers,lb,6065,pac-12
Oregon State Beavers,lb,6065,pac-12
Ohio Bobcats,lb,6065,mid-american
New Mexico State Aggies,lb,6065,fbs-independents
New Mexico Lobos,lb,6065,mountain-west
New Mexico Lobos,lb,6065,mountain-west
Montana State Bobcats,lb,6065,big-sky
Fresno State Bulldogs,lb,6065,mountain-west
Fresno State Bulldogs,lb,6065,mountain-west
Florida Gators,lb,6065,sec
Colorado State Rams,lb,6065,mountain-west
Colorado State Rams,lb,6065,mountain-west
Brigham Young Cougars,lb,6065,fbs-independents
Bowling Green Falcons,lb,6065,mid-american
Baylor Bears,lb,6065,big-12
Arizona Wildcats,lb,6065,pac-12
Alcorn State Braves,lb,6065,swac
West Virginia Mountaineers,k-p,6065,big-12
Portland State Vikings,k-p,6065,big-sky
Oregon State Beavers,k-p,6065,pac-12
Montana State Bobcats,k-p,6065,big-sky
Fresno State Bulldogs,k-p,6065,mountain-west
Cornell Big Red,k-p,6065,ivy
Boise State Broncos,k-p,6065,mountain-west
UC Davis Aggies,dl,6065,big-sky
San Diego State Aztecs,dl,6065,mountain-west
San Diego State Aztecs,dl,6065,mountain-west
San Diego State Aztecs,dl,6065,mountain-west
Sacramento State Hornets,dl,6065,big-sky
Purdue Boilermakers,dl,6065,big-ten
Oregon Ducks,dl,6065,pac-12
Memphis Tigers,dl,6065,american-athletic
Iowa State Cyclones,dl,6065,big-12
Idaho State Bengals,dl,6065,big-sky
Fresno State Bulldogs,dl,6065,mountain-west
Colorado Buffaloes,dl,6065,pac-12
Colorado Buffaloes,dl,6065,pac-12
Arizona State Sun Devils,dl,6065,pac-12
Arizona State Sun Devils,dl,6065,pac-12
UTEP Miners,db,6065,conference-usa
UTEP Miners,db,6065,conference-usa
Utah Utes,db,6065,pac-12
USC Trojans,db,6065,pac-12
USC Trojans,db,6065,pac-12
UC Davis Aggies,db,6065,big-sky
UC Davis Aggies,db,6065,big-sky
UC Davis Aggies,db,6065,big-sky
UC Davis Aggies,db,6065,big-sky
Troy Trojans,db,6065,sun-belt
Texas Tech Red Raiders,db,6065,big-12
Stony Brook Seawolves,db,6065,caa
South Dakota Coyotes,db,6065,missouri-valley
San Jose State Spartans,db,6065,mountain-west
San Diego State Aztecs,db,6065,mountain-west
Oregon State Beavers,db,6065,pac-12
Oregon State Beavers,db,6065,pac-12
Northern Colorado Bears,db,6065,big-sky
Nevada Wolf Pack,db,6065,mountain-west
Nevada Wolf Pack,db,6065,mountain-west
Nevada Wolf Pack,db,6065,mountain-west
Nebraska Cornhuskers,db,6065,big-ten
Montana Grizzlies,db,6065,big-sky
Montana Grizzlies,db,6065,big-sky
Minnesota Golden Gophers,db,6065,big-ten
Illinois Fighting Illini,db,6065,big-ten
Hawaii Warriors,db,6065,mountain-west
Fresno State Bulldogs,db,6065,mountain-west
Fresno State Bulldogs,db,6065,mountain-west
Fresno State Bulldogs,db,6065,mountain-west
Duke Blue Devils,db,6065,acc
Colorado Buffaloes,db,6065,pac-12
California Golden Bears,db,6065,pac-12
Brigham Young Cougars,db,6065,fbs-independents
Arkansas-Pine Bluff Golden Lions,db,6065,swac
Arizona State Sun Devils,db,6065,pac-12
San Jose State Spartans,wr,6067,mountain-west
San Diego Toreros,wr,6067,pioneer
Princeton Tigers,wr,6067,ivy
Oklahoma Sooners,wr,6067,big-12
Oklahoma Sooners,wr,6067,big-12
New Mexico Lobos,wr,6067,mountain-west
Idaho Vandals,wr,6067,fbs-independents
Cornell Big Red,wr,6067,ivy
California Golden Bears,wr,6067,pac-12
Cal Poly Mustangs,wr,6067,big-sky
Boise State Broncos,wr,6067,mountain-west
Stanford Cardinal,te,6067,pac-12
Sacramento State Hornets,te,6067,big-sky
Miami (FL) Hurricanes,te,6067,acc
Howard Bison,te,6067,meac
Eastern Washington Eagles,te,6067,big-sky
Air Force Falcons,te,6067,mountain-west
Sacramento State Hornets,rb,6067,big-sky
Nevada Wolf Pack,rb,6067,mountain-west
Idaho Vandals,rb,6067,fbs-independents
Army Black Knights,rb,6067,fbs-independents
Arizona State Sun Devils,rb,6067,pac-12
Cal Poly Mustangs,qb,6067,big-sky
Cal Poly Mustangs,qb,6067,big-sky
Arkansas State Red Wolves,qb,6067,sun-belt
UNLV Rebels,ol,6067,mountain-west
San Diego Toreros,ol,6067,pioneer
Sacramento State Hornets,ol,6067,big-sky
Ole Miss Rebels,ol,6067,sec
Northern Arizona Lumberjacks,ol,6067,big-sky
Montana Grizzlies,ol,6067,big-sky
LSU Tigers,ol,6067,sec
Dartmouth Big Green,ol,6067,ivy
California Golden Bears,ol,6067,pac-12
Cal Poly Mustangs,ol,6067,big-sky
Cal Poly Mustangs,ol,6067,big-sky
Brigham Young Cougars,ol,6067,fbs-independents
Arizona State Sun Devils,ol,6067,pac-12
Western Michigan Broncos,lb,6067,mid-american
Washington Huskies,lb,6067,pac-12
UCLA Bruins,lb,6067,pac-12
UC Davis Aggies,lb,6067,big-sky
UC Davis Aggies,lb,6067,big-sky
UC Davis Aggies,lb,6067,big-sky
Sacramento State Hornets,lb,6067,big-sky
Portland State Vikings,lb,6067,big-sky
Portland State Vikings,lb,6067,big-sky
Nevada Wolf Pack,lb,6067,mountain-west
Nevada Wolf Pack,lb,6067,mountain-west
Fresno State Bulldogs,lb,6067,mountain-west
Drake Bulldogs,lb,6067,pioneer
Arkansas-Pine Bluff Golden Lions,lb,6067,swac
Arizona State Sun Devils,lb,6067,pac-12
UC Davis Aggies,k-p,6067,big-sky
Stetson Hatters,k-p,6067,pioneer
Nevada Wolf Pack,k-p,6067,mountain-west
Washington State Cougars,dl,6067,pac-12
Utah Utes,dl,6067,pac-12
UC Davis Aggies,dl,6067,big-sky
San Jose State Spartans,dl,6067,mountain-west
San Jose State Spartans,dl,6067,mountain-west
San Diego Toreros,dl,6067,pioneer
San Diego State Aztecs,dl,6067,mountain-west
Sacramento State Hornets,dl,6067,big-sky
Sacramento State Hornets,dl,6067,big-sky
Oregon Ducks,dl,6067,pac-12
Ohio Bobcats,dl,6067,mid-american
Northern Arizona Lumberjacks,dl,6067,big-sky
Nevada Wolf Pack,dl,6067,mountain-west
Eastern Washington Eagles,dl,6067,big-sky
Eastern Illinois Panthers,dl,6067,ohio-valley
California Golden Bears,dl,6067,pac-12
California Golden Bears,dl,6067,pac-12
