school,position,county_code,conference
Stetson Hatters,rb,0,pioneer
Stanford Cardinal,rb,0,pac-12
St. Francis U Red Flash,rb,0,northeast
St. Francis U Red Flash,rb,0,northeast
St. Francis U Red Flash,rb,0,northeast
Southern Utah Thunderbirds,rb,0,big-sky
South Florida Bulls,rb,0,american-athletic
San Jose State Spartans,rb,0,mountain-west
San Diego State Aztecs,rb,0,mountain-west
San Diego State Aztecs,rb,0,mountain-west
Sacred Heart Pioneers,rb,0,northeast
Robert Morris Colonials,rb,0,northeast
Prairie View A&M Panthers,rb,0,swac
North Dakota State Bison,rb,0,missouri-valley
North Dakota State Bison,rb,0,missouri-valley
North Dakota State Bison,rb,0,missouri-valley
New Hampshire Wildcats,rb,0,caa
New Hampshire Wildcats,rb,0,caa
Morehead State Eagles,rb,0,pioneer
Mississippi State Bulldogs,rb,0,sec
Mississippi State Bulldogs,rb,0,sec
Memphis Tigers,rb,0,american-athletic
McNeese State Cowboys,rb,0,southland
McNeese State Cowboys,rb,0,southland
Maryland Terrapins,rb,0,acc
Louisville Cardinals,rb,0,american-athletic
Liberty Flames,rb,0,big-south
Indiana Hoosiers,rb,0,big-ten
Indiana Hoosiers,rb,0,big-ten
Illinois State Redbirds,rb,0,missouri-valley
Houston Baptist Huskies,rb,0,fcs-independents
Hawaii Warriors,rb,0,mountain-west
Hawaii Warriors,rb,0,mountain-west
Grambling State Tigers,rb,0,swac
Georgetown Hoyas,rb,0,patriot-league
Fresno State Bulldogs,rb,0,mountain-west
Florida State Seminoles,rb,0,acc
Florida Atlantic Owls,rb,0,conference-usa
East Carolina Pirates,rb,0,conference-usa
East Carolina Pirates,rb,0,conference-usa
Duquesne Dukes,rb,0,northeast
Delaware State Hornets,rb,0,meac
Davidson Wildcats,rb,0,pioneer
Connecticut Huskies,rb,0,american-athletic
Columbia Lions,rb,0,ivy
Clemson Tigers,rb,0,acc
Brigham Young Cougars,rb,0,fbs-independents
Ball State Cardinals,rb,0,mid-american
Ball State Cardinals,rb,0,mid-american
Ball State Cardinals,rb,0,mid-american
Ball State Cardinals,rb,0,mid-american
Ball State Cardinals,rb,0,mid-american
Ball State Cardinals,rb,0,mid-american
Arkansas State Red Wolves,rb,0,sun-belt
Arkansas Razorbacks,rb,0,sec
Arkansas Razorbacks,rb,0,sec
Arizona State Sun Devils,rb,0,pac-12
Alcorn State Braves,rb,0,swac
Air Force Falcons,rb,0,mountain-west
Air Force Falcons,rb,0,mountain-west
Air Force Falcons,rb,0,mountain-west
Wofford Terriers,qb,0,southern
Weber State Wildcats,qb,0,big-sky
Virginia Military Institute Keydets,qb,0,big-south
Texas Southern Tigers,qb,0,swac
Tennessee Volunteers,qb,0,sec
Stetson Hatters,qb,0,pioneer
Southern Miss Golden Eagles,qb,0,conference-usa
Pennsylvania Quakers,qb,0,ivy
New Hampshire Wildcats,qb,0,caa
Mississippi State Bulldogs,qb,0,sec
Mississippi State Bulldogs,qb,0,sec
James Madison Dukes,qb,0,caa
Indiana Hoosiers,qb,0,big-ten
Indiana Hoosiers,qb,0,big-ten
Hawaii Warriors,qb,0,mountain-west
Grambling State Tigers,qb,0,swac
Charleston Southern Buccaneers,qb,0,big-south
Charleston Southern Buccaneers,qb,0,big-south
Campbell Fighting Camels,qb,0,pioneer
Boise State Broncos,qb,0,mountain-west
Ball State Cardinals,qb,0,mid-american
Ball State Cardinals,qb,0,mid-american
Ball State Cardinals,qb,0,mid-american
Ball State Cardinals,qb,0,mid-american
Air Force Falcons,qb,0,mountain-west
Air Force Falcons,qb,0,mountain-west
Air Force Falcons,qb,0,mountain-west
Gardner-Webb Runnin' Bulldogs,ol,0,big-south
Baylor Bears,ol,0,big-12
Baylor Bears,ol,0,big-12
UNLV Rebels,ol,0,mountain-west
Mississippi State Bulldogs,ol,0,sec
Villanova Wildcats,ol,0,caa
Rice Owls,ol,0,conference-usa
Oklahoma Sooners,ol,0,big-12
Nebraska Cornhuskers,ol,0,big-ten
Iowa Hawkeyes,ol,0,big-ten
Buffalo Bulls,ol,0,mid-american
Buffalo Bulls,ol,0,mid-american
Oregon State Beavers,ol,0,pac-12
UNLV Rebels,ol,0,mountain-west
Arizona Wildcats,ol,0,pac-12
Wofford Terriers,ol,0,southern
West Virginia Mountaineers,ol,0,big-12
Virginia Cavaliers,ol,0,acc
Villanova Wildcats,ol,0,caa
UTEP Miners,ol,0,conference-usa
Utah State Aggies,ol,0,mountain-west
